"Author","CommR"
"Acosta__Alisa",20
"Adleberg__Barrie",3
"Agrawal__Harshit",29
"Aleven__Vincent",2
"Almatrafi__Omaima",33
"AlQahtani__Mona",11
"Anderson__Emma",25
"Anderson__Richard_C.",36
"Andrade__Alejandro",44
"Andrews__Jessica_J.",6
"Antle__Alissa_Nicole",1
"Applebaum__Lauren",8
"Applebaum__Lauren_R.",8
"Asterhan__Christa",53
"Ayer__Tugba",26
"Baker__Ryan",12
"Baltes__Jennifer",7
"Bang__Megan",3
"Bannan__Brenda",37
"Barrat__Alain",1
"Barron__Brigid",3
"Beck__Stephan",4
"Bell__Philip",3
"Belland__Brian_R.",32
"Bennett__Cynthia_L.",31
"Bereiter__Carl",1
"Bielaczyc__Katerine",1
"Biemans__Harm",30
"Bishara__Sarah",7
"Biswas__Gautam",28
"Blikstein__Paulo",2
"Bodemer__Daniel",2
"Bogouslavsky__Maria",1
"Borge__Marcela",11
"Bouton__Edith",53
"Boyer__Kristy_Elizabeth",13
"Brady__Corey",17
"Brami__Uzi_Zevik",57
"Brand__Charleen",2
"Breuleux__Alain",1
"Buessing__Shawn",4
"Burns__Mary",36
"Calandra__Brendan",26
"Carnes__Molly",15
"Cassell__Justine",40
"Cattaneo__Alberto_A._P.",34
"Celepkolu__Mehmet",13
"Chai__Shaoming",1
"Chan__Carol",1
"Chan__Melvin",19
"Chen__Bodong",1
"Chen__Feng",1
"Chen__Mei.Hwa",1
"Cheng__Kenneth",45
"Cheng__Teng.Yao",42
"Chounta__Irene.Angelica",43
"Christmann__Nina",2
"Cobb__Sue",4
"Cohen__Jonathan",26
"Cook__Claire",4
"Corning__Wiley",4
"Cress__Ulrike",1
"Crossley__Scott",12
"Csanadi__Andras",1
"Cukurova__Mutlu",24
"D.Angelo__Sarah",2
"Dado__Marielle",2
"Dascalu__Mihai",12
"Davis__Richard",3
"Davis__Richard_Lee",2
"Dawes__Les",14
"de_Jong__Frank",1
"De_Wever__Bram",34
"del_Castillo__Fernando_Diaz",1
"DeSchryver__Michael",41
"Di_Eugenio__Barbara",27
"Dillenbourg__Pierre",2
"Dong__Yi",28
"Dornfeld__Catherine",21
"Doyle__Tanya",14
"Dutta__Nikita",35
"Eagan__Brendan",1
"Eagan__Brendan_R.",16
"Eberle__Julia",1
"Elby__Andrew",10
"Elming__Anna_Lindenhoff",47
"Elson__Malte",2
"Emara__Mona",28
"Emmanuel__Navo",5
"Erdmann__Julia",2
"Erkens__Melanie",2
"Fake__Helen",37
"Faulkner__Roosevelt",5
"Fields__Gabriel",4
"Finkelstein__Samantha",2
"Fischer__Frank",1
"Ford__Cecilia_E.",15
"Fossati__Davide",27
"Frensley__Troy",5
"Fricke__Kyle_W.",8
"Friend__Michelle",68
"Fröhlich__Bernd",4
"Funaoi__Hideo",9
"Fuqua__Aeslya",26
"G__Nagarjuna",29
"Gao__Dandan",1
"Gebre__Engida",70
"Gemmell__Jonathan",7
"Georgen__Chris",44
"Georgiou__Yiannis",58
"Gergle__Darren",2
"Giannakos__Michail",2
"Giri__Sagun",48
"Gleasman__Cory",23
"Gnesdilow__Dana",21
"Godinez__Erick_Velazquez",1
"Gomez__Kimberly",54
"Gouveia__Christine",4
"Graesser__Art",6
"Gravel__Brian",10
"Gray__Steven",5
"Green__Nick",27
"Greenwald__Scott_W.",4
"Guo__Yu",17
"Gutu__Gabriel",12
"Hakkarainen__Kai",1
"Hall__Rogers",3
"Hämäläinen__Raija",34
"Hamid__Taha",7
"Hansen__Jennifer",3
"Hao__Jiangang",6
"Harrell__Maralee",43
"Harsley__Rachel",27
"Hartley__Kylie",5
"Hartmann__Christian",2
"Hatami__Javad",30
"Healion__Donal",24
"Hecking__Tobias",2
"Herrmann__Thomas",2
"Hickey__Timothy_J.",59
"Hill__Roger_B.",23
"Hinojosa__Leighanna",18
"Hirayama__Ryoya",9
"Hmelo.Silver__Cindy",5
"Hod__Yotam",55
"Holland__Jennifer",4
"Hollett__Ty",69
"Hong__Helen",52
"Hoppe__Ulrich",2
"Horn__Michael",17
"Huang__Joey",5
"Irgens__Golnaz_Arastoopour",16
"Jackson__Julia",36
"Jeong__Heisawn",5
"Jermann__Patrick",2
"Johri__Aditya",33
"Jordan__Rebecca",5
"Jung__Yong_Ju",11
"K.Martin__Caitlin",7
"Kaatz__Anna",15
"Kafai__Yasmin",3
"Kahn__Jennifer",3
"Kamsan__Muhamad_Ansar_B.",1
"Kanasa__Harry",14
"Kato__Hiroshi",9
"Kazemitabar__Maedeh_A.",50
"Kelly__Susan_B.",39
"Kerr__Deirdre",6
"Keune__Anna",51
"Khanlari__Ahmad",1
"Kim__ChanMin",23
"Kim__Nam_Ju",32
"Kim__Soo_Hyeon",66
"Kirschner__Paul",1
"Koh__Elizabeth",52
"Kollar__Ingo",1
"Krämer__Nicole_C.",2
"Kubota__Yoshihiko",9
"Kulik__Alexander",4
"Kunert__André",4
"Kyewski__Elias",2
"Kyllonen__Patrick",6
"Kyza__Eleni_A.",58
"Laferriere__Therese",1
"Laina__Vasiliki",10
"Lajoie__Susanne_P.",50
"Law__Nancy",45
"Lawrence__LuEttaMae",39
"Lee__Hee.Sun",22
"Lee__Jin_Ha",46
"Lee__Teo_Chew",19
"Lee__Ung.Sang",54
"Lee__Victor",3
"Lee__Victoria",4
"Leftheriotis__Ioannis",2
"Levy__Sharona",17
"Li__Taihua",7
"Liang__Leming",45
"Ling__Lee_Yu",19
"Linn__Marcia",8
"Litts__Breanne",3
"Liu__Lei",6
"Lord__Trudi",22
"Lui__Debora_A.",3
"Lui__Michelle",20
"Lund__Kristine",1
"Lyons__Leilah",56
"Ma__Leanne",1
"MacArthur__Chris",7
"Madaio__Michael",40
"Maes__Pattie",4
"Magnussen__Rikke",47
"Martin__Fred",62
"Martin__Nicole",21
"Matsuzawa__Yoshiaki",1
"Matuk__Camillia",8
"McAuley__Alexander",1
"McBride__Elizabeth",8
"McKeown__Jessica",5
"McLaren__Bruce",43
"McMullen__Kyla",13
"McNamara__Danielle",12
"Mercier__Emma",39
"Mislevy__Robert_J.",6
"Mochizuki__Toshio",9
"Moher__Tom",20
"Montané__Mireia",1
"Mulder__Martin",30
"Nachankar__Mrunal",29
"Nacu__Denise_C.",7
"Nathan__Mitchell_J.",15
"Newbutt__Nigel",4
"Newman__Greg",5
"Ng__Meixi",3
"Ni__Lijun",62
"Nickels__Katherine",14
"Nistor__Nicolae",49
"Noor__Jama",2
"Noroozi__Omid",30
"Noushad__Noora_F.",25
"Nunes__Cesar",1
"Nutchey__David",14
"Ogan__Amy",40
"Ohsaki__Ayano",1
"Olsen__Jennifer_K.",2
"Oshima__Jun",1
"Oshima__Ritsuko",1
"Ouyang__Xueying",11
"Pal__Joyojeet",33
"Pallant__Amy",22
"Pardos__Zach",2
"Park__Miyoung",25
"Parsons__Sarah",4
"Payne__Scott",4
"Peppler__Kylie",51
"Perera__Nishan",1
"Phillips__Abigail",3
"Pier__Elizabeth_L.",15
"Piland__Jacob",32
"Pinkard__Nichole",7
"Plevinski__Justin",41
"Polman__Joseph",18
"Pratt__Wanda",31
"Price__Kimberly_Michelle",13
"Price__Nancy",3
"Prieto__Luis_P.",2
"Pryputniewicz__Sarah",22
"Puhl__Thomas",35
"Puntambekar__Sadhana",21
"Quignard__Matthieu",1
"Quintana__Rebecca",20
"Raclaw__Joshua",15
"Raicu__Daniela",7
"Ratté__Sylvie",1
"Rau__Martina",2
"Rebedea__Traian",12
"Recker__Mimi",3
"Reeve__Richard",1
"Renken__Maggie",26
"Resendes__Monica",1
"Ricarte__Thales",6
"Richard__Gabriela",48
"Roberts__Jessica",56
"Rodríguez__Fernando_J.",13
"Rogers__Bradley",16
"Rose__Carolyn",1
"Rosson__Mary_Beth",61
"Ruffaldi__Emanuele",24
"Ruis__Andrew_R.",16
"Rummel__Nikol",2
"Russell__Sam",24
"Sagy__Ornit",55
"Sasaki__Hiroshi",9
"Scardamalia__Marlene",1
"Schneider__Bertrand",2
"Schwendimann__Beat_A.",34
"Sedik__Zahira_Mohd",19
"Seitamaa.Hakkarainen__Pirita",1
"Seo__JooYoung",11
"Serafin__Yvonne",49
"Serlin__Ronald",16
"Shaban__Yara",10
