"Author","CommR"
"Abels__Kristina",8
"Abrahamson__Dor",56
"Abrami__Philip",41
"Adams__Anne",13
"Aditomo__Anindito",14
"Agrawal__Pulkit",1
"Ahmad__S_Zanariah",17
"Ahmad__Salman",27
"Ahmet__Zeynep",20
"Alagha__Iyad",2
"Alavi__Hamed",3
"Alcaniz__Mariano",24
"Aleo__Franc",20
"Allaire__Stephane",7
"Allert__Heidrun",6
"Alterman__Richard",73
"Amelung__Chris",28
"Arastoopour__Golnaz",42
"Armitt__Gillian",1
"Arnold__Franziska",8
"Asensio.Perez__Juan",2
"Asher__Itay",10
"Avouris__Nikolaos",57
"Bamberger__Jeanne",29
"Banica__Dan",1
"Bao__Xianqing",9
"Baumgartner__Adrian",70
"Bauters__Merja",6
"Becher__Katharina",8
"Beckers__Anna",8
"Bereiter__Carl",4
"Berland__Matthew",49
"Bertram__Johanna",8
"Betrancourt__Mireille",48
"Beuth__Jack",1
"Bielaczyc__Katerine",4
"Bielaczyck__Katerine",4
"Blake__Canan",13
"Blancafort__Marta",7
"Blikstein__Paulo",71
"Blondel__Francois.Marie",7
"Bodemer__Daniel",3
"Bohm__Sonja",2
"Boluda__Pere",7
"Bonnard__Quentin",3
"Bopardikar__Anushree",1
"Boticki__Ivica",1
"Boutin__Pier.Ann",7
"Boyer__Mark",59
"Brennan__Karen",90
"Brett__Clare",69
"Breuleux__Alain",7
"Brown__Scott",59
"Brunger__Adrienne",2
"Buckley__Barbara",79
"Buder__Jurgen",3
"Buder__Jürgen",3
"Bull__Susan",63
"Burd__Elizabeth",2
"Bures__Eva",41
"Caeiro.Rodriguez__Manuel",77
"Cakir__Murat_Perit",4
"Calvo__Rafael",14
"Chai__Shaoming",9
"Chan__Anwar",1
"Chan__Carol",4
"Chan__Carol_K._K.",1
"Chan__Keung_Kai",21
"Chan__Lok_Sze",38
"Chan__Tak.Wai",12
"Chan__Yuen.Yan",1
"Chang__Hsin.Yi",5
"Chang__Hsiu.Mei",12
"Chang__Yu.Hui",4
"Chapman__Robbin",74
"Charles__Elizabeth",2
"Charles__Elizabeth_S.",2
"Chasteen__Michael",25
"Chaves__Gina",37
"Chaves__Wendy",37
"Chen__Bodong",4
"Chen__Chih.Mao",12
"Chen__Ching.Huei",80
"Chen__Fei.Ching",12
"Chen__Frank",27
"Chen__Gaowei",1
"Chen__Jennifer_King",5
"Chen__Mark",84
"Chen__Wenli",1
"Chen__Xidiao",9
"Chen__Yen.Hua",12
"Chen__Zhi.Hong",12
"Cheng__Gang",9
"Cheng__Kai.Tien",12
"Cheng__Kenneth",21
"Cheong__Siew_Kheng",17
"Chesler__Naomi",42
"Chin__Chee.Kuen",1
"Ching__Dixie",34
"Chiu__Chieh.Hsin",4
"Chiu__Jennifer",5
"Chiu__Ming_Ming",1
"Cho__Kwangsu",46
"Choi__Yin_Wai_Yvonne",38
"Chounta__Irene.Angelica",57
"Chow__Chi_Kin",33
"Choy__Chong_Wah_Cedric",17
"Chu__Ka_Tim",33
"Chu__Samuel_Kai_Wah",83
"Chuy__Maria",4
"Clegg__Tamara",4
"Collier__Nicole",23
"Collins__Trevor",13
"Condamines__Thierry",88
"Constantinou__Constantinos",10
"Constantinou__Costas_P.",61
"Contero__Manuel",24
"Coughlan__Tim",13
"Coulter__Bob",15
"Craft__Brock",1
"Cress__Ulrike",8
"Crider__Jeremy",2
"Cuendet__Sebastien",3
"D.Angelo__Cynthia",42
"Daily__Shaundra",74
"Damsa__Crina",6
"Danish__Joshua",26
"Dascalu__Mihai",1
"Davies__Sarah",13
"Davis__Sarah",58
"Dayan__Jacob",3
"De.Groot__Reuma",11
"de_Jong__Frank",36
"de_Laat__Hanneke",36
"De_Wever__Bram",2
"DeBarger__Angela_Haydel",1
"Dede__Chris",31
"Deguchi__Akiko",22
"Deiglmayr__Anne",3
"Delacruz__Girlie",26
"Deng__Liping",1
"Devlin__Alison",44
"Dickinson__Anthony_R.",4
"Dillenbourg__Pierre",3
"Dimitracopoulou__Angelique",47
"Dimitriadis__Yannis",1
"Do.Lenh__Son",3
"Dohrmann__Patrick",11
"Dong__Zhijiang",25
"Downton__Michael",29
"Dubrowski__Adam",16
"Dugdale__Michael",2
"Dunleavy__Matt",15
"Dyke__Gregory",1
"Eberbach__Catherine",19
"Effendi__David",58
"El.Refai__Walid",2
"Elinich__Karen",18
"Ellis__Cali",68
"Enriquez__Rutchelle",5
"Enyedy__Noel",26
"Erkens__Gijsbert",6
"Eseryel__Deniz",62
"Evans__Michael",2
"Feenberg__Andrew",41
"Fernandez__Eloy",2
"Ferreira__Deller",11
"Fesakis__Georgios",47
"Fields__Deborah",29
"Fischer__Frank",2
"Fraser__Danae_Stanton",1
"Fu__Ella",4
"Fueyo__Vivian",23
"Fukuda__Hiroyuki",40
"Funaoi__Hideo",40
"Fung__Yuen_Han",4
"Fyfe__Vilma",3
"Gardner__Christina",4
"Ge__Xun",62
"Gehlen.Baum__Vera",2
"Gentile__Sylvia",26
"Georgiou__Agni",53
"Gnesdilow__Dana",1
"Gnoli__Alessandro",2
"Goel__Ashok",19
"Goeze__Annika",2
"Goggins__Sean_P.",28
"Goodyear__Peter",3
"Gorsky__Paul",92
"Greene__Daniel",71
"Grotzer__Tina",31
"Gu__Xiaoqing",9
"Guichon__Nicolas",48
"Guo__Shaoqing",9
"Guribye__Frode",50
"Gutierrez__Jose",56
"Gweon__Gahgene",1
"Ha__Henry",33
"Hakkarainen__Kai",4
"Håklev__Stian",4
"Halatchliyski__Iassen",8
"Hamalainen__Raija",2
"Hamel__Christine",7
"Hamilton__Eric",37
"Hansson__Lena",10
"Harding__Nancy",37
"Harrer__Andreas",2
"Hasenbein__Melanie",30
"Hatch__Andrew",2
"Haussmann__Annette",8
"Heo__Gyeong_Mi",7
"Hernandez.Leo__Davinia",2
"Hernandez__Juan_Carlos",35
"Herodotou__Christothea",10
"Herrmann__Thomas",8
"Hesse__Friedrich_W.",3
"Hewitt__Jim",69
"Higgins__Steve",2
"Hirashima__Tsukasa",40
"Hmelo.Silver__Cindy",19
"Ho__K._C.",1
"Hoadley__Christopher",34
"Hong__Huang.Yao",4
"Hong__Ming",4
"Honwad__Sameer",19
"Hoppe__Ulrich",35
"Howley__Iris",2
"Hsiao__Ying.Ting",43
"Hsieh__Fang.Pei",5
"Hu__Chun",3
"Hui__Diane",4
"Hundertmark__Sarah",10
"Hunter__Judith",16
"Hussmann__Heinrich",2
"Idris__Sufian",52
"Ilomaki__Liisa",6
"Im__Jungtaek",46
"Inagaki__Shigenori",22
"Ioannou__Andri",53
"Jacobson__Michael",3
"Jaeger__Allison",2
"Janssen__Jeroen",6
"Jeong__Heisawn",1
"Jermann__Patrick",3
"Jing__Leng",7
"Johansson__Carolina",20
"Jonassen__David",14
"Jones__Ann",13
"Jonsson__Martin",20
"Jordan__Rebecca",19
"Joyce.Gibbons__Andrew",2
"Jurgens__Alke",11
"Kaendler__Celia",3
"Kafai__Yasmin",29
"Kahrimanis__Georgios",57
"Kali__Yael",3
"Kam__Matt",34
"Kamarainen__Amy",31
"Kamvar__Sep",27
"Kangas__Kaiju",4
"Kaplan__Frederic",3
"Kapur__Manu",3
"Karlgren__Klas",6
"Kartiko__Iwan",3
"Kawasaki__Miho",1
"Kay__Judy",55
"Kennedy.Clark__Shannon",3
"Kerawalla__Lucinda",13
"Kim__Beaumie",60
"Kim__Jihie",51
"Kim__Mi_Song",60
"Kimmerle__Joachim",8
"Kirschner__Paul",6
"Kirschner__Paul_A",6
"Kita__Chigusa",27
"Klopfer__Eric",15
"Knickle__Kerry",16
"Knight__Katherine",1
"Knipfer__Kristin",8
"Koedinger__Ken_R.",3
"Koh__Quee_Boon",5
"Kohen.Vacs__Dan",2
"Kohnle__Carmen",2
"Kollar__Ingo",2
"Kollias__Vassilis",10
"Kolodner__Janet",4
"Koper__Rob",32
"Kopp__Birgitta",30
"Krauskopf__Karsten",3
"Krumm__Andrew",45
"Ku__Yiu_Yee",21
"Kubota__Yoshihiko",39
"Kumar__Melissa",26
"Kumar__Rohit",1
"Kurti__Arianit",2
"Kusunoki__Fusako",22
"Kwok__Ching_Yin",38
"Kwok__S._M.",1
"Kynigos__Chronis",11
"Kyza__Eleni",10
"Kyza__Eleni_A.",61
"Laferriere__Therese",7
"Laffey__James",28
"Lai__Ming",1
"Lakkala__Minna",6
"Lally__Vic",44
"Lam__Bonnie",1
"Langer__Sybille",2
"Lapeyre__Jaime",16
"Larusson__Johann",73
"Lasry__Nathaniel",2
"Lau__Alison",21
"Lau__Siu_Fan",38
"Laurillard__Diana",1
"Law__Nancy",1
"LAW__Nancy",72
