"Author","CommR"
"X_",1
"Abrahamson__Dor",17
"Acosta__Alisa",1
"Ahn__June",3
"Ahonen__Arto_K.",28
"Ainsworth__Shaaron",5
"Alameh__Sahar",19
"Aleven__Vincent",4
"Allen__Carrie_D.",74
"Allen__Laura",34
"Alqassab__Maryam",7
"Anderson__Craig_G.",15
"Anderson__Emma",8
"Anderson__Janice",21
"Andrade__Alejandro",76
"Anjewierden__Anjo",36
"Applebaum__Lauren",40
"Arastoopour__Golnaz",20
"Arvaja__Maarit",78
"Arvidsson__Toi_Sin",67
"Ashley__Robert_W.",23
"Askari__Emilia",11
"Asterhan__Christa",11
"Awwal__Nafisa",28
"Azevedo__Flavio_S.",3
"Azevedo__Flávio_S.",3
"Bakker__Arthur",17
"Bal__Aydin",12
"Bang__Megan",3
"Barber.Lester__Kelly",21
"Barber.Lester__Kelly_J.",21
"Barcellos__Marcília_E.",60
"Barth.Cohen__Lauren_A.",82
"Barton__Angela_Calabrese",58
"Baruch__Alona_Forkosh",11
"Basu__Satabdi",73
"Becker__Sandra",7
"Beheshti__Elham",6
"Bell__Adam",3
"Bell__Philip",3
"Ben.Zvi__Dani",1
"Bereiter__Carl",92
"Berland__Matthew",2
"Bernstein__Debra",13
"Bertram__Charles",31
"Betz__Anica",41
"Bielaczyc__Katerine",1
"Binzak__John_V.",15
"Biswas__Gautam",73
"Blum.Smith__Sarah",59
"Bodemer__Daniel",29
"Borge__Marcela",38
"Boroujeni__Mina_Shirvani",2
"Boston__Carol",30
"Bouton__Edith",11
"Brandes__Ofra",18
"Brasel__Jason",64
"Brennan__Karen",59
"Brown__David_E.",19
"Buis__Stan_C._A.",62
"C.Linn__Marcia",40
"Cai__Huiying",71
"Cai__Qijie",9
"Cain__Ryan",3
"Cannady__Matthew_A.",3
"Care__Esther",28
"Catrambone__Richard",39
"Cavera__Veronica_L.",50
"Chagab__Noha",32
"Chai__Boon_Yen",14
"Champion__Dionne",6
"Champion__Dionne_N.",6
"Chan__Carol_K._K.",13
"Chan__Jody_R.",83
"Chandrasekharan__Sanjay",57
"Chang__Stephanie",1
"Charles__Elizabeth_S.",1
"Chase__Catherine_C.",33
"Chee__Joon_Kit_Kelvin",14
"Chen__Bodong",9
"Chen__Jingping",1
"Chen__Mei.Hwa",1
"Chen__Shu",24
"Chikunda__Charles",12
"Ching__Cynthia_Carter",66
"Chiu__Thomas_K.F.",88
"Choi__Gi_Woong",23
"Choi__Koun",1
"Christmann__Nina",4
"Chu__Shien",14
"Clarke__Sherice",10
"Clegg__Tamara",30
"Clegg__Tamara_L.",25
"Cocco__Felipe",2
"Collier__Wesley",20
"Collins__Jamie_M.",81
"Cournoyer__Nathan",1
"Crouse__Kevin",50
"Csanadi__Andras",7
"Cuendet__Sebastien",2
"Cunningham__Jahneille",35
"Curnow__Joe",83
"Cutshall__Jessica",26
"D.Angelo__Sarah",2
"da_Silva__Glauco_S._F.",60
"Dahn__Maggie",8
"Dalsen__Jennifer",15
"Danish__Joshua",8
"Dascălu__Mihai",48
"Davis__Katie",3
"Daxenberger__Johannes",7
"de_Jong__Ton",36
"de_Souza__Elisabeth_G.",60
"Deiglmayr__Anne",4
"Deitrick__Elise",18
"DeLiema__David",8
"Derry__Sharon",21
"DesPortes__Kayla",63
"DeSutter__Dane",5
"Dickes__Amanda_Catherine",61
"Dieckmeyer__Emily",1
"DiGiacomo__Daniela",3
"Dillenbourg__Pierre",2
"DiSalvo__Betsy",63
"Dornfeld__Catherine",5
"Dornfeld__Catherine_L.",5
"Dorph__Rena",3
"Dragomir__Mihaela",69
"Drayton__Brian",13
"Duckles__Joyce_M.",37
"Dugdale__Michael",1
"Dyer__Elizabeth_B.",6
"Dziallas__Sebastian",18
"Echevarria__Ruben",6
"Eisenhart__Margaret",74
"Elson__Malte",4
"Engeström__Yrjö",12
"Enyedy__Noel",8
"Erdmann__Julia",4
"Erkens__Melanie",29
"Evans__Chad",8
"Farris__Amy",61
"Fathema__Nafsaniath",5
"Feng__Mingyu",54
"Fields__Deborah",1
"Fincher__Sally",18
"Fischer__Frank",7
"Flake__Sabrina",41
"Flekova__Lucie",7
"Flood__Virginia_J.",17
"Forbes__Cory",13
"Franklin__Scott_V.",31
"Froehlich__Jon_E.",25
"Fynes.Clinton__Elizabeth",10
"Garner__Brette",64
"Gaydos__Matthew",1
"Gerard__Libby",2
"Gergle__Darren",2
"Gerritsen__David",10
"Ghanem__Christian",7
"Gijlers__Hannie",36
"Gnesdilow__Dana",5
"Gobert__Janice",53
"Goh__Wendy",80
"Goldberg__Tsafrir",10
"Gomez__Kimberley",35
"Gomez__Louis",35
"Gomoll__Andrea_S.",8
"Gonzalez__Carmen",49
"Gouvea__Julia_Svoboda",55
"Grainger__Rebecca",10
"Gravel__Brian",18
"Graville.Smith__Cynthia",11
"Grawemeyer__Beate",4
"Greenhow__Chrisine",11
"Grimes__Sara_M.",1
"Grover__Shuchi",2
"Gu__Xiaoqing",71
"Gurevych__Iryna",7
"Gutiérrez__José_Francisco",86
"Guzdial__Mark",39
"Habron__Geoffrey",55
"Hajny__Nik",2
"Häkkinen__Päivi",28
"Håklev__Stian",2
"Halls__Jonathan",5
"Halverson__Erica_R.",1
"Hansen__Alice",4
"Hardy__Lisa",72
"Harrer__Benedikt_W.",17
"Hartmann__Christian",4
"Hecking__Tobias",4
"Heijnes__Dewi",5
"Heimbuch__Sven",29
"Hensley__Lauren",26
"Herrmann__Thomas",4
"Hershkovitz__Arnon",11
"Hew__Khe_Foon",22
"Hickey__Daniel",2
"Hickey__Daniel_T.",2
"Hillman__Thomas",10
"Hilppö__Jaakko",6
"Hinojosa__Leighanna",11
"Hjorth__Arthur",6
"Hmelo.Silver__Cindy",8
"Hoadley__Christopher",16
"Hod__Yotam",1
"Holmes__Wayne",4
"Hong__Helen",43
"Hong__Huang.Yao",9
"Hoppe__Ulrich",4
"Hori__Naoto",9
"Horn__Ilana_Seidel",64
"Horn__Michael",6
"Horton__Emily",35
"Huang__Jun_Song",1
"Humburg__Megan",8
"Hung__David",70
"Iikubo__Shinya",9
"Illum__Randy",8
"Iordanou__Kalypso",80
"Jacobson__Michael",16
"Jiang__Shiyan",52
"Jin__Yinglian",24
"Johnson__Raymond",3
"Jona__Kemi",6
"Jordan.Douglass__Anna",15
"Jordan__Michelle_E.",81
"Jornet__Alfredo",87
"Joyce__Jeanette",50
"Judson__Darlene",91
"Jung__Yong_Ju",38
"Kabayadondo__Zaza",89
"Kafai__Yasmin",1
"Kali__Yael",1
"Kang__Seokbin",25
"Kang__Seokmin",5
"Kapon__Shulamit",56
