"Author","CommR"
"X.__Meixi",10
"Abelein__Hannah",124
"Abelson__Hal",1
"Abrahamson__Dor",1
"Acharya__Arup",24
"Acosta__Alisa",3
"Adams__Deanne",3
"Adams__Jennifer_D",8
"Adams__Joshua_Adams",68
"Addeh__Afe",1
"Agarwal__Priyanka",4
"Ahn__June",29
"Ainsworth__Shaaron",28
"Aleven__Vincent",5
"Allen__Shawndra",4
"Alozie__Nonye",2
"Amici.Dargan__Sheila_L.",101
"Anderson.Levitt__Kathryn",6
"Anderson__Alice",1
"Anderson__Charles_W",7
"Anderson__Eleanor",3
"Anderson__Emma",1
"Anderson__Janice_L.",87
"Anderson__Richard_C.",86
"Anderson__Robin_Keturah",181
"Anderson__Theresa_Dirndorfer",25
"Andrade__Alejandro",1
"Andrews__Chelsea_J",33
"Anton__Gabriella",1
"Applebaum__Lauren_R.",2
"Archibeque__Benjamin_Archibeque",39
"Arend__Béatrice",113
"Arias__Anna_Maria",112
"Arukovic__Selma",5
"Asaridou__Salomi_S.",43
"Asino__Tutaleni_I._I",123
"Askari__Emilia",79
"Asterhan__Christa",135
"Atarashi__Erika",38
"Atit__Kinnari",13
"Av.Shalom__Na.ama_Y.",6
"Avry__Sunny",151
"Bae__Haesol",11
"Bain__Connor",1
"Baker.Doyle__Kira_J",7
"Baker__Ryan",48
"Baker__Sara",64
"Bakker__Arthur",1
"Bang__Megan",4
"Banks__Tarrence",7
"Bar.El__David",76
"Barab__Sasha",6
"Baradaran__Nilou",8
"Baram.Tsabari__Ayelet",139
"Barany__Amanda",83
"Barber.Lester__Kelly_Johnson",87
"Barbieri__Christina",45
"Barma__Sylvie",8
"Barnes__Jackie",3
"Barron__Brigid",10
"Bartell__Tonya",41
"Barth.Cohen__Lauren",114
"Barton__Angela_Calabrese",8
"Barzilai__Sarit",6
"Bastani__Reyhaneh",126
"Basu__Satabdi",1
"Bateman__Kathryn",144
"Bayeck__Rebecca_Yvonne",183
"Baylor__Amy_L",184
"Beck__Stephanie",8
"Becker__Sandra",50
"Bedell__Kristin_Dana_Bedell",3
"Behrendt__Lena",70
"Bell__Amanda_M",4
"Bell__Amani",118
"Bell__Philip",2
"Ben.Horin__Hava",3
"Ben.Zvi__Dani",22
"Bender__Sophia",7
"Benedict.Chambers__Amanda",112
"Berg__Yngvar",117
"Berland__Leema_K.",6
"Berland__Matthew",52
"Bernstein__Debra",33
"betser__sagit",71
"Betser__Sagit",71
"Bhaduri__Srinjita",2
"Bhattacharya__Devarati",54
"Bian__Yulong",30
"Bienkowski__Marie",1
"Bild__David",4
"Binder__Torsten",2
"Biswas__Gautam",2
"Blaskova__Lenka_Janik",64
"Blikstein__Paulo",1
"Boardman__Alison",115
"Bod__Petra",176
"Bodemer__Daniel",36
"Bohrmann.Linde__Claudia",28
"Bonsignore__Elizabeth",29
"Booth__Julie_L.",45
"Bopardikar__Anushree",150
"Borge__Marcela",20
"Bosch__Nigel",20
"Bowers__Nicole",31
"Boyer__Kristy_Elizabeth",155
"Braden__Sarah",114
"Brady__Corey",4
"Brady__Katherine",59
"Bragelman__John",177
"Brailsford__Timothy",47
"Brand__Charleen",5
"Brand__Michala",27
"Brandon__Diana",79
"Braun__Maggie",46
"Brett__Clare",85
"Breuleux__Alain",8
"Briggs__Derek",2
"Britton__Edward",55
"Brock__Karen",90
"Brooks__Christopher",16
"Brown__David",1
"brown__denise",31
"Brown__Rachael_Eriksen",125
"Brownell__Sara",68
"Bruchok__Christiana_Bruchok",31
"Brune__Laura",70
"Bruner.Timmons__Joan",98
"Bruton__Ilana",4
"Bruton__Rebecca",110
"Buckingham.Shum__Simon",25
"Buitrago__Juanita",21
"Bulalacao__Nicole",15
"Bumbacher__Engin",1
"Bumgardner__Karen",62
"Bush__Jeffrey",146
"Butcher__Kirsten_R.",105
"Byrne__Virginia_L",1
"Byun__Sunghwan",41
"Bywater__Jim_P",3
"Cabrera__Lautaro",29
"Caccamise__Donna",4
"Caceres__Zulay_Diaz",50
"Campen__Carolien_Knoop.van",5
"Cardello__Suzanne",169
"Carlson__Spencer_Evan",42
"Carmichae__Jaclyn",4
"Carney__Michele",61
"Carstens__Franziska",1
"Carvalho__Paulo",147
"Casort__Teresa",37
"Cassell__Justine",19
"Castro.Faix__Moraima",6
"Cavera__Veronica_L",6
"Cavey__Laurie_Overman",61
"Caviglia__Francesco",164
"Celepkolu__Mehmet",155
"Chaffee__Rachel",8
"Chan__Carol",9
"Chan__Kennedy",9
"Chandler__Mark_A",54
"Chang__Amy_A",145
"Chang__Maria_D",24
"Chang__Yu.Hui",49
"Chao__Jie",3
"Chapman__Katherine_Carr",4
"Charles__Elizabeth_S.",40
"Chartrand__Grant",143
"Chase__Catherine",5
"Chattergoon__Rajendra",2
"Chavez__Rosa",78
"Cheah__Yin_Hong",81
"Chelule__Geoffrey",1
"Chen__Bodong",159
"Chen__Gaowei",9
"Chen__Grace_A.",189
"Chen__Guanhua",32
"Chen__Jason",157
"Chen__Kaifeng",16
"Chen__Wenli",132
"Chen__Yali",12
"Chen__Ying.Chih",156
"Chen__Yuxin",11
"Cheng__Britte",67
"Cheng__Ka_Lok",9
"Chi__Michelene_T._H.",68
"Ching__Dixie",7
"Chinn__Clark",6
"Chiu__Jennifer",3
"Chiu__Thomas_K.F.",214
"Chiyonishio__Yuji",18
"Cho__Sun_Joo",59
"Choi__Heeryung",16
"Chounta__Irene.Angelica",147
"Chu__Eric",21
"Chu__Man.Wai",171
"Chu__Sharon_Lynn",99
"Chuong__Steven",34
"Clark__Douglas_B.",3
"Clarke.Midura__Jody",14
"Clarke__Julia",81
"Clarke__Sherice",9
"Clase__Kari",6
"Clegg__Tamara",1
"Codere__Susan",2
"Cohen__Jonathan",26
"Conlin__Luke",10
"Connolly__Helena",5
"Console__Katie",77
"Cordero__Eugene",96
"Cordero__Mikey",7
"Corrigan__Seth",7
"Costa__Stacy",17
"Courshon__Caitlin",27
"Craig__Kalani",11
"Cress__Ulrike",66
"Crowley__Kevin",107
"Cui__Yi",106
"Cukurova__Mutlu",158
"Cullicott__Catherine_E.",156
"Cun__Aijuan",128
"Curnow__Joe",179
"Curwood__Jen_Scott",118
"Cutumisu__Maria",34
"D.Angelo__Cynthia",67
"Dabholkar__Sugat",1
"Dado__Marielle",36
"Dagan__Efrat",14
"Dahn__Maggie",1
"Damsa__Crina",117
"Danahy__Ethan",33
"Dance__Sequoia_Lynn",37
"Daniel__Shannon_M.",80
"Danish__Joshua",1
"Dasgupta__Chandan",3
"Datu__Emmanuella",86
"Datye__Abhaya_K",73
"Davis__Bria",1
"Davis__Darrel",97
"Davis__Pryce",203
"Davis__Richard_Lee",1
"Day__Natalie",64
"De_Backer__Liesje",5
"de_Freitas__Elizabeth",4
"De_Grez__Nore",141
"de_Laat__Maarten",7
"de_los_Santos__Elizabeth_Xeng",7
"De_Wever__Bram",141
"Deep__Anurag",219
"Deitrick__Elise",15
"DeLaRosa__Mia",31
"Delgado__Cesar",133
"DeLiema__David",1
"DellaVecchia__Gabriel_P.",60
"Demir.Lira__Özlem_Ece",43
"Denton__Rebecca",77
"Depaepe__Fien",23
"Derry__Sharon",87
"Desmet__Piet",23
"DeVane__Benjamin",27
"Di_Tosto__Gennaro",109
"Diana__Nicholas",1
"Dich__Yong_Li",57
"Dickler__Rachel",121
"Diera__Claudia",6
"Dietmeier__Jeremy",27
"Dietz__Brianna",88
"Dillenbourg__Pierre",5
"Ding__Lu",68
"Dixon__Colin_G",71
"Dmello__Sidney_DMello",48
"Doll__Jenifer",122
"Donaldson__Jonan_Phillip",83
"Doroudi__Shayan",12
"Doubler__Susan",150
"Dowell__Nia",16
"Dragnic.Cindric__Dalila",91
"Dresel__Markus",5
"Dubovi__Ilana",14
"Duesbery__Luke",3
"Dugdale__Michael",40
"Duncan__Ravit",6
"Duvall__Matthew",95
"Dvir__Michal",22
"Dyer__Elizabeth_B",55
"Dyer__Elizabeth_B.",197
"Eagan__Brendan_R",58
"Eagle__Michael",1
"Easley__Kathleen_M.",60
"Easterday__Matthew",42
"Eberle__Julia",5
"Edwards__Kelsey",35
"Ehrenfeld__Nadav",142
"Eisenberg__Michael",188
"El.Moslimany__Hebbah",6
"Elby__Andrew",2
"Elen__Jan",23
"Eliason__Chad",81
"Elliott__Colin_Hennessy",4
"Elliott__Leslie_Atkins",114
"Enyedy__Noel",1
"Erickson__Tim",15
"Erkens__Melanie",36
"Essmiller__Kathy",123
"Eylon__Bat.Sheva",3
"Farrar__Scott",53
"Feinstein__Noah_Weeth",6
"Feldon__David_F",37
"Feng__Mingyu",62
"FENG__Xueqi",9
"Feraud__Iván_Silva",25
"Fernandez__Cassia",1
"Ferrara__Francesca",4
"Ferrari__Giulia",4
"Fick__Sarah_J",112
"Fields__Deborah",1
"Finch__Lila",1
"Finzer__William",15
"Fisher__Douglas",59
"Fitzgerald__Miranda_S",60
"Flanagan.Hall__Grace_Ann",13
"Flood__Virginia_J",1
"Flores__Yuliana",19
"Floryan__Mark",3
"Forbes__Cory",54
"Fortus__David",2
"Fowler__Teresa_Anne",171
"Francois__Annamarie",6
"Frank__Kenneth_A.",7
"Franke__Baker_E",1
"Franklin__Scott",39
"Fratamico__Lauren",21
"Friend__Michelle",1
"Fritzsche__Eva_S.",65
"Froehlich__Jon",1
