"Author","CommR"
"Aalst__Jan_van",35
"Admiraal__Wilfried",31
"Allert__Heidrun",4
"Allmendinger__Katrin",1
"Amelsvoort__Marije_van",49
"Anderson__Richard_J.",7
"Anderson__Ruth_E.",7
"Andreassen__Eskil_F.",32
"Andriessen__Jerry",49
"Anido.Rifón__Luis_E.",25
"Avouris__Nikolaos_M.",27
"Ayala__Gerardo",54
"Baggetun__Rune",33
"Baker__Michael_J.",20
"Barnhart__Amber",2
"Basu__Anindita",48
"Beck__Robert_J.",29
"Benford__Steve",5
"Beuschel__Werner",55
"Bouillion__Lisa",14
"Boxtel__Carla_A._M._van",19
"Bruggen__Jan_van",8
"Caeiro__Manuel",25
"Cao__Yang",45
"Caspar__Franz",1
"Cavallo__David",48
"Chan__Carol_K._K.",35
"Chanier__Thierry",46
"Chen__Weiqin",22
"Cohen__Jonathan",16
"Conlee.Stevens__Mindy",2
"Dai__James",16
"Dawabi__Peter",24
"Dimitracopoulou__Angelique",39
"Dimitriadis__Yannis_A.",26
"Dolonen__Jan",22
"Dragsnes__Steinar",33
"Dreher__D.",18
"Drie__Jannet_van",19
"Druin__Allison",18
"Duffy__Tom",8
"Erkens__Gijsbert",19
"Fernandez__Alejandro",24
"Fidas__Christos",27
"Fiehn__T.",3
"Fischer__Frank",14
"Fitzgerald__William_J.",29
"Foyn__B.",30
"Fraser__Danae_Stanton",15
"Fraser__Mike",5
"Fuente__P._de_la",26
"Gaßner__Katrin",9
"Girardeau__Laura_E.",28
"Gomez__Louis",14
"Graner__Mark",21
"Greer__Jim_E.",45
"Griswold__William_G.",17
"Guribye__Frode",32
"Haake__Jörg_M.",36
"Hakkarainen__Kai",12
"Häkkinen__Päivi",13
"Hammer__David_M.",18
"Harrer__Andreas",9
"Herrmann__Kai",9
"Hesse__Friedrich_W.",1
"Hodgson__Vivien",47
"Hoppe__Heinz_Ulrich",9
"Hübscher.Younger__Teresa",42
"Huing__K.",5
"Hundhausen__Christopher_D.",28
"Iacucci__Carlo",23
"Inagaki__Shigenori",11
"Jansen__Marc",9
"Järvelä__Sanna",13
"Jensen__Nils",4
"Jochems__Wim_M._G.",8
"Juvina__Ion",40
"Kanselaar__Gellof",19
"Kargiotakis__Georgios",10
"Kessels__Joseph",21
"Kirschner__Paul",8
"Klawe__Maria_M.",16
"Kollias__Vassilios_P.",10
"Komis__Vassilis",27
"Koschmann__Timothy",2
"Kreijns__Karel",8
"Kusunoki__Fusako",11
"Laat__Maarten_De",37
"Lally__Vic",37
"Lauer__Tobias",3
"Law__Nancy",43
"Lee__John",23
"Lehtinen__Erno",12
"Lienhard__Jochen",3
"Llamas__Martín",25
"Louca__Loucas",18
"Ludvigsen__Sten_R.",22
"Lund__Kristine",20
"Madrazo__Leandro",53
"Mäkitalo__Kati",13
"Mamalougos__Nektarios_G.",10
"Mandl__Heinz",14
"Martínez.Monés__Alejandra",26
"Maus__E.",30
"Mørch__Anders_I.",22
"Moriya__Kazuyuki",6
"Moshaiov__Amiram",52
"Mulder__Ingrid",21
"Narayanan__N._Hari",42
"Nejdl__Wolfgang",4
"Nurmela__Kari",12
"O.apos.Malley__Claire",5
"Okada__Masaya",6
"Olbrich__Stephan",4
"Oostendorp__Herre_van",40
"Ophoff__Jacques_G.",1
"Ottmann__Thomas",3
"Pain__Helen",23
"Palonen__Tuire",12
"Pata__Kai",34
"Pauksztat__B.",29
"Petrou__Argiro",39
"Pol__Jakko_van_der",31
"Pöysä__Johanna",13
"Price__Sara",15
"Puntambekar__Sadhana",44
"Quignard__Matthieu",20
"Ratto__Matt",17
"Reffay__Christophe",46
"Reimann__Peter",38
"Reyes__Pablo",41
"Richter__Christoph",4
"Robbs__Julie",2
"Rogers__Yvonne",15
"Rummel__Nikol",1
"Säljö__Roger",51
"Sarapuu__Tago",34
"Schornstein__Katrin",1
"Schümmer__Till",36
"Seipel__Stefan",4
"Séjourné__Arnauld",20
"Shapiro__R._Benjamin",17
"Simons__R..J.",31
"Smith__Hilary",15
"Solheim__Ivar",30
"Spada__Hans",1
"Stahl__Gerry",50
"Stanton__Danae",5
"Sugimoto__Masanori",11
"Suthers__Dan",28
"Swaak__Janine",21
"Takatoki__Kuniyoshi",11
"Tarumi__Hiroyuki",6
"Tchounikine__Pierre",41
"Trahasch__Stephan",3
"Troitzsch__H.",1
"Truong__Tan_Minh",17
"Ulicsak__Mary_Helen",56
"Vamvakoussi__Xanthi",10
"VanDeGrift__Tammy",7
"Vosniadou__Stella",10
"Wasson__Barbara",32
"Wessner__Martin",24
"Wolfman__Steven_A.",7
"Wong__Elaine",43
"Wu__Mike",16
"Yamada__Akimichi",6
"Yasuhara__Ken",7
"Yoshida__Mizuki",6
"Yoshikawa__Atsushi",11
"Young__Michael_F.",44
"Young__Nata",2
"Zemel__Alan",2
"Zenios__Maria",47
"Zumbach__Jörg",38
"Zupancic__Bernd",3
