"Author","CommR"
"X_",34
"Abrahamson__Dor",21
"Ackermann__Edith",1
"Alejandre__Suzanne",8
"Alibali__Martha_Wagner",64
"Allbritton__David",18
"Allert__Heidrun",74
"Amar__Bob",12
"Andrews__Carleen",42
"Angelillo__C.",58
"Aronis__John",18
"Asgari__Mahboubeh",4
"Ash__Doris",32
"Asmussen__Erik",1
"Atkins__Leslie_J.",87
"Au__Julie",48
"Auderset__Pierre.Benoit",55
"Azevedo__Flavio",2
"Azevedo__Roger",45
"Bain__Robert_B.",30
"Baker__Ryan_Shaun",43
"Baloian__Nelson",23
"Bannon__Liam",10
"Barab__Sasha",16
"Barak__Moshe",99
"Barnett__Michael",9
"Barnett__Mike",16
"Barron__Brigid",2
"Bartholome.__Tobias",3
"Basu__Anindita",1
"Baylor__Amy_L.",98
"Beckett__Kelly_L.",40
"Begel__Andrew",1
"Bell__Philip",4
"Bereiter__Carl",5
"Berland__Matthew_W.",21
"Best__Rachel",22
"Bevis__Korin_J.",12
"Blair__Kristen_P.",56
"Blikstein__Paulo",1
"Blumenfeld__Phyllis",7
"Bowers__Janet_S.",8
"Bowman__Cassie",17
"Brenner__Mary_Betsy",32
"Brenninkmeyer__Lawrence_D.",31
"Breuer__Henning",23
"Bromme__Rainer",3
"Bruckman__Amy_S.",12
"Bryant__Shaundra",1
"Cassell__Justine",6
"Catrambone__Richarad",29
"Cavallo__David",1
"Cavallo__David_P.",1
"Chambers__Eric_Karl",41
"Chang__Juyu",25
"Chang__N.M.",36
"Charles__Elizabeth_S.",66
"Chavez__Dawn",9
"Chen__David",52
"Chen__Fei.ching",96
"Chen__Siyu",1
"Chernobilsky__Ellina",20
"Ching__Cynthia_Carter",3
"Chinn__Clark",59
"Cho__Moon.Heum",19
"Choi__Sunhee",48
"Ciolfi__Luigina",10
"Clark__Douglas_B.",90
"Clarke__Jody",17
"Cobb__Paul",2
"Collazos__Ce.sar_A.",5
"Collins__Allan",37
"Corbett__Albert_T.",43
"Cornelius__Lindsay_L.",81
"Cortina__Jose_Luis",2
"Creighton__Laura",65
"Cress__Ulrike",76
"Crowley__Kevin",13
"d.Apollonia__Sylvia_T.",66
"DaCosta__Maria_Carolina",59
"Dai__James",6
"Davis__Elizabeth_A.",44
"de_Osuna__Jennifer_Garcia",35
"Dede__Chris",17
"del_Valle__Rodrigo",25
"DelMarcelle__Matt",63
"Deni__Leah",9
"Derry__Sharon",63
"Dillenbourg__Pierre",55
"diSessa__Andrea",1
"Doane__William_E._J.",3
"Doppelt__Yaron",78
"Duffy__Thomas",25
"Duschl__Richard",13
"Edelson__Daniel",2
"Egmon__Jean",37
"Eguchi__Amy",50
"Eisenberg__Michael",70
"Esmonde__Indigo",68
"Fasse__Barbara_Burks",100
"Fernaeus__Ylva",53
"Ferris__Kieran",10
"Finke__Coe_Leta",13
"Fischer__Frank",3
"Fishman__Barry",7
"Fishman__Barry_J.",67
"Floyd__Randy_G.",22
"Foley__Brian_J.",57
"Ford__Michael_J.",93
"Forsyth__Lachlan",49
"Fournier__Janice_E.",85
"Gallagher__Paul",10
"Galton__Ayala",14
"Gazit__Elchanan",52
"Geier__Robert",7
"Gerjets__Peter",29
"Germine__Laura",35
"Goldman__Rachel",50
"Goldman__Shelley",46
"Goldman__Shelley_V.",60
"Goldman__Susan",6
"Gomez__Louis",27
"Gordon__Andrew_S.",91
"Gotwals__Amelia_Wenk",62
"Gouldstone__Ian",6
"Grant__Jamillah_M.",16
"Guerrero__Luis_A.",5
"Guizzardi__Renata",26
"Guzdial__Mark",38
"Gwon__Yu.sun",15
"Hall__Rogers",24
"Hall__Tony",10
"Halverson__Erica",97
"Hancock__Chris",1
"Hand__Victoria_M.",8
"Hapgood__S.",33
"Harada__Violet_H.",3
"Harris__Bruce",3
"Hayes__Gillian_R.",12
"Hedman__Anders",10
"Hendrix__Susan",70
"Hesse__Friedrich.Wilhelm",76
"Hickey__Daniel",2
"Hickey__Daniel_T.",4
"Hickey__Nora",10
"Higginbotham__Thomas",16
"Hindo__Claudia",27
"Hmelo.Silver__Cindy",20
"Hoadley__Christopher_M.",77
"Hodge__Lynn",2
"Holmberg__Jesper",53
"Hoppe__Ulrich",23
"Hsi__Sherry",13
"Hung__Woei",19
"Ishii__Norio",15
"Ishiyama__Taku",54
"Johnson__Zanette",2
"Johri__Aditja",2
"Jonassen__David",19
"Joseph__Diana",2
"Joseph__Diana_M.",2
"Jucks__Regina",3
"Jurow__A._Susan",65
"Katz__Sandra",18
"Kehoe__Colleen",6
"Ketelhut__Diane_Jass",17
"King__Heather",13
"Kirby__Joshua_A.",77
"Klopfer__Eric",1
"Kobayashi__Hiroko",89
"Koch__Melissa",11
"Koedinger__K.R.",36
"Koedinger__Ken_R.",43
"Kolodner__Janet",51
"Koschmann__Timothy",5
"Krajcik__Joseph",7
"Krajcik__Joseph_S.",61
"Krupnick__Charles",28
"Kurz..Milcke__Elke",47
"Kwon__Samuel_M.",27
"Kyza__Eleni_A.",88
"La_Torre__Deborah",57
"Lahav__Orly",75
"Lamberty__K.K.",38
"Lamon__Mary",42
"Langford__Heather",9
"LaVoie__Noelle",28
"Lee__Victor",31
"Lehrer__Rich",24
"Lid__Viil",3
"Lin__Hsien.Ta",67
"Liu__Lei",20
"Liu__Yan",80
"Lizotte__David_J.",7
"Lomangino__A.",33
"Lonn__Steve",71
"Lord__Charles",9
"Louwerse__Max",22
"Lovett__M.C.",36
"Lucas__Deb",24
"Luera__Gail_R.",79
"MacLeod__Shaunna",6
"Magnusson__S._J.",33
"Maldonado__Heidy",46
"Maloney__John",1
"Mandl__Heinz",3
"Marathe__Surabhi",20
"Martin__Caitlin",2
"Martin__Taylor",83
"Marx__Ronald",7
"McClain__Kay",2
"McGee__Steven",4
"McNamara__Danielle",22
"McNeill__Katherine_L.",7
"McPhee__Sara",2
"Mercier__Emma",2
"Meyer__Jason",39
"Mioduser__David",75
"Miwa__Kazuhisa",15
"Miyake__Naomi",73
"Molani__Alessandra",26
"Mondoux__Jacques",55
"Moos__Daniel_C.",45
"Moschkovich__Judit_N.",32
"Mouza__Chrystalla",84
