"Author","CommR"
"Abrahamson__Dor",31
"Abrahamson__Sneha_Veeragoudar_Harrell_and_Dor",90
"Albright__Emil",6
"Amelung__Chris",17
"Andriessen__Jerry",2
"Aqui__Yvette_M.",21
"Aro__Katariina_Salmela.",8
"Arthur__Alexander",23
"Asensio.Pérez__Juan_Ignacio",4
"Asterhan__and_Christa_S._C.",1
"Avouris__Nikolaos",1
"Barron__Brigid",3
"Baurens__and_Benoit",1
"Beals__and_Laura",26
"Bers__Marina",26
"Bielaczyc__and_Katerine",60
"Bitterman__Alan",41
"Blikstein__Paulo",31
"Bodemer__Daniel",33
"Bodemer__Juergen_Buder_and_Daniel",83
"Boling__Erica",74
"Boughner__Britton",27
"Brahm__Taiga",2
"Brecha__John",4
"Breugelmans__and_Seger",47
"Brock__Yaro",23
"Brown__Barry",18
"Bruckman__and_Amy",52
"Buder__and_Juergen",33
"Buss__and_Kristin_A.",40
"Cakir__and_Murat",12
"Cakir__Murat",12
"Chae__Hui_Soo",42
"Chan__Carol",51
"Chang__and_Kuo.En",37
"Chang__Chun.Yen",6
"Chau__Clement",26
"Chaudhury__Raj",4
"Chen__Der.Thanq",10
"Chen__Fei.Ching",58
"Chen__Gaowei",49
"Chen__Weiqin",66
"Chiu__Ming_Ming",49
"Cho__Kwangsu",46
"Clark__Douglas_B.",2
"Clarke__Jody",7
"Cocciolo__Anthony",42
"Cohen__and_Julia",23
"Cooke.Plagwitz__and_Jessamine",32
"Corliss__Stephanie",22
"Cox__and_Karen",17
"Cress__and_Ulrike",20
"Cui__and_Yue",6
"Cui__Yue",6
"Davis__Sarah",77
"De_Groot__Reuma",1
"de_Jong__Ton",7
"De_Laat__Maarten",1
"De_Wever__Bram",29
"Dede__Chris",7
"Dede__Jody_Clarke_and_Chris",100
"Deguchi__Akiko",9
"Dehler__Jessica",33
"DelMarcelle__Sharon_Derry_and_Matt",71
"Der.Thanq__and_Victor_Chen",10
"DiDonato__and_Nicole",50
"DiGiano__Chris",4
"Dillenbourg__and_Pierre",15
"Dillenbourg__Pierre",2
"Dimitracopoulou__Tharrenos_Bratitsis_and_Angelique",81
"Dimitriadis__Yannis",4
"Ding__Ning",87
"Diziol__Dejana",2
"Donoahue__Zoe",13
"Dori__and_Judy",19
"Drachman__Raul",1
