"Author","CommR"
"Schmitt__Lara",14
"Schneider__Bertrand",4
"Schoenfeld__Ilana",7
"Schubert__Michael",15
"Shaffer__David_Williamson",49
"Sharma__Kshitij",4
"Shehab__Saadeddine",2
"Sheldon__Josh",7
"Silva__Alexandra",2
"Silva__Brenda_Lo.pez",2
"Slotta__James",2
"So__Hyo.Jeong",46
"Stahl__Gerry",22
"Stegmann__Karsten",1
"Stevens__Reed",35
"Sun__Yanqing",10
"Sun__Zhiru",25
"Suzuki__Hideyuki",13
"Tabak__Iris",3
"Tal__Tali",3
"Tan__Esther",46
"Tao__Dan",10
"Tarnai__Christian",9
"Taub__Michelle",1
"Tchounikine__Pierre",36
"Thiemann__Daniel",15
"Thompson__Kate",5
"Tomar__Gaurav",1
"Trausan.Matu__Stefan",9
"Tra.us.an.Matu__S.tefan",9
"Tsovaltzi__Dimitra",14
"Uchidiuno__Judith",12
"Ufer__Stefan",1
"van_Aalst__Jan",37
"Verma__Himanshu",4
"Vogel__Freydis",1
"von_Davier__Alina",20
"Wake__Jo_Dugstad",31
"Wakimoto__Takehiro",13
"Walker__Erin",21
"Wang__Patrick",36
"Wang__Qiyun",40
"Wardak__Dewa",5
"Warren__Jillian",1
"Wasson__Barbara",31
"Weinberger__Armin",14
"Weiss__Patrice_L.",3
"Wen__Miaomiao",1
"Wen__Yun",4
"Wendel__Daniel",7
"Werneburg__So.ren",8
"White__Tobin",41
"Whittaker__Chris",11
"Wichmann__Astrid",2
"Wise__Alyssa",1
"Wylie__Ruth",21
"Xie__Kui",25
"Xie__Wenting",4
"Xing__Wanli",28
"Yang__Diyi",1
"Yang__Yuqin",37
"Yip__Jason_C.",12
"Yoon__Susan",7
"Zahid__Aejaz",33
"Zhang__Jianwei",10
"Ziebarth__Sabrina",8
"Zufferey__Guillaume",4
