"id","Author"
"b3f44904-0a3f-4a07-a1c4-b265381e6d42","Cakir__Murat"
"30000e3d-369b-4630-b586-90c63953304e","Chan__Carol"
"4e3672fc-dfd9-46f0-b0fe-ae6428937fdd","Clark__Douglas_B."
"bb404c52-bf12-4ec1-a114-8b455a6239cc","Shumar__Elizabeth_Charles_and_Wesley"
"623ce165-a3df-40f0-ba72-4b072c82f187","Chen__Der-Thanq"
"fca5f7af-c0d8-4b5b-8e00-f3da62d94858","Chen__Fei-Ching"
"b828c787-2e18-40e1-9068-cb7294466ce3","Chen__Gaowei"
"92d5d3e8-be90-4050-9b14-a136e5baa574","Chen__Weiqin"
"245a7929-cc2f-47f1-ab2d-72410316e2f6","Cho__Kwangsu"
"63c29685-bb4c-4d50-b908-aa3c40e055c1","Dede__Jody_Clarke_and_Chris"
"afeebd23-9637-417a-801c-da81b3904819","Cocciolo__Anthony"
"303d5938-d8c6-4661-abe0-a4b21e486679","Corliss__Stephanie"
"9dc90948-314c-4ebc-8bf9-8c84babb5aa7","Kimmerle__Ulrike_Cress_and_Joachim"
"978eb438-20f2-4cbe-9cbe-b1306cc2235e","Davis__Sarah"
"d1e865a8-b5a2-4eff-8242-9046e2bf27e7","De_Groot__Reuma"
"5eae76e3-c2c3-4c9d-8502-69b175fd7994","Dehler__Jessica"
"eed61911-bea5-457a-8a08-1dafe007ee5a","DelMarcelle__Sharon_Derry_and_Matt"
"c6b63eeb-ca29-4fd9-bfe0-cbc5b687e905","Dimitriadis__Yannis"
"21f7f19b-918a-4c48-8489-1b23ebc8f5eb","Ding__Ning"
"74912e5e-d040-4727-8be0-5969f8f02ab4","Tergan__Tanja_Engelmann_and_Sigmar-Olaf"
"ff332149-d499-4380-8972-0c736979c9d8","Ferraris__Christine"
"9b70856c-52be-42d3-9c94-e46e03d44c18","Kafai__Deborah_Fields_and_Yasmin"
"4289c626-6ff0-495a-9a18-ee810aa0c94e","Kafai__Deborah_Fields_and_Yasmin"
"beccd86c-c08f-4724-8229-5d0113a773a3","Gan__Yongcheng"
"e93dc26c-fed5-4287-950c-157f1f48966a","Kolodner__Christina_Gardner_and_Janet"
"c4e5acc6-6aaa-4b8f-bee5-bf7034b93254","Gobert__Janice"
"6e3ab280-8f11-4719-976a-628fe7991d25","Gil__Julia"
"805e180e-6e6b-48e2-a7d0-953cc0115f84","Schultz__Christine_Greenhow_and_Kimberly"
"3d39da4e-4209-47af-9e7e-d12b252ed2a4","Gweon__Gahgene"
"27013ca2-e487-450c-ad7a-0b6796a93e9d","Halverson__Erica"
"4245babb-c87e-4f70-964a-18076b7b843c","Hamilton__Eric"
"00e3570f-e9d3-415c-86e7-169bf83f73b1","Spada__Miriam_Hansen_and_Hans"
"c7608ca6-c194-4491-afad-89dffd24127b","Miyake__Naomi"
"29b2ac8f-3c40-4289-bc1d-65f777a7ab7c","Abrahamson__Sneha_Veeragoudar_Harrell_and_Dor"
"b8ad4e2b-dc8c-451c-8f2c-2f787c699439","Harrer__Andreas"
"628477fb-168c-4b7d-92b8-b4273d61382f","Harrer__Andreas"
"15e77fa2-9769-4010-8295-879b84d3a6d7","Harrer__Andreas"
"105f9174-92a4-4476-bec9-8f374b978043","Henning__Jan"
"e6ab113a-f5fc-48ce-9b7d-2cb7afbcab15","Hever__Rakheli"
"524778aa-06e1-4746-9262-a15e73460efd","Peters__Jim_Hewitt_and_Vanessa"
"d4d1d244-f6c9-460d-9588-c4ee21addf1f","Inbal-Shamir__Tamar"
"c2ebd44b-80f5-4c6e-9ca4-f0c53c314c0a","Janssen__Jeroen"
"4e78007e-23c4-48b1-af5f-b55a3ff60a24","Janssen__Jeroen"
