"id","Author"
0,"George__Elizabeth_A."
1,"Hammer__David"
2,"Hickey__Daniel_T."
3,"Jacobson__Michael"
4,"Jarvela__Sanna"
5,"Kalathil__Radha_R."
6,"Lonka__Kirsti"
7,"Magnusson__Shirley"
8,"Matese__Gabrielle"
9,"McGee__Steven"
10,"Miyake__Naomi"
11,"Oshima__Jun"
12,"Rahikainen__Marjaana"
13,"Renninger__K._Ann"
14,"Schneider__Rebecca_M."
15,"Singer__Jonathan"
16,"Stahl__Gerry"
17,"Star__Jon_R."
18,"Star__Jon_R."
19,"Stricker__Andrew_G."
20,"Sukel__Katherine_E."
21,"Sutter__Berthel"
22,"Talsma__Valerie_L."
23,"Vekiri__Ioanna"
24,"Vendlinski__Terry"
25,"Williams__Susan_M."
26,"Wu__Hsin-kai"
27,"Ye__Renmin"
28,"Atkinson__Robert_K."
29,"Barnett__Michael"
30,"Bell__Philip"
31,"Bos__Nathan"
32,"Bruckman__Amy"
33,"Camp__Paul_J."
34,"Centola__Damon"
35,"Chen__Mei"
36,"Conanan__Denise"
37,"Craig__David"
38,"Dori__Yehudit_Judy"
39,"Fasse__Barbara_Burks"
40,"Gaynor__Vickie_Banks"
41,"Gray__Jackie"
42,"Hakkinen__Paivi"
43,"Hansen__Steven_R."
44,"Hay__Kenneth_E."
45,"Hay__Kenneth_E."
46,"Holbrook__Jennifer"
47,"Hudson__James_M."
48,"Laffey__James"
49,"Miao__Yongwu"
50,"Moher__Tom"
51,"Person__Natalie_K."
52,"Quintana__Chris"
53,"Quintana__Chris"
54,"Sherin__Bruce"
55,"Sherin__Bruce"
56,"Siegel__Marcelle"
57,"Wellman__Elizabeth"
58,"Wilensky__Uri"
59,"Windschitl__Mark"
60,"Wolfe__Michael"
61,"Young__Michael"
62,"Bouillion__Lisa_M."
63,"Brophy__Sean"
64,"Carrillo__Rosario"
65,"Koschmann__Timothy"
66,"Kupperman__Jeff"
67,"Marra__Tiffany"
68,"McDonald__Scott"
69,"O'Neill__D._Kevin"
70,"Palonen__Tuire"
71,"Polman__Joseph"
72,"Reiser__Brian"
73,"Tsikalas__Kallen"
74,"Windschitl__Mark"
75,"Ellis__Jason_B."
76,"Hunter__Beverly"
77,"Renninger__K._Ann"
78,"Teasley__Stephanie_D."
0,"Broadstock__Maan_Jiang"
1,"Elby__Andrew"
2,"Kindfield__Ann_C._H."
4,"Hakkinen__Paivi"
5,"Sherin__Miriam_Gamoran"
7,"Hapgood__Susanna"
