"id","Author"
"4eef560d-f751-4f91-80b6-cc02c0ca44f6","Arnseth__Hans_Christian"
"d38ae5be-ab2b-46d3-a5de-4e025216e8b7","Laffey__James_M."
"d6bd8fae-1b2b-4cd2-9c26-bb986d447195","Bruckman__Amy"
"894d3062-5146-4557-8d66-67c4da14ddc0","Soller__Amy"
"a7c67ae7-1948-4d7c-8eeb-629f15683321","Yamaguchi__Ryoko"
"081e5e50-dbc1-4414-827c-4998d9733c4a","Bekerman__Zvi"
"cdf29ae9-b67f-4953-b4b3-ddb69fe53022","Armitt__Gillian"
"05c5e0c2-b8e6-4a3e-995b-5da6500eb3de","Lally__Vic"
"85bb4fa1-8255-4719-a5a8-b7321e88cae7","Halloran__John"
"94b51eab-0fb7-42e8-8121-4920f08c9cd5","Hedestig__Ulf"
"6499226b-0b75-4869-905d-5e2d58fef92a","Brecht__John"
"9f2302a3-f1ec-407f-85b4-d43fdf112907","Hmelo-Silver__Cindy"
"04b5b2c1-45d4-40c1-9de4-2a6a866602e1","Derry__Sharon"
"73c9d486-7a52-46ed-9bfe-0399345af403","Steinkuehler__Constance_A."
"f14b7e78-4d2f-4809-aaea-1c83d2bf1f35","Kyza__Eleni_A."
"1624debe-8154-4508-8e0c-1a4b1ed6f9f5","Jonassen__David"
"936ab83c-85d1-44b8-839c-cf85b8d94cbb","Wu__Amy_S."
"307a59c7-6bf6-413f-b6e1-7f50ee81caa0","Reiser__Brian"
"60bd2db7-be19-498c-bbed-cd433653bfbc","McConnell__David"
"75cc85b7-9849-4bf6-924a-02afbf2c4d21","Beck__Robert_J."
"46d76536-a229-43bc-822e-977057dbbef1","Burns__Mary"
"baf8b982-7de8-43d0-9aac-e81474a4e7c4","Ferraris__Christine"
"46910a4c-a4ad-48ed-8f64-a8518a3c3bb3","Dunlap__Joanna_C."
"780f4e2a-8ca3-41e3-a283-c4fdf9b11dc0","Eales__R._T._Jim"
"a5e1ac7d-2ab5-462a-8eec-919918b018d0","Engeström__Yrjö"
"4745be44-8fd5-46e5-a424-ded58361b373","Thomson__Craig"
"a31cd061-9925-4322-bb28-32e9b7ce44dd","Scott__Stacey_D."
"b23db3cb-d865-48b6-a542-3668969d2d56","Stanton__Danaë"
"8ce6e34b-cb3c-453d-ba19-d527507b9270","Ryokai__Kimiko"
"31f44064-3db0-4f66-b41e-374440e364ed","Moher__Tom"
"f35f3bcd-063b-4b10-8e14-c7b28408179f","Joiner__Richard"
"e3e018e8-b937-474b-b052-00aad15edd37","Reiserer__Markus"
"7d540ac9-8464-4c05-9694-018751d6342e","Erkens__Gijsbert"
"0ce634b7-9e4e-47a3-b169-8c61ab16aa69","Eden__Hal"
"812a22ef-5b83-423e-9ba3-4ebf26c31637","Iles__Alastair"
"fbebeccd-c787-41e5-a677-098f2181ac3f","Guzdial__Mark"
"ac2c799f-71ec-417e-8e31-2852b656ecb0","Brush__A.J._Bernheim"
"57d9e50e-2379-437b-ae7f-6f3eff479577","Rick__Jochen"
"21ed4245-1a03-4d9d-a010-516af5642607","Lakkala__Minna"
"d7811bab-c2a3-490d-b941-741133687ab0","Hoadley__Christopher_Plekss"
"970c55d1-d1c1-4260-8f39-4d2199f27b54","Löhner__Simone"
"6163cd03-4932-43fa-ad70-5030b4170636","Suthers__Dan"
"16ab2472-7064-4a11-ab93-aaf16663a299","Hübscher-Younger__Teresa"
"fbab37bf-3275-41c5-9b3f-9c658edce1e8","Kusunoki__Fusako"
"1c94319d-57b6-4705-84ad-e6dd1595e14a","Furugori__Nobuko"
"554c5197-5288-45e2-a389-2335e4de2030","Zapata-Rivera__Juan-Diego"
"50ae1f06-48a7-4dae-bdb2-9fc9f0fb033d","Fischer__Frank"
"611e8e74-3309-4667-b65c-e2e8e9908316","Scharff__Eric"
"30dcfed4-c068-422c-8410-8b463ed573b4","Ellis__Jason_B."
"ffdb5750-3228-480b-b62b-0180696a3fdb","Beardon__Colin"
"2b37ed0e-757c-44b1-9a78-4c884d9f180c","Owensby__JaKita_N."
"65e38480-600a-43f1-8fed-6973d2e0c632","Johnson__Brian_R."
"41a8619a-d488-44d1-8a1c-d4822348aca8","Janneck__Michael"
"bf903651-d044-4285-b183-c0f01270cc74","Johnson__Gabe"
"0a5e8db2-df65-4b89-8012-401f21ff6d5a","Gonzalez__Carlos_Enrique"
"2581f7d4-8c0a-4e4c-9098-09561f20750b","Agostini__Alessandra"
"3c290f5a-ba04-472c-93e7-56a618074d8a","MacKinnon__Kimberley_A."
"974918f4-a9f7-4ade-b069-adb02419b25b","Hay__Kenneth_E."
"e6b29349-ea82-4bf2-9562-e74ede7d6011","Turns__Jennifer"
"a66f6230-067f-43e7-bbbd-2633b64f8f45","Eleuterio__Marco_A."
"60b2d843-14be-4dcb-a926-63651eef2fa4","Stevens__Reed"
"4f142445-c992-4b86-928d-b41ddf6efbcc","Gottdenker__Joshua_S."
"806456cc-b840-4331-889c-deea3d07f815","Leinonen__Teemu"
"eda4152c-3351-4617-8422-cf77aad23047","Jondahl__Silje"
"59f5e718-a04d-45cd-9bb9-f48da2ca9c18","Tholander__Jakob"
"5b8a24ee-4b63-4a85-9a91-8862ca828f11","Rick__Jochen"
"e6def3ff-0b47-4612-9872-12030f7bef5b","Obermeyer__Gary"
"142b0e09-13e5-495b-9c36-da988befa034","Robins__Jenny"
"c45380e1-4173-46da-b5b9-9841254fa924","Illmann__Torsten"
"22b75bc5-d05d-4135-b8f4-ead2c7f75fed","Slotta__James"
"4eb38b6b-a783-41e1-b485-abb6fb7254b4","Andersen__Hans_H._K."
"cc4f702f-e09a-4159-af0c-507ac3add82c","Jaques__Patrícia"
"182710d7-ea05-47a9-9d2d-95e6965c73df","Lundby__Knut"
"4c8c96a3-6ae2-4eaf-ad84-fa2ac8e38462","Remidez__Herbert"
"fc19ccbe-63cd-4241-91d1-23106840db1f","Wright__Tim"
"8b5fb976-d732-4eda-9e35-17d0f3c413df","Tanimoto__Steven"
"5bb9352a-37ab-494a-9fd1-b720af4bd9cd","Kafai__Yasmin"
"4e0c4116-3741-4b04-9ef2-d3bc0ea9d756","Rummel__Nikol"
"a84fd15d-204d-4f87-83dc-676b5f5b60e3","Jaques__Patricia_Augustin"
"cb078f9b-6098-46ed-936d-133649d4f1d5","Plugge__Leo"
"9b9fe684-9fd5-44c4-bc8b-8dcfd90575d9","Ogata__Hiroaki"
"935353de-88af-4f51-8923-ffb9ecf20203","McConnell__David"
"2bcd76dd-c0ab-4920-819d-eba06c0810c4","Keselman__Alla"
"21a94b59-9860-49f4-aa70-257a45120ab0","Dobson__Mike"
