"id","Author"
"bb1acdda-052b-4ef3-a44a-6c2bd44b27f4","Ahern__Terence_C."
"8dc34855-1f2d-45d9-8d2e-2069f01c29d8","Edelson__Daniel"
"49359393-66b3-44f3-aa4a-56385e2a155f","Ekeblad__Eva"
"753cfb11-af4a-4456-aaff-e2901674bea5","Favorin__Marjo"
"dc114d0b-002a-4481-a477-3c0a94f4ce65","Ferraro__Anne"
"d0b190ed-12c0-4dd5-9b57-33e4e078b6aa","Fischer__Gerhard"
"b39a8914-bb34-407d-8231-b1d6cbea46a4","Fjuk__Annita"
"a2e8d040-efaf-4483-91e9-0a79c54d2d9d","Gaines__Brian_R."
"18924b96-8964-4b4e-9efd-a0573dd9d32f","Glenn__Phillip_J."
"3ca5cfd5-30cf-4b54-99b8-28dc5f0fe455","Bell__Philip"
"a815dd39-36d6-4fb1-a7d1-f89db9060828","Goldman__Shelley"
"474913a9-5f4a-4451-ac81-f5241dc6836d","Gutwin__Carl"
"6a4121a2-a65a-4166-a3c2-a4a3c73b5086","Guzdial__Mark"
"8dbde837-7b71-49cb-a393-c2240ce9d37f","Heeren__Elske"
"aaed5ac7-dde5-49d9-8958-87bbef06167c","Herrmann__Françoise"
"4a36386b-0c58-4dd8-a644-113573b5c621","Hmelo-Silver__Cindy"
"544bbc4b-f158-4e71-a6e6-127f3715747a","Ibsen__David_J._S."
"b152e973-9d97-428a-8cee-00097991d222","Inkpen__Kori"
"3e06539a-7676-45c7-b025-86af9761f86a","Jonassen__David_H."
"0df789be-02d4-4558-93f2-fb03c5072d6e","Jurema__Ana_Cristina_L._A."
"fa68aa5a-c32f-4bf4-b7c1-1675f1e8bae6","Kanselaar__Gellof"
"997b1ab5-a832-402d-a3f5-e28946f9addc","Kato__Hiroshi"
"d4a25cc3-9e4d-42e8-bd9b-63e6899e9bc0","Katz__Sandra"
"97f2ea27-ab0c-4b5b-91a8-89f4a6bb0f2e","Kelly__Gregory_J."
"ee603fe9-36cc-4a0a-bbd4-233cc208c9c7","Klawe__Maria"
"db54d566-9f55-4d89-a456-1edb1c01d0f3","Lindeman__Bruce"
"7b5a3841-b46f-4379-8235-d60eec15116f","Mahling__Dirk_E."
"e4c01a3a-1808-4b1d-921f-8f61f1aa6f81","Bank__Curtis_Jay"
"48008368-c105-44c2-8d92-8b466f4de12f","Mazur__Joan"
"19f3b090-e8d2-4fef-ae02-ba12ce47e260","Mcconnell__David"
"7f72905d-a355-40f6-bacc-153b7ea1d23f","Mccown__R._R."
"e61b03f8-1f62-4346-a381-67a54a5b7b4f","Monaghan__James_M."
"fcb5e2b5-4ec5-421f-9998-ed190e7041f2","Marayanan__En._Hari"
"d1701de9-79c4-4698-90fe-7128a51788d0","O’Neill__D._Kevin"
"2dc55810-094d-46e5-996c-f66f7b357198","Oshima__Jun"
"5cd0df56-fd1e-4fb5-8135-92aecdf292c7","Powers__Susan_M."
"57ae03c1-8fe5-4b16-9bfb-a924283211d1","Bowers__Janet"
"53b24c73-8dc9-4f04-a0e6-899eb13005d4","Rein__Gail_L."
"18b9e76f-c354-46c7-9248-30dd60e6207d","Resta__Paul_E."
"6f8093a6-20e5-408d-bfd2-3476ef20d8cc","Saito__Ron_S."
"8ffe2be3-e79f-4cbc-893a-3c66a14dccce","Salinas__Bertha"
"9be69157-b721-4849-ad3e-0c49b87853e8","Schneider__Kurt"
"19486b3f-f42c-41b0-ad36-abf6acd73ee5","Schwartz__Helen_J."
"4455685e-b149-4361-ba43-80d73e8ae22b","Shaw__Mildred_L._G."
"78116873-c0b8-4a89-9378-ceff0cf5ce0b","Sherman__Lawrence_W."
"9caf8f99-baa9-4704-8661-78b7c09942b4","Shotsberger__Paul_G."
"4d4be227-eab9-4750-a53b-8ee70287c995","Spitulnik__Jeff"
"02528454-e567-47cb-83aa-9415c24b3333","Bricker__Lauren_J."
"a6fb5a47-9461-4243-aa83-29f97bf2029d","Stahl__Gerry"
"ac3a3411-ce78-4477-ba63-98b168d6eb73","Stephens__Liz_C."
"4823e2f3-aee8-4af2-a1bb-8c7a6c05b8ee","Stinson__John_E."
"c1726598-c005-4130-9c18-7b19a02789e7","Sugimoto__Taku"
"4539a81a-9d1f-4bba-94f9-686f14620033","Suthers__Dan"
"d65a42a3-da72-4c11-a56c-e491172d055e","Suzuki__Hideyuki"
"71289e05-107b-41cd-abd4-6af5a15eb86a","Swigger__Kathleen_M."
"987e50a7-f316-45b6-a47d-2ee7f8d9dc19","Tabak__Iris"
"ef138a13-7a4e-48a5-a36e-3ba5ffb312ec","Twidale__Michael_B."
"bee77c4a-cf97-4c09-b5e2-bb38ece381db","Walch__James"
"d7cb6703-41c1-47b2-bc21-6f57fab81188","Whitelock__Denise"
"d384ec8a-b95d-4ae7-974d-a8b584480b73","Wiburg__Karin_M."
"61100a91-1806-4a0e-ab25-f98000940aed","Winiecki__Donald_J."
"67649b16-df44-4c7e-a2a2-81a3c27b69b0","Yelland__Nicola"
"f476950e-a11f-4529-a42f-a8581b6f203c","Brophy__Sean_P."
"2036cc64-85a4-4e26-9e98-0d85c586fe8b","Zhao__Yong"
"1e7dfeb6-740a-4102-a1f7-ff20e6618be3","Cerratto__Teresa"
"7b597b73-a359-4b42-a75e-2cec2aa3cfe5","Chan__Tak-Wai"
"2b2456b7-7d10-4628-b264-b963db7aef89","Christiansen__Ellen"
"7c96c8b0-58bc-4a68-bdba-72f6632ef97d","Cockburn__Andy"
"97698f53-57fb-4d3d-a340-7b41f48801c7","Cole__Karen_A."
"ec29855a-6382-4ec8-8b9f-999be588e993","Collings__Penny"
"160b5fc2-652c-4559-bf78-05a4ada35520","Barfurth__Marion_A."
"9ab389c4-ef24-4f43-b007-08485f39a53c","Chyung__Seung-Youn"
"b32230e4-65e2-4bfa-8ce3-1ee9a6b85526","Davis__James_R."
"c07d81cb-b198-45bd-aa40-347aa6e3d6ba","De_Jong__Frank_P._C._M."
"9f7037ef-e6a2-42b9-8fe6-acdeb54a0424","Duckett__George"
"51ef28b9-3880-41a9-be20-4c76b4b25512","Eales__R._T._Jim"
"8dc34855-1f2d-45d9-8d2e-2069f01c29d8","O’Neill__D._Kevin"
"49359393-66b3-44f3-aa4a-56385e2a155f","Lindström__Berner"
"dc114d0b-002a-4481-a477-3c0a94f4ce65","Rogers__Edwin"
