"id","Author"
5307836,"Allert__Heidrun"
5307837,"Allmendinger__Katrin"
5307838,"Amelsvoort__Marije_van"
5307839,"Anderson__Richard_J."
5307840,"Ayala__Gerardo"
5307841,"Baggetun__Rune"
5307842,"Baker__Michael_J."
5307843,"Basu__Anindita"
5307844,"Beck__Robert_J."
5307845,"Beuschel__Werner"
5307846,"Caeiro__Manuel"
5307847,"Cao__Yang"
5307848,"Chan__Carol_K._K."
5307849,"Dai__James"
5307850,"Dolonen__Jan"
5307851,"Drie__Jannet_van"
5307852,"Fiehn__T."
5307853,"Fischer__Frank"
5307854,"Gaßner__Katrin"
5307855,"Guribye__Frode"
5307856,"Haake__Jörg_M."
5307857,"Häkkinen__Päivi"
5307858,"Hodgson__Vivien"
5307859,"Hübscher-Younger__Teresa"
5307860,"Iacucci__Carlo"
5307861,"Jensen__Nils"
5307862,"Kirschner__Paul"
5307863,"Kirschner__Paul"
5307864,"Komis__Vassilis"
5307865,"Koschmann__Timothy"
5307866,"Lally__Vic"
5307867,"Law__Nancy"
5307868,"Louca__Loucas"
5307869,"Ludvigsen__Sten_R."
5307870,"Madrazo__Leandro"
5307871,"Martínez-Monés__Alejandra"
5307872,"Moshaiov__Amiram"
5307873,"Mulder__Ingrid"
5307874,"Nurmela__Kari"
5307875,"Okada__Masaya"
5307876,"Oostendorp__Herre_van"
5307877,"Pata__Kai"
5307878,"Petrou__Argiro"
5307879,"Pol__Jakko_van_der"
5307880,"Pöysä__Johanna"
5307881,"Price__Sara"
5307882,"Puntambekar__Sadhana"
5307883,"Ratto__Matt"
5307884,"Reffay__Christophe"
5307885,"Reyes__Pablo"
5307886,"Rummel__Nikol"
5307887,"Säljö__Roger"
5307888,"Solheim__Ivar"
5307889,"Stahl__Gerry"
5307890,"Stanton__Danae"
5307891,"Sugimoto__Masanori"
5307892,"Sugimoto__Masanori"
5307893,"Suthers__Dan"
5307894,"Ulicsak__Mary_Helen"
5307895,"Vamvakoussi__Xanthi"
5307896,"Wessner__Martin"
5307897,"Zumbach__Jörg"
5307836,"Richter__Christoph"
5307837,"Troitzsch__H."
5307838,"Andriessen__Jerry"
5307839,"Anderson__Ruth_E."
5307841,"Dragsnes__Steinar"
5307842,"Quignard__Matthieu"
5307843,"Cavallo__David"
5307844,"Fitzgerald__William_J."
5307846,"Anido-Rifón__Luis_E."
5307847,"Greer__Jim_E."
5307848,"Aalst__Jan_van"
5307849,"Wu__Mike"
5307850,"Chen__Weiqin"
5307851,"Boxtel__Carla_A._M._van"
5307852,"Lauer__Tobias"
5307853,"Bouillion__Lisa"
5307854,"Jansen__Marc"
5307855,"Andreassen__Eskil_F."
5307856,"Schümmer__Till"
5307857,"Järvelä__Sanna"
5307858,"Zenios__Maria"
5307859,"Narayanan__N._Hari"
5307860,"Pain__Helen"
5307861,"Seipel__Stefan"
5307862,"Bruggen__Jan_van"
5307863,"Kreijns__Karel"
5307864,"Avouris__Nikolaos_M."
5307865,"Zemel__Alan"
5307866,"Laat__Maarten_De"
5307867,"Wong__Elaine"
5307868,"Druin__Allison"
5307869,"Mørch__Anders_I."
5307871,"Fuente__P._de_la"
5307873,"Graner__Mark"
5307874,"Palonen__Tuire"
5307875,"Yamada__Akimichi"
5307876,"Juvina__Ion"
5307877,"Sarapuu__Tago"
5307878,"Dimitracopoulou__Angelique"
5307879,"Admiraal__Wilfried"
5307880,"Mäkitalo__Kati"
5307881,"Rogers__Yvonne"
5307882,"Young__Michael_F."
5307883,"Shapiro__R._Benjamin"
5307884,"Chanier__Thierry"
5307885,"Tchounikine__Pierre"
5307886,"Spada__Hans"
5307888,"Foyn__B."
5307890,"O&apos;Malley__Claire"
5307892,"Kusunoki__Fusako"
5307893,"Girardeau__Laura_E."
5307895,"Kargiotakis__Georgios"
5307896,"Dawabi__Peter"
5307897,"Reimann__Peter"
5307836,"Nejdl__Wolfgang"
5307837,"Hesse__Friedrich_W."
5307839,"VanDeGrift__Tammy"
5307842,"Lund__Kristine"
5307844,"Pauksztat__B."
5307846,"Llamas__Martín"
5307849,"Cohen__Jonathan"
5307850,"Mørch__Anders_I."
5307851,"Erkens__Gijsbert"
5307852,"Lienhard__Jochen"
5307853,"Mandl__Heinz"
5307854,"Harrer__Andreas"
5307855,"Wasson__Barbara"
5307857,"Mäkitalo__Kati"
5307860,"Lee__John"
5307861,"Nejdl__Wolfgang"
5307862,"Duffy__Tom"
5307863,"Jochems__Wim_M._G."
5307864,"Fidas__Christos"
5307865,"Conlee-Stevens__Mindy"
5307868,"Hammer__David_M."
5307871,"Dimitriadis__Yannis_A."
5307873,"Swaak__Janine"
5307874,"Lehtinen__Erno"
5307875,"Tarumi__Hiroyuki"
5307879,"Simons__R.-J."
5307880,"Häkkinen__Päivi"
5307881,"Fraser__Danae_Stanton"
5307883,"Truong__Tan_Minh"
5307886,"Caspar__Franz"
5307888,"Maus__E."
5307890,"Huing__K."
5307892,"Inagaki__Shigenori"
5307893,"Hundhausen__Christopher_D."
5307895,"Kollias__Vassilios_P."
5307896,"Fernandez__Alejandro"
5307837,"Spada__Hans"
5307839,"Wolfman__Steven_A."
5307842,"Séjourné__Arnauld"
5307849,"Klawe__Maria_M."
5307851,"Kanselaar__Gellof"
5307852,"Ottmann__Thomas"
5307853,"Gomez__Louis"
5307854,"Herrmann__Kai"
5307861,"Olbrich__Stephan"
5307865,"Young__Nata"
5307868,"Dreher__D."
5307873,"Kessels__Joseph"
5307874,"Hakkarainen__Kai"
5307875,"Yoshida__Mizuki"
5307881,"Smith__Hilary"
5307883,"Griswold__William_G."
5307886,"Ophoff__Jacques_G."
5307890,"Fraser__Mike"
5307892,"Takatoki__Kuniyoshi"
5307895,"Mamalougos__Nektarios_G."
5307839,"Yasuhara__Ken"
5307852,"Trahasch__Stephan"
5307854,"Hoppe__Heinz_Ulrich"
5307865,"Robbs__Julie"
5307875,"Moriya__Kazuyuki"
5307886,"Schornstein__Katrin"
5307890,"Benford__Steve"
5307892,"Yoshikawa__Atsushi"
5307895,"Vosniadou__Stella"
5307852,"Zupancic__Bernd"
5307865,"Barnhart__Amber"
