"","x"
"X_",0
"Agganis__Aggelici",0
"Ahem__Terence_C.",0
"Ahern__Terence_C.",0
"Ashmore__Lora",0
"Bank__Curtis_Jay",0
"Barfurth__Marion_A.",0
"Baumgartner__Eric",0
"Becker__Frank",0
"Belisle__Claire",0
"Bell__Philip",0
"Bereiter__Carl",0
"Bliss__Traci",0
"Booth__Kellogg_S.",0
"Bowers__Janet",0
"Bras__Bert",0
"Brazile__Robert",0
"Bricker__Lauren_J.",0
"Brophy__Sean_P.",0
"Campbell__Keith",0
"Carlson__David",0
"Cerratto__Teresa",0
"Chan__Tak.Wai",0
"Chou__Chih.Yueh",0
"Christiansen__Ellen",0
"Chyung__Seung.Youn",0
"Clement__John",0
"Cockburn__Andy",0
"Cole__Karen_A.",0
"Collings__Penny",0
"Conlee__Melinda",0
"Crawford__Teresa",0
"D.Amico__Laura",0
"Dalmau__Mary_C.",0
"Davis__Elizabeth_A.",0
"Davis__James_R.",0
"De_Jong__Frank_P._C._M.",0
"Dirckinck.Holmfeld__Lone",0
"Driscoll__Marcy_P.",0
"Duckett__George",0
"Eales__R._T._Jim",0
"Edelson__Daniel",0
"Ekeblad__Eva",0
"Erkens__Gijsbert",0
"Favorin__Marjo",0
"Ferraro__Anne",0
"Filho__Merval_Jurema",0
"Finkel__Elizabeth",0
"Fischer__Gerhard",0
"Fjuk__Annita",0
"Gaines__Brian_R.",0
"Gay__Marty",0
"Geisler__Cheryl",0
"Gerson__Dan",0
"Glenn__Phillip_J.",0
"Goldman__Shelley",0
"Gomez__Louis",0
"Goodrum__David_A.",0
"Greenberg__Saul",2
"Gustafson__Edwin",0
"Gutwin__Carl",0
"Guzdial__Mark",40
"Heeren__Elske",0
"Herrmann__Françoise",0
"Hmelo.Silver__Cindy",10
"Hutama__Danny_C.",0
"Huttenlocher__Daniel_P.",0
"Ibsen__David_J._S.",0
"Ide__Akiko",0
"Inkpen__Kori",0
"Jonassen__David_H.",0
"Jurema__Ana_Cristina_L._A.",0
"Kanselaar__Gellof",0
"Kata__Hiroshi",0
"Kato__Hiroshi",0
"Katz__Sandra",0
"Kelly__Gregory_J.",0
"Kent__Todd",0
"King__Kira_S.",0
"Kinzie__Mable",0
"Klawe__Maria",3
"Kolodner__Janet",0
"Koschmann__Timothy",0
"Laczko__Jason",0
"Lan__William",0
"Larsen__Valerie",0
"León__Rigoberto",0
"Lima__Maria_Edite_Costa",0
"Lindeman__Bruce",0
"Lindström__Berner",0
"Linn__Marcia",0
"Mahling__Dirk_E.",0
"Marayanan__En._Hari",0
"Marquez__Jorge",0
"Mazur__Joan",0
"Mcconnell__David",0
"Mccown__R._R.",0
"Mensink__Jos_G._B.",0
"Milter__Richard_G.",0
"Monaghan__James_M.",0
"Moore__Terry_Lee",0
"Moschkovich__Judit",0
"Mulholland__Jim",0
"Nakakoji__Kumiyo",0
"Newsletter__Wendy_C.",0
"Nichols__David_M.",0
"O.Neill__D._Kevin",0
"O.Shea__Tim",0
"Oshima__Jun",0
"Painter__William",0
"Petrushin__Valery",0
"Phillips__Eileen",0
"Powers__Susan_M.",0
"Rappin__Noel",0
"Rathbun__Gail_A.",0
"Realff__Matthew",0
"Rein__Gail_L.",0
"Reiser__Brian",0
"Repenning__Alexander",0
"Repman__Judi",0
"Resta__Paul_E.",0
"Rogers__Edwin",0
"Rothenberg__Alex_I.",0
"Saito__Ron_S.",0
"Salinas__Bertha",0
"Sandoval__William",0
"Scanlon__Eileen",0
"Scardamalia__Marlene",0
"Schneider__Kurt",0
"Schwartz__Helen_J.",0
"Shaw__Mildred_L._G.",0
"Sherman__Lawrence_W.",0
"Shikano__Terry",0
"Shin__Dongil",0
"Shotsberger__Paul_G.",0
"Skogseid__Ingjerd",0
"Smith__Brian_K.",0
"Smith__Gareth",0
"Smith__Karan_B.",0
"Soloway__Elliot",0
"Sorrows__Bryan_B.",0
"Spell__Christopher_G.",0
"Spitulnik__Jeff",0
"Stahl__Gerry",0
"Stark__Gwen",0
"Stephens__Liz_C.",0
"Stinson__John_E.",0
"Studer__Scott",0
"Sugimoto__Taku",0
"Sumner__Tamara",0
"Suthers__Dan",0
"Suzuki__Hideyuki",0
"Swigger__Kathleen_M.",0
"Tabak__Iris",0
"Tanimoto__Steven_L.",0
"Taylor__Josie",0
"Trevor__Jonathan",0
"Turns__Jennifer",0
"Twidale__Michael_B.",0
"Upitis__Rena",0
"Vanegas__Jorge_A.",0
"Walch__James",0
"Walker__David",0
"Wallet__Katherine_B.",0
"Watt__Jeffrey_X.",0
"Weiner__Arlene",0
"Welsh__Jim",0
"Whitelock__Denise",0
"Wiburg__Karin_M.",0
"Winiecki__Donald_J.",0
"Wong__Tina_H.",0
"Yelland__Nicola",0
"Zhao__Yong",0
