"","x"
"Hoppe__Ulrich",0
"Howley__Iris",0
"Hsiao__Ying.Ting",0
"Hsieh__Fang.Pei",0
"Hu__Chun",100
"Hui__Diane",278
"Hundertmark__Sarah",0
"Hunter__Judith",0
"Hussmann__Heinrich",0
"Idris__Sufian",0
"Ilomaki__Liisa",0
"Im__Jungtaek",0
"Inagaki__Shigenori",0
"Ioannou__Andri",0
"Jacobson__Michael",0
"Jaeger__Allison",0
"Janssen__Jeroen",45
"Jeong__Heisawn",2064.84444444444
"Jermann__Patrick",135
"Jing__Leng",0
"Johansson__Carolina",0
"Jonassen__David",0
"Jones__Ann",0
"Jonsson__Martin",0
"Jordan__Rebecca",0
"Joyce.Gibbons__Andrew",0
"Jurgens__Alke",0
"Kaendler__Celia",0
"Kafai__Yasmin",3
"Kahrimanis__Georgios",0
"Kali__Yael",51
"Kam__Matt",0
"Kamarainen__Amy",0
"Kamvar__Sep",0
"Kangas__Kaiju",0
"Kaplan__Frederic",0
"Kapur__Manu",627
"Karlgren__Klas",0
"Kartiko__Iwan",0
"Kawasaki__Miho",0
"Kay__Judy",0
"Kennedy.Clark__Shannon",135
"Kerawalla__Lucinda",0
"Kim__Beaumie",0
"Kim__Jihie",0
"Kim__Mi_Song",0
"Kimmerle__Joachim",2.5
"Kirschner__Paul",0
"Kirschner__Paul_A",0
"Kita__Chigusa",0
"Klopfer__Eric",0
"Knickle__Kerry",0
"Knight__Katherine",0
"Knipfer__Kristin",0
"Koedinger__Ken_R.",0
"Koh__Quee_Boon",0
"Kohen.Vacs__Dan",1100
"Kohnle__Carmen",0
"Kollar__Ingo",1323.42908952639
"Kollias__Vassilis",0
"Kolodner__Janet",554
"Koper__Rob",0
"Kopp__Birgitta",1
"Krauskopf__Karsten",0
"Krumm__Andrew",0
"Ku__Yiu_Yee",0
"Kubota__Yoshihiko",0
"Kumar__Melissa",0
"Kumar__Rohit",0
"Kurti__Arianit",0
"Kusunoki__Fusako",0
"Kwok__Ching_Yin",0
"Kwok__S._M.",0
"Kynigos__Chronis",0
"Kyza__Eleni",0
"Kyza__Eleni_A.",0
"Laferriere__Therese",1678.60666169674
"Laffey__James",4
"Lai__Ming",0
"Lakkala__Minna",0
"Lally__Vic",0
"Lam__Bonnie",0
"Langer__Sybille",0
"Lapeyre__Jaime",0
"Larusson__Johann",0
"Lasry__Nathaniel",0
"Lau__Alison",0
"Lau__Siu_Fan",0
"Laurillard__Diana",554
"Law__Nancy",11861.0586126643
"LAW__Nancy",0
