"","x"
"Graville__Cynthia",0
"Gray__Steven",0
"Greenlee__Andrew",0
"Gresalfi__Melissa",4
"Gressick__Julia",0
"Grigholm__Linda",0
"Grosshandler__Dean",0
"Gruber__Hans",0
"Gupta__Ayush",6
"Gutierrez__Jose",0
"Gvili__Inbal_Flash",0
"Hackbarth__Alan_J.",0
"Hadjichambis__Andreas",0
"Hall__Rogers",32
"Halverson__Erica",0
"Halverson__Kristy",0
"Halverson__Richard",0
"Hamilton__Eric",0
"Hamilton__Harley",0
"Hammer__David",4
"Hammer__Ronen",0
"Hans.Christoph__Nuerk",0
"Hansen__Martha",0
"Hanss__Ted",0
"Hansson__Lena",0
"Harris__Christopher_J.",0
"Harris__Constance",0
"Hatfield__David",0
"Haug__Stephanie",0
"Heckler__Andrew",0
"Held__Christoph",0
"Hemphill__Libby",0
"Henson__Kathleen",0
"Herbst__Patricio",0
"Herman__Phillip",0
"Herrenkohl__Leslie",0
"Hershkowitz__Rina",7
"Hesse__Friedrich_W.",0
"Hewitt__Jim",0
"Hickey__Daniel",2046.5
"Hmelo.Silver__Cindy",4304
"Hoadley__Christopher",0
"Hokayem__Hayat",0
"Holbert__Nathan",0
"Holyoak__Keith",0
"Hong__Huang.Yao",3
"Honwad__Sameer",0
"Hope__Jen",0
"Hoppe__Ulrich",0
"Horn__Michael",0
"Hough__Mary",0
"Hsi__Sherry",0
"Huff__Markus",0
"Hupert__Naomi",0
"Ingram.Goble__Adam",0
"Ioannou.Nicolaou__Andri",0
"Izsak__Andrew",0
"Izzetoglu__Kurtulus",0
"Jacobson__Erik",0
"Jacobson__Michael",0
"Jaegar__Allison",0
"Jan__Mingfong",256
"Jarvin__Linda",0
"Jensen__Marion",0
"Jeong__Allan",0
"Jeong__Heisawn",0
"Jimenez__Osvaldo",0
"Johnson__Chelsea",0
"Jones__M._Gail",0
"Jordan__Rebecca",0
"Jordan__Robert",0
"Joshi__Aasha",0
"Jucks__Regina",0
"Kafouris__Dimitris",0
"Kali__Yael",0
"Kam__Matthew",0
"Kanter__David_E.",0
"Kapur__Manu",0
"Kara__Melike",0
"Karch__Anne",0
"Kawasaki__Jarod",0
"Kerlin__Steven",0
"Ketelhut__Diane_J.",504
"Kidwai__Khusro",0
"Kilb__Deborah",0
"Kilgore__Deborah",0
"Kim__Younsu",0
"Kimmerle__Joachim",0
"King__Elizabeth",3
"Kirschner__Paul",32
"Klahr__David",0
"Klopfer__Eric",0
"Knight__Amanda",0
"Kobiela__Marta",0
"Koedinger__Ken",98
"Kohen.Vacs__Dan",0
"Kolikant__Yifat_Ben.David",0
"Kollar__Ingo",0
"Kollias__Vassilis",0
"Kolodner__Janet",0
"Korbinian__Moeller",0
"Krajcik__Joseph",0
"Krakowski__Moshe",0
"Krauskopf__Karsten",0
"Krinsky__Hindi",0
"Krumm__Andrew_E.",0
"Kunath__Janet",0
"Kuo__Wang.Hsin",0
"Kupperman__Jeff",0
"Kwon__Eun_Ju",0
"Kyza__Eleni",61.5
"Laferriere__Therese",0
"Laffey__James",0
"Lam__IvanCK",0
"Land__Susan",0
"Langer.Osuna__Jennifer",0
"Lara.Meloy__Teresa",0
"Larreamendy__Jorge",0
"Larusson__Johann",0
"Lasry__Nathaniel",0
"Law__Nancy",396
"Law__Victor",0
"Leander__Kevin",0
"Lee__Hee.Sun",0
"Lee__Hee_Seung",0
"Lee__Victor",16
"Leenaars__Frank",0
"Legare__Cristine",0
"Lehrer__Rich",0
"Leng__Jing",0
"Lesk__Hannah",0
"Levin__Daniel",0
"Levin__Mariana",0
"Levine__John",0
"Levine__Susan",0
"Levinson__Amber",0
"Levrini__Olivia",0
"Lewis__Katherine",0
"Li__Wenjuan",0
"Lichtenwalner__Sage",0
"Lin__Chiu.Pin",0
"Lineback__Jennifer",0
"Linn__Marcia",2006.25
"Liu__Chen.Chung",0
"Liu__Lei",0
"Liu__May",0
"Liu__Ou_Lydia",14
"Liu__Tzu.Chien",0
"Llorente__Carlin",0
"Lombardi__Doug",0
"Lombrozo__Tania",0
"Lonn__Steven",0
"Looi__Chee.Kit",2
"Louca__Loucas_T.",0.5
"Lu__Jingyan",0
"Luehmann__April_Lynn",3
"Luesse__Sarah",0
"Luna__Melissa",0
"Lund__Kristine",0
"Lundh__Patrik",0
"Ly__Uyen",0
"Lyons__Leilah",381
"Ma__Jasmine",0
"Macalalag__Augusto",0
"Maddox__Cody",0
"Madeira__Cheryl",0
"Magner__Ulrike",0
"Magnifico__Alecia_Marie",0
"Maher__Carolyn",0
"Majerich__David",0
"Makara__Kara",0
"Maloney__Alan",0
"Mancy__Rebecca",0
"Mann__Llewellyn",0
"Marbach.Ad__Gili",0
"Marchlewicz__Sara",0
"Martell__Sandra_Toro",2856
"Martin__Caitlin",0
"Martin__Crystle",0
"Martin__Lee",9
"Martinez.Garza__Mario",0
"Martinez__Mara",0
"Maskiewicz__April_Cordero",0
"Mathews__James",0
"Matlen__Bryan",0
"Mattis__Kristina_V.",0
"Matuk__Camillia",0
"McCarty__Glenda",0
"McChesney__Jane",0
"McDonald__Scott",0
"McDonnell__Janice",0
"McElhaney__Kevin",0
"McNeill__Katherine",20
"Mehus__Siri",1.5
"Menda__Justin",0
"Mertl__Veronique",0
"Messina__Richard",0
"Metz__Kathleen",0
"Michael__Georgia",0
"Miles.Kingston__Robert",0
"Minh__Chieu_Vu",0
"Mitamura__Teruko",0
"Moher__Tom",0
"Moore__Allison",0
"Moraveji__Neema",0
"Morrison__Deborah",0
"Moschkovich__Judit",0
"Moskaliuk__Johannes",0
"Mouza__Chrystalla",0
"Mulligan__Martha",0
"Najafi__Hedieh",0
"Narciss__Susanne",0
"Nash__Padraig",0
"Nasir__Na.ilah_Suad",0
"Nasser__Samira",0
"Nathan__Mitchell",0
"Nelson__Brian",0
"Nelson__Brian_C.",381.25
"Newman__Alan",0
"Niccolai__Gerald_P.",0
"Nicolaidou__Iolie",16.5
"Nokes__Timothy",0
"Notari__Michele",0
"Novellis__Francesco",0
"Novick__Laura",0
"NŸckles__Matthias",4
"O.Neill__D._Kevin",0
"Occhino__Michael",0
"Oh__Yoonsin",0
"Onaral__Banu",0
"Orrill__Chandra",0
"Otero__Valerie",0
"Ou__Jimmy_Xiantong",0
"Ow__John",0
"Packer__Martin",0
"Paechter__Manuela",0
"Palius__Marjory",0
"Palmquist__Sasha",0
"Papadouris__Nicos",0
"Parnafes__Orit",0
"Pasnik__Shelley",0
"Passmore__Cynthia",0
"Pat.El__Ron_J.",0
"Paus__Elisabeth",0
"Pea__Roy",21
"Pearce__Laura",0
"Pecori__Barbara",0
"Pedro__Michael_Sao",0
"Pellegrino__James",0
"Penuel__William",44
"Peppler__Kylie",1
"Perkins__Kristen",0
"Perpich__Diana",0
"Peters__Vanessa",0
"Pettyjohn__Patrick",0
"Phelps__David",0
"Phielix__Chris",0
"Philippi__Susanne",0
"Phillips__Brenda",0
"Phillips__Nathan",0
"Phillips__Rachel_S.",0
"Pierson__Jessica",0
"Pilitsis__Vicky",0
"Pimentel__Diane",0
"Pinkard__Nichole",0
"Ploetzner__Rolf",0
"Plummer__Julia",0
"Polman__Joseph",27
"Popescu__Octav",0
"Porsch__Torsten",0
"Poyas__Yael",0
"Prechtl__Helmut",0
"Presti__Peter",0
"Prins__Frans",0
"Pruet__Susan",0
"Prusak__Naomi",0
"Puntambekar__Sadhana",48
"Radinsky__Josh",0
"Raes__Annelies",0
"Raffle__Hayes",0
"Randall__Dan",0
"Ranney__Michael",0
"Rasmussen__Chris",0
"Ratliff__Kristin",0
"Raziuddin__Juelaila",0
"Rebello__Sanjay",0
"Redfors__Andreas",0
"Reeve__Suzanne",0
"Reimann__Peter",0
"Reisman__Avishag",0
"Renkl__Alexander",0
"Resendes__Monica",0
"Rhodes__Suzanne",0
"Richards__Jennifer",0
"Richards__Kimberly",0
"Rienties__Bart",0
"Roberts__Sarah_A.",0
"Robertson__Beth",0
"Rogers__Chris",0
"Rogers__Maryanna",0
"Roll__Ido",0
"Ronen.Fuhrmann__Tamar",0
"Ronen__Miky",0
