"","x"
"X__III",0
"Abowd__Gregory_D.",0
"Adler__Annette",0
"Allen__Robert_B.",0
"Andriessen__J.E.B.",0
"Arias__Ernesto_G",0
"Awalt__Carolyn",0
"Barak__Miri",0
"Barrows__Howard_S.",0
"Bers__Marina_U",0
"Bers__Marina_Umaschi",0
"Best__Michael_L.",0
"Blankinship__Erik",0
"Borovoy__Richard_D",0
"Brett__Clare",0
"Breuleux__Alain",0
"Brown__Matthew_W.",0
"Bruckman__Amy_S.",0
"Cambridge__Darren_R",0
"Cameron__Terri",0
"Carroll__John_M",0
"Carroll__John_M.",0
"Cassell__Justine",0
"Cheeseman__Robin",0
"Ching__Cynthia_Carter",0
"Christal__Mark",0
"Cole__Karen_A.",0
"Conrad__William_H.",0
"Cox__Richard",0
"Crooks__Steven_M.",0
"Cuthbert__Alex_J.",0
"da_Graca_Pimentel__Maria",0
"Dillenbourg__Pierre",0
"Dillenbourg__Pierre_J.",0
"Dineen__Finbar",0
"Dirckinck.Holmfeld__Lone",0
"Dori__Yehudit_J.",0
"Edelson__Daniel",1
"Eden__Hal",0
"Ellis__Jason_B.",0
"Emery__Katherine",0
"Enyedy__Noel",0
"Enyedy__Noel_D.",0
"Estes__Nolan",0
"Fairweather__Peter_G.",0
"Fenton__Jamie",0
"Ferneding__Karen",0
"Fischer__Gerhard",0
"Fjuk__Annita",0
"Fleschutz__Maria",0
"Fruchter__Renate",0
"Fulton__Kathleen",0
"Fusco__Judi",0
"Garland__Iris",0
"Gibson__Shanan_G",0
"Gifford__Bernard_R.",0
"Gilbert__Stephen_B",0
"Gill__Zann",0
"Gomez__Louis",0
"Gorman__Andrew",0
"Guzdial__Mark",34
"Hakkarainen__Kai",0
"Harris__Carl",0
"Hashizume__Hiromichi",0
"Haythornthwaite__Caroline_A",0
"Heilesen__Simon",0
"Henze__Nicola",0
"Hewitt__Jim",0
"Hmelo.Silver__Cindy.Day__Roger_S",0
"Ho.Ching__Wai.ling",0
"Hoadley__Christopher_M.",0
"Holmer__Torsten",0
"Hoppe__Ulrich",0
"Hunter__William",0
"Inkpen__Kori",0
"Ioannidou__Andri",0
"Ishiguro__Yoshihide",0
"Ito__Mizuko",0
"Jackson__Randolph_L.",0
"Jermann__Patrick_R",0
"Johnson__Andy_P",0
"Jones__Christopher_R",0
"Jump__Otak",0
"Kanselaar__G.",0
"Kato__Hiroshi",0
"Katz__Sandra",0
"Kerce__Clayton",0
"Kerimbaev__Bolot",0
"Kolodner__Janet.Nagel__Kristine",0
"Koschmann__Timothy_D.",0
"Kozma__Robert",0
"Krange__Ingeborg",0
"Kuederle__Oliver",0
"Kusunoki__Fusako",0
"Kvan__Thomas",0
"Kynigos__Chronis",0
"Laferriere__Therese",0
"Laffey__Jim",0
"Lakkala__Minna",0
"Lee__John",0
"Lehtinen__Erno",0
"Linde__Charlotte",0
"Lipponen__Lasse",0
"Ludovice__Pete",0
"Lyons__Eric",0
"Maher__Mary_Lou",0
"Martin__Fred",0
"Mayes__Terry",0
"McKendree__Jean",0
"McLean__Robert_S.",0
"Miao__Yongwu",0
"Morley__Tom",0
"Mühlenbrock__Martin",0
"Munroe__Michael",0
"Muukkonen__Hanni",0
"Mynatt__Elizabeth_D",0
"Nagarajan__Anandi",0
"Nason__Rod",0
"Neale__Dennis_C.",3
"Nejdl__Wolfgang",0
"Nurmela__Kari_A",0
"O.Day__Vicki_L.",0
"O.Donnell__Gabriel",0
"Owston__Ron",0
"Palonen__Tuire",0
"Pannoni__Robert_L.",0
"Penuel__William.Korbak__Christine",0
"Pfister__Hans.Rüdiger",0
"Phillips__Jonathan",0
"Plaisant__Catherine",0
"Puntambekar__Sadhana",0
"Puthoff__Adrienne_Kennedy",0
"Realff__Matthew",0
"Reimer__Todd_C.",0
"Repenning__Alexander",0
"Resnick__Mitchel_L.",0
"Resta__Paul",0
"Resta__Paul_E.",0
"Rose__Anne",8
"Rubloff__Gary",0
"Ruhleder__Karen",0
"Ryokai__Kimiko",0
"Salter__Richard",0
"Satterwhite__Robert_C.",0
"Schank__Patricia_K",0
"Scharff__Eric",0
"Schlager__Mark",0
"Scott__Stacey_D.",0
"Shneiderman__Ben",0
"Shoemaker__Garth_B._D.",0
"Shrader__Gregory_W.",0
"Singley__Mark_K.",0
"Sipusic__Michael_J.",0
"Smith__Brian_K",0
"Smith__Randall_B.",0
"Söntgens__Kirsten",0
"Sørensen__Elisebeth_K.",0
"Sorensen__Elsebeth_K.",0
"Spoon__Lex",0
"Stahl__Gerry",0
"Steinmetz__Ralf",0
"Stenning__Keith",0
"Stroup__Walter",0
"Sugimoto__Masanori",0
"Sukel__Katherine",0
"Suthers__Dan",0
"Suzuki__Hideyuki",0
"Swerling__Steven",0
"Takle__Eugene_S.",0
"Tanikawa__Yukiko",0
"Teles__Lucio",0
"Teplovs__Chris",0
"Tiessen__Esther_L",0
"Traum__David",0
"Tupper__Tom",0
"Van_Metre__Christina_A.",0
"Veerman__Arja_L.",0
"Vera__Alonso",0
"Wang__Minjuan",0
"Wang__Xinchun",0
"Wangemann__Paul",0
"Ward__Douglas_R.",0
"Wasson__Barbara",0
"Wessner__Martin",0
"Wilensky__Uri_J.",0
"Winn__William",0
"Wolpers__Martin",0
"Woodruff__Earl",0
"Woodruff__Earl_E.",0
"Wortham__Donald_W",0
"Yip__Wan_Hung",0
"Zaritsky__Raul",0
"Zentel__Peter",0
