"","x"
"Abassi__Nour_Ghalia",0
"Adeoye__Temitope",4.33333333333333
"Agesilaou__Andria",0
"Agrawal__Harshit",0
"Ahmed__Ishrat",0
"Ahn__June",0
"Alberto__Rosa",0
"Aldemir__Tugce",0
"Aleman__Ezequiel",0
"Alexandre__Jeremy",0
"Allert__Heidrun",0
"Alozie__Nonye",0
"Alqahtani__Mona",0
"Amador__Julie",0
"Amundrud__Anja",0
"An__Haokang",0
"Anderson__Emma",0.333333333333333
"Andrade__Alejandro",0
"Andrews__Christopher",102.5
"Ang__JL",0
"Angel__Dror",0
"Anthony__Lisa",0
"Aridor__Keren",0
"Aritajati__Chulakorn",0
"Ashley__Robert",0
"Atias__Osnat",50.75
"Axisa__Carmen",0
"Baabdullah__Afaf",0
"Bae__Haesol",91.3333333333333
"Bailie__Addisu",0
"Baker__Michael",0
"Bakker__Arthur",0
"Baram.Tsabari__Ayelet",50.75
"Barany__Amanda",0
"Barbaro__Valerie",0
"Barksdale__Sarah",0
"Barron__Brigid",0
"Bates__Meg",0
"Bayat__Arash",0
"Beilstein__Shereen",0
"Beirl__Diana",0
"Belcher__John",0
"Bell__Adam",0
"Bell__Amanda",102.5
"Bellha.user__Henrik",0
"Ben.Horin__Hava",0
"Ben.Zvi__Dani",0
"Benachour__Phil",0
"Benichou__Maya",50.75
"Bereiter__Carl",0
"Bers__Marina",0
"Bichler__Sarah",0
"Biemans__Harm",0
"Bietti__Lucas",0
"Biswas__Gautam",0
"Blikstein__Paulo",0
"Bodemer__Daniel",22
"Bogart__Christopher",0
"Bonsignore__Elizabeth",0
"Boomgaarden__Antje",0
"Borar__Priyanka",0
"Borge__Marcela",6.5
"Boulden__Danielle",0.333333333333333
"Boyer__Kristy_Elizabeth",0.333333333333333
"Bracey__Zoe._Buck",0
"Bradford__Allison",0
"Brady__Corey",817
"Bratt__Harry",0
"Bressler__Denise",0
"Bridges__Susan",0
"Briskin__Jessica",0
"Bryant__Tonya",0
"Burriss__Sarah",0
"Bussian__Christine",0
"Cao__Shengyang",0
"Carrillo__Rubiella",0
"Carson__Cynthia",0
"Cassidy__Robert",0
"Castek__Jill",0
"Cavera__Veronica",0
"Ceja.Salgado__Omar",0
"Cervantes__Alexandria",0
"Chai__Aileen_S.W.",0
"Chai__Ching_Sing",13
"Chaivisit__Yam",0
"Chan__Carol",179
"Chan__Kennedy",0
"Chan__Lap_Ki",0
"Chan__Yuyao_Tong_and_Carol",0
"Chandrasekharan__Sanjay",0
"Chandy__Betty",0
"Chang__Peter",0
"Chang__Yu.Hui",6
"Chapman__Katherine",206
"Chapman__Susan",0
