"","x"
"X__H.",0
"X__K.",0
"X__Masukawa",0
"X__Miyake",0
"X__N.",0
"X__Shirouzu",0
"X__Yuasa",0
"Aakhus__Mark",0
"Agostini__Alessandra",0
"Alexander__Christine",0
"Amelung__Chris",0.166666666666667
"Amelung__Christopher_J.",0
"Ananny__Mike",0
"Andersen__Hans_H._K.",0
"Andersen__Verner",0
"Andrade__Adja",0
"Andrews__Gail",0
"Arias__Ernesto",0
"Armitt__Gillian",0
"Arnseth__Hans_Christian",0
"Avouris__N.M.",0
"Baggetun__Rune",0
"Bannon__Liam_J.",0
"Barab__Sasha",0
"Bargeron__David",0
"Barron__Brigid",4
"Barthès__Jean.Paul",0
"Bayon__Victor",0
"Beardon__Colin",0
"Beck__Robert_J.",0
"Beer__Martin",0
"Bekerman__Zvi",0
"Blake__Canan",0
"Bleek__Wolf.Gideon",0
"Bordini__Rafael",0
"Borning__Alan",0
"Bortolozzi__Flávio",0
"Bos__Nathan",8
"Bourguin__Grégory",0
"Brecht__John",0
"Brown__Richard_S.",0
"Bruckman__Amy",2
"Bruckman__Amy_S.",0
"Brunier__Philippe",0
"Brush__A.J._Bernheim",0
"Burd__Leo",0
"Burns__Mary",0
"Canny__John",0
"Carlson__Adam",0
"Carroll__Karen",0
"Caspar__Franz",0
"Cassell__Justine",0
"Chapman__Robbin",0
"Cheesman__Robin",0
"Cheng__Britte",0
"Cherry__Gina",0
"Chung__Mark",0
"Clark__Douglas_B.",0
"Cockburn__Andy",0
"Corbit__Margaret",0
"Curtis__Michael",0
"Daily__Ryan",0
"Dawabi__Peter",0
"de_Laat__Maarten",0
"de_los_Angeles_Constantino.González__María",0
"de_Oliveira__Flavio_Moreira",0
"DeBonte__Austina",0
"Derry__Sharon",9
"DeVarco__Bonnie",0
"DiGiano__Chris",0
"Dillenbourg__Pierre",0
"Dimitracopoulou__A.",0
"Dimitriadis__Y.",0
"Dimock__Vicki",0
"Divitini__Monica",0
"Dobson__Mike",0
"Doubler__Sue",0
"Dunlap__Joanna_C.",0
"Eales__R._T._Jim",0
"Edelson__Daniel",0
"Eden__Hal",0
"Ehn__Pelle",0
"Eleuterio__Marco_A.",0
"Elliott__Dean_M.",0
"Ellis__Jason_B.",0
"Empinotti__Vanessa",0
"Engeström__Ritva",0
"Engeström__Yrjö",0
"Erkens__Gijsbert",0
"Ertl__Bernhard",0
"Espinosa__Linda",0.166666666666667
"Farrell__Rob",0
"Feger__Stephanie",0
"Ferraris__Christine",0
"Fidas__C.",0
"Fischer__Frank",5.5
"Fischer__Gerhard",0
"Fishman__Barry",0
"Fjuk__Annita",2
"Fournier__Janice",0
"Funaoi__Hideo",0
"Furugori__Nobuko",0
"Fusco__Judith",0
"Garrachón__I.",0
"Gaßner__Katrin",0
"Gill__Zann",0
"Glaser__Daniel",0
"Golan__Ravit",0
"Gómez__E.",0
"Gomez__Louis",25
"Gonzalez__Carlos_Enrique",0
"Gorman__Andrew",0
"Gottdenker__Joshua_S.",0.533333333333333
"Gray__James",0
"Green__Sharon",0
"Greer__Jim",0
"Grudin__Jonathan",0
"Gupta__Anoop",0
"Guribye__Frode",0
"Guzdial__Mark",0
"Haake__Jörg_M.",0
"Haas__David",0
"Hakkarainen__Kai",27
"Häkkinen__Päivi",0
"Hall__Tony",0
"Halloran__John",0
"Hashizume__Hiromichi",0
"Hay__Kenneth_E.",0
"Hedestig__Ulf",0
"Heilesen__Simon_B.",0
"Hermann__Fabian",0
"Hewitt__Jim",0
"Hinrichs__Elke",0
"Hmelo.Silver__Cindy",0
"Hoadley__Christopher_Plekss",0
"Holloway.Attaway__Lissa",0
"Holmer__Torsten",0
"Holst__Shirley",0
"Hong__Ran.Young",0.533333333333333
"Hooi__Chit_Meng",0
"Hoppe__H.U.",0
"Hoppe__Ulrich",1
"Horenczyk__Gabriel",0
"Hübscher.Younger__Teresa",25
"Hudson__James_M.",0
"Hundhausen__Chris",0
"Hundhausen__Christopher_D.",0
"Hunt__Earl",0
"Hunter__Sheila",0
"Huntley__Martin",0
"Husted__Justin",0
"Iivonen__Marjut",0
"Iles__Alastair",0
"Illmann__Torsten",0
"Ilomäki__Liisa",0
"Inagaki__Shigenori",0
"Inkpen__Kori_M.",0
"Janetzko__Dietmar",0
"Janneck__Michael",0
"Jansen__M.",0
"Jaques__Patrícia",0
"Jaques__Patricia_Augustin",0
"Järvelä__Sanna",0
"Jaspers__Jos",0
"Jensen__Carlos",0
"Jermann__Patrick",0
"Johnson__Brian_R.",0
"Johnson__Gabe",0
"Joiner__Richard",0
"Jonassen__David",0
"Jondahl__Silje",0
"Jung__João",0
"Kafai__Yasmin",0
"Kali__Yael",0
"Kam__Matthew",0
"Kanselaar__Gellof",0
"Kaptelinin__Victor",0
"Karlgren__Klas",0
"Kehoe__Colleen_M.",0
"Keselman__Alla",0
"Kim__Beaumie",0
"Kim__Janet",0
"Kirschner__Paul",0
"Kligyte__Giedre",0
"Klopfer__Eric",0
"Kolodner__Janet",0
"Komis__V.",0
"Konomi__Shin.ichi",0
"Koyle__Susan_Bagley",0
"Krajcik__Joseph",0
"Krange__Ingeborg",0
"Kuhn__Deanna",0
"Kusunoki__Fusako",0
"Kyza__Eleni_A.",0
"Laffey__James_M.",0.533333333333333
"Lahti__Henna",0
"Lakkala__Minna",0
"Lallimo__Jiri",0
"Lally__Vic",0
"Larsen__Anniken",2
"Larsson__Josef",0
"Leinonen__Teemu",0
"Lesgold__Alan",0
"Ligorio__Maria_Beatrice",0
"Lindgren__Robb",0
"Lingnau__Andreas",0
"Linn__Marcia",0
"Lipponen__Lasse",0
"Liu__Kristina",0
"Löhner__Simone",0
"Luchini__Kathleen",0
"Ludvigsen__Sten",0
"Lundby__Knut",0
"Lutgens__Gaby",0
"MacKinnon__Kimberley_A.",0
"Madigan__David",0
"Mäkitalo__Kati",0
"Malmborg__Lone",0
"Mambrey__Peter",0
"Mandl__Heinz",8.5
"Mandryk__Regan_L.",0
"Marcos__J._A.",0
"Marshall__Sue_K.",0
"Martel__Christian",0
"Martin__Caitlin",0
"Martínez__A.",0
"Mather__Mary_Anne",0
"Matsuura__Kenji",0
"McConnell__David",0
"Menchaca__Marylu",0
"Minstrell__Jim",0
"Moher__Tom",0
"Mørch__Anders",3
"Mühlenbrock__M.",0
"Mühlpfordt__Martin",0
"Murayama__Isao",0
