"","x"
"X.__Meixi",0
"Abelein__Hannah",0
"Abelson__Hal",0
"Abrahamson__Dor",1287
"Acharya__Arup",0
"Acosta__Alisa",0
"Adams__Deanne",0
"Adams__Jennifer_D",0
"Adams__Joshua_Adams",0
"Addeh__Afe",0
"Agarwal__Priyanka",0
"Ahn__June",10294.7219261494
"Ainsworth__Shaaron",8
"Aleven__Vincent",177
"Allen__Shawndra",0
"Alozie__Nonye",0
"Amici.Dargan__Sheila_L.",0
"Anderson.Levitt__Kathryn",0
"Anderson__Alice",0
"Anderson__Charles_W",0
"Anderson__Eleanor",0
"Anderson__Emma",4145.24832091988
"Anderson__Janice_L.",0
"Anderson__Richard_C.",0
"Anderson__Robin_Keturah",0
"Anderson__Theresa_Dirndorfer",0
"Andrade__Alejandro",0
"Andrews__Chelsea_J",0
"Anton__Gabriella",0
"Applebaum__Lauren_R.",0
"Archibeque__Benjamin_Archibeque",0
"Arend__Béatrice",0
"Arias__Anna_Maria",0
"Arukovic__Selma",0
"Asaridou__Salomi_S.",0
"Asino__Tutaleni_I._I",0
"Askari__Emilia",0
"Asterhan__Christa",0
"Atarashi__Erika",0
"Atit__Kinnari",0
"Av.Shalom__Na.ama_Y.",0
"Avry__Sunny",0
"Bae__Haesol",0
"Bain__Connor",0
"Baker.Doyle__Kira_J",0
"Baker__Ryan",0
"Baker__Sara",0
"Bakker__Arthur",0
"Bang__Megan",8729.33191269652
"Banks__Tarrence",0
"Bar.El__David",0
"Barab__Sasha",0
"Baradaran__Nilou",0
"Baram.Tsabari__Ayelet",0
"Barany__Amanda",0
"Barber.Lester__Kelly_Johnson",0
"Barbieri__Christina",0
"Barma__Sylvie",108
"Barnes__Jackie",0
"Barron__Brigid",0
"Bartell__Tonya",0
"Barth.Cohen__Lauren",1
"Barton__Angela_Calabrese",23
"Barzilai__Sarit",431
"Bastani__Reyhaneh",0
"Basu__Satabdi",6442.74011258542
"Bateman__Kathryn",0
"Bayeck__Rebecca_Yvonne",0
"Baylor__Amy_L",0
"Beck__Stephanie",0
"Becker__Sandra",0
"Bedell__Kristin_Dana_Bedell",0
"Behrendt__Lena",0
"Bell__Amanda_M",0
"Bell__Amani",0
"Bell__Philip",5536.67313354973
"Ben.Horin__Hava",0
"Ben.Zvi__Dani",0
"Bender__Sophia",0
"Benedict.Chambers__Amanda",0
"Berg__Yngvar",0
"Berland__Leema_K.",860
"Berland__Matthew",5
"Bernstein__Debra",0
"betser__sagit",0
"Betser__Sagit",0
"Bhaduri__Srinjita",0
"Bhattacharya__Devarati",0
"Bian__Yulong",0
"Bienkowski__Marie",0
"Bild__David",0
"Binder__Torsten",0
"Biswas__Gautam",1712
"Blaskova__Lenka_Janik",0
"Blikstein__Paulo",2916.66666666665
"Boardman__Alison",0
"Bod__Petra",0
"Bodemer__Daniel",9
"Bohrmann.Linde__Claudia",0
"Bonsignore__Elizabeth",0
"Booth__Julie_L.",3
"Bopardikar__Anushree",0
"Borge__Marcela",12
"Bosch__Nigel",0
"Bowers__Nicole",0
"Boyer__Kristy_Elizabeth",0
"Braden__Sarah",0
"Brady__Corey",0
"Brady__Katherine",0
"Bragelman__John",0
"Brailsford__Timothy",0
"Brand__Charleen",0
"Brand__Michala",0
"Brandon__Diana",0
"Braun__Maggie",0
"Brett__Clare",0
"Breuleux__Alain",0
"Briggs__Derek",0
"Britton__Edward",0
"Brock__Karen",0
"Brooks__Christopher",31.5
"Brown__David",431
"brown__denise",0
"Brown__Rachael_Eriksen",0
"Brownell__Sara",0
"Bruchok__Christiana_Bruchok",0
"Brune__Laura",0
