"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Southavilay__Vilaythong",9,"","","","","","","","","learning.environment","","","","","","","","","","","","collaborative.learning","","","","",""
"Spikol__Daniel",9,"","","","","","","","","learning.environment","","","collaborative.learning","","","","","","","","","","preliminary.result","","","",""
"Sullivan__Sarah",9,"","","","","","","","","learning.science","learning.science","","","","","","","","","","student.work","","","","","",""
"Taylor__Charlotte",9,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Taylor__Meredith",9,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Toikka__Seppo",9,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Unal__Zafer",9,"","","","","","","","","learning.environment","","","","","","","","","","","","professional.development","","","","",""
"Vanover__Charles",9,"","","","","","","","","learning.environment","","","","","","","","","","","","professional.development","","","","",""
"Wan__Wing.San",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Watt.Watson__Judy",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wong__Wai.Yat",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barrat__Alain",9,"","","","","","","","","","social.network","","prior.research","","","","","","","","","","","","","",""
"Davidsen__Jacob",9,"","","","","","","","","","collaborative.learning","collaborative.learning","","collaborative.learning","","","","","","","","","","","","","collaborative.learning"
"Harris__Christopher",9,"","","","","","","","","","science.education","","","","","","","","","","","","science.practice","","","",""
"Leuders__Timo",9,"","","","","","","","","","collaborative.learning","","","problem.solving","","","","","","","","","","","experimental.study","","learning.environment"
"Schneider__Emily",9,"","","","","","","","","","learning.environment","","","","","","","","","","","","learning.science","","","",""
"Schneider__Leslie",9,"","","","","","","","","","collaborative.learning","","","case.study","","","","","","","","","teacher.student","","collaborative.learning","",""
"Stainton__Catherine",9,"","","","","","","","","","collaborative.learning","","","","","","","","","","","","","","","",""
"Lu__Lin",9,"","","","","","","","","","","small.group","","","","","","","","","","","","group.student","student.engagement","",""
"Uchidiuno__Judith",9,"","","","","","","","","","","learning.experience","","student.engagement","","","","","","","","","","","","",""
"Andrews__Jessica_J.",9,"","","","","","","","","","","","problem.solving","","","","","","","","","","","","","",""
"Applebaum__Lauren_R.",9,"","","","","","","","","","","","climate.change","","","","","","","","","","","","science.learning","",""
"Baltes__Jennifer",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Bishara__Sarah",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Brand__Charleen",9,"","","","","","","","","","","","student.learning","","","","","","","","","","","","prior.knowledge","","problem.solving"
"Gemmell__Jonathan",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Hamid__Taha",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"K.Martin__Caitlin",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Kerr__Deirdre",9,"","","","","","","","","","","","problem.solving","","","","","","","","","","","","","",""
"Koh__Elizabeth",9,"","","","","","","","","","","","case.study","","","","","","","","","","learning.science","design.principle","design.based.research","",""
"Li__Taihua",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"MacArthur__Chris",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Mislevy__Robert_J.",9,"","","","","","","","","","","","problem.solving","","","","","","","","","","","","","",""
"Pardos__Zach",9,"","","","","","","","","","","","collaborative.learning","","","","","","","","","","","","","",""
"Raicu__Daniela",9,"","","","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Ricarte__Thales",9,"","","","","","","","","","","","problem.solving","","","","","","","","","","","","","",""
"von_Davier__Alina_A.",9,"","","","","","","","","","","","problem.solving","","","","","","","","","","","","","",""
"Bichler__Sarah",9,"","","","","","","","","","","","","preliminary.result","","","","","","","","","","","","","professional.development"
"Bradford__Allison",9,"","","","","","","","","","","","","professional.development","","","","","","","","","","","","student.learning","professional.development"
"Chan__Kennedy",9,"","","","","","","","","","","","","student.learning","","","","","","","","","","","teacher.learning","",""
"Feng__Xueqi",9,"","","","","","","","","","","","","knowledge.building","","","","","","","","","","","","knowledge.building","knowledge.building"
"Girotto__Victor",9,"","","","","","","","","","","","","learning.environment","","","","","","","","","student.learning","","","",""
"Greiff__Samuel",9,"","","","","","","","","","","","","collaborative.problem","","","","","","","","","","","","",""
"Karumbaiah__Shamya",9,"","","","","","","","","","","","","professional.development","","","","","","","","","","","conceptual.understanding","",""
"Papadopoulos__Pantelis_M.",9,"","","","","","","","","","","","","collaborative.problem","","","","","","","","","","","","",""
"Marx__Ron",9,"","","","","","","","","","","","","","learning.environment","middle.school","student.learning","","","","","","","","","",""
"Kintsch__Eileen",9,"","","","","","","","","","","","","","","learning.environment","","","","","","","prior.knowledge","","","",""
"Canty__Nicole",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Fassnacht__Chris",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Hewson__Kate",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Kim__Jong_Baeg",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Spiro__Rand",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Street__John",9,"","","","","","","","","","","","","","","","learning.environment","","","","","","","","","",""
"Ackermann__Edith",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Asmussen__Erik",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Bryant__Shaundra",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Chen__Siyu",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Cobb__Paul",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Crowley__Kevin",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","visual.representation","case.study",""
"Duschl__Richard",9,"","","","","","","","","","","","","","","","","learning.environment","","science.curriculum","","","","","","",""
"Gouldstone__Ian",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Higginbotham__Thomas",9,"","","","","","","","","","","","","","","","","learning.scientist","high.school","","","","","","","",""
"Johnson__Zanette",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Johri__Aditja",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
