"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Fischer__Frank",299,"","","","collaborative.learning","learning.environment","collaboration.script","empirical.study","collaboration.script","collaboration.script","collaborative.learning","collaborative.learning","problem.solving","learning.environment","","","","collaborative.learning","collaborative.learning","collaborative.learning","collaborative.inquiry","collaborative.learning","learning.science","high.school","","collaborative.learning","prior.knowledge"
"Hmelo.Silver__Cindy",283,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Danish__Joshua",255,"","","","","","","","","conceptual.understanding","case.study","student.learning","","student.collaborative","","","","","young.child","","learning.science","","design.principle","learning.experience","young.child","learning.activity","learning.environment"
"Kafai__Yasmin",238,"","","","learning.environment","","","","design.project","collaborative.learning","social.network","","collaborative.learning","collaborative.learning","social.interaction","design.project","","","case.study","learning.environment","","high.school","video.game","high.school","computational.thinking","understanding.learning","high.school"
"Rummel__Nikol",234,"","","","learning.environment","collaborative.process","collaborative.process","collaborative.learning","collaborative.learning","collaboration.script","learning.environment","collaborative.learning","collaborative.learning","","","","","collaborative.learning","collaborative.process","collaborative.learning","learning.opportunity","learning.outcome","student.learning","conceptual.knowledge","collaborative.learning","network.analysis","problem.solving"
"Enyedy__Noel",212,"","case.study","learning.environment","","","","","","conceptual.understanding","case.study","student.learning","","learning.environment","","learning.environment","","","","learning.environment","science.learning","","learning.environment","learning.experience","science.classroom","learning.science","learning.environment"
"Linn__Marcia",203,"science.education","","","design.principle","","","","learning.science","learning.environment","case.study","middle.school","collaborative.learning","professional.development","","","","","learning.science","high.school","student.learning","student.learning","case.study","learning.environment","instructional.design","student.learning","middle.school"
"Hall__Rogers",170,"","","","","","","learning.science","","","","","collaborative.learning","collaborative.learning","","","","learning.environment","","","learning.science","","learning.science","","learning.science","learning.environment",""
"Tissenbaum__Mike",167,"","","","","","","","student.teacher","collaborative.learning","collaborative.learning","","","qualitative.analysis","","","","","","","","learning.science","design.principle","learning.environment","computational.thinking","learning.science","collaborative.learning"
"Yoon__Susan",165,"","","","science.classroom","","","social.network","professional.development","learning.science","learning.environment","complex.system","middle.school","professional.development","","","","learning.environment","professional.development","case.study","complex.system","middle.school","learning.environment","learning.science","high.school","professional.development","science.curriculum"
"Clark__Douglas_B.",161,"","","","science.education","","science.education","learning.environment","","","support.learning","","","","","","","learning.environment","collaborative.learning","student.learning","science.learning","learning.environment","learning.environment","","professional.development","learning.process","teacher.student"
"Slotta__James",161,"","","","science.education","","case.study","learning.environment","student.learning","collaborative.learning","collaborative.learning","learning.environment","student.group","","","","","","","learning.environment","science.teacher","learning.science","high.school","learning.environment","","","learning.community"
"Sengupta__Pratim",158,"","","","","","","","","","","","","","","","","","","learning.environment","case.study","","middle.school","learning.environment","learning.science","learning.environment","learning.environment"
"Wilensky__Uri",156,"","","","","","","","","","learning.science","","middle.school","learning.environment","","","complex.system","","learning.science","learning.environment","case.study","learning.environment","learning.science","high.school","computational.thinking","computational.thinking","computational.thinking"
"Rose__Carolyn",155,"","","","","","collaborative.learning","collaborative.learning","","collaborative.learning","collaborative.learning","","collaborative.process","collaborative.learning","","","","","","learning.environment","learning.environment","collaborative.learning","","learning.science","experimental.study","collaborative.learning","learning.gain"
"Barron__Brigid",149,"","","","problem.solving","","","learning.science","community.practice","","learning.environment","","collaborative.learning","ethnographic.study","","","","learning.environment","theoretical.framework","learning.environment","learning.environment","","learning.science","","learning.environment","young.child","learning.environment"
"Lindgren__Robb",148,"","","","professional.development","","","learning.environment","collaborative.learning","","learning.environment","","","learning.environment","","","","","learning.activity","","","middle.school","learning.environment","middle.school","case.study","learning.environment","learning.environment"
"Penuel__William",148,"","","","case.study","","","","","collaborative.learning","","","","","","","","science.classroom","professional.development","collaborative.learning","science.curriculum","middle.school","learning.science","learning.environment","","case.study","learning.environment"
"Bang__Megan",146,"","","","","","","","","","","","collaborative.learning","","","","","","","","learning.environment","","learning.science","learning.environment","learning.environment","learning.science","learning.environment"
"Bell__Philip",144,"science.education","collaborative.learning","","","","","","","","","","collaborative.learning","","","","learning.environment","learning.environment","conceptual.understanding","learning.environment","science.learning","high.school","learning.environment","learning.environment","science.education","learning.environment",""
"Klopfer__Eric",141,"","","","learning.environment","","collaborative.learning","high.school","","learning.environment","high.school","complex.system","","","","","","learning.environment","professional.development","learning.environment","science.learning","complex.system","case.study","","computational.thinking","professional.development",""
"van_Aalst__Jan",139,"","","","learning.environment","","knowledge.forum","","","collaborative.learning","small.group","student.learning","knowledge.building","knowledge.building","","","","","","","knowledge.forum","knowledge.building","knowledge.building","learning.science","knowledge.building","knowledge.building","knowledge.building"
"Zhang__Jianwei",139,"","","","","","","","knowledge.building","knowledge.forum","knowledge.building","online.discourse","knowledge.building","knowledge.building","","","","","","","knowledge.building","knowledge.building","knowledge.forum","knowledge.building","knowledge.building","knowledge.building","knowledge.building"
"Weinberger__Armin",137,"","","","collaborative.learning","","collaborative.learning","learning.environment","","learning.environment","learning.environment","collaborative.learning","network.analysis","collaborative.learning","","","","collaborative.learning","collaborative.learning","collaborative.learning","","","learning.environment","professional.development","collaborative.learning","",""
"Matuk__Camillia",137,"","","","","","","","","learning.environment","case.study","middle.school","conceptual.understanding","student.learning","","","","","","learning.environment","learning.environment","student.learning","support.learning","learning.environment","professional.development","science.learning","high.school"
"Slotta__Jim",136,"","","","","","","","","learning.environment","school.science","","","case.study","","","","","","","","learning.science","","","learning.science","student.teacher","knowledge.building"
"Moher__Tom",135,"","","","science.learning","","","","","learning.environment","case.study","learning.environment","middle.school","designed.support","","","student.learning","","learning.environment","conceptual.understanding","learning.activity","learning.science","science.education","learning.community","middle.school","",""
"Scardamalia__Marlene",133,"collaborative.learning","","","","","","knowledge.forum","knowledge.building","knowledge.building","case.study","knowledge.building","knowledge.building","knowledge.building","learning.environment","","high.school","learning.environment","learning.science","learning.science","","knowledge.building","","learning.science","knowledge.building","learning.environment",""
"Chan__Carol",131,"","","","","","knowledge.forum","knowledge.building","","knowledge.building","learning.environment","conceptual.understanding","knowledge.building","learning.analytics","","","","","","knowledge.building","","knowledge.building","","","knowledge.building","knowledge.building","knowledge.building"
"Kali__Yael",129,"","","","design.principle","","design.based.research","graduate.student","","learning.environment","","learning.community","","science.learning","","","","","","learning.science","educational.technology","","","learning.community","professional.development","science.classroom","learning.community"
"Lyons__Leilah",124,"","","","","","","","collaborative.learning","","learning.environment","","collaborative.learning","","","","","","learning.environment","","learning.experience","collaborative.learning","learning.environment","","","learning.environment","learning.environment"
"DeLiema__David",124,"","","","","","","","","","case.study","","","","","","","","","","","theoretical.perspective","","learning.experience","middle.school","education.research","learning.environment"
"Biswas__Gautam",124,"","","","","","","","","","","","learning.environment","case.study","","","","","","","","learning.environment","learning.environment","learning.environment","learning.environment","computational.thinking","case.study"
"Schwarz__Baruch",121,"","learning.environment","","","","knowledge.building","learning.environment","learning.task","learning.environment","learning.activity","","","","","","","","","collaborative.learning","collaborative.learning","problem.solving","learning.environment","learning.experience","collaborative.learning","group.member",""
"Blikstein__Paulo",121,"","","","","","","collaborative.learning","","learning.environment","learning.community","learning.activity","graduate.student","collaborative.learning","","","","case.study","pilot.study","learning.science","learning.environment","case.study","learning.environment","","learning.process","computer.science","case.study"
"Law__Nancy",119,"","","","","knowledge.building","collaborative.learning","student.learning","","collaborative.learning","learning.science","","teacher.learning","problem.solving","","","","","","learning.environment","learning.environment","knowledge.building","student.learning","science.education","learning.design","case.study","learning.experience"
"Brady__Corey",118,"","","","","","","","","","","","middle.school","learning.environment","","","","","","","design.based.research","","small.group","","learning.environment","computational.thinking","learning.environment"
"Shapiro__R._Benjamin",115,"","","","","classroom.discourse","","","","teacher.student","social.network","","","","","","","learning.environment","","student.learning","data.analysis","","learning.activity","case.study","learning.environment","case.study","learning.environment"
"Kollar__Ingo",115,"","","","","","case.study","empirical.study","collaborative.learning","collaboration.script","learning.process","student.learning","problem.solving","collaborative.learning","","","","","","learning.environment","collaborative.inquiry","collaborative.learning","","high.school","collaborative.learning","","online.learning"
"Tabak__Iris",114,"learning.environment","learning.environment","","","","","","","learning.environment","","learning.community","ethnographic.study","learning.environment","","","","","","","learning.environment","","learning.environment","","learning.environment","","theoretical.framework"
"Oshima__Jun",113,"collaborative.learning","learning.environment","","knowledge.forum","","","network.analysis","","learning.environment","learning.environment","collaborative.learning","knowledge.building","network.analysis","learning.environment","conceptual.understanding","university.student","problem.solving","","knowledge.building","","learning.environment","learning.environment","learning.environment","network.analysis","knowledge.building","collaborative.learning"
"Puntambekar__Sadhana",111,"","collaborative.learning","learning.environment","design.approach","collaborative.learning","","","science.curriculum","collaborative.learning","collaborative.learning","learning.gain","collaborative.learning","collaborative.learning","","middle.school","","group.student","student.learning","","student.learning","","learning.science","learning.gain","science.learning","learning.environment","middle.school"
"Dillenbourg__Pierre",111,"","","student.learning","social.interaction","","","collaborative.learning","learning.environment","student.work","learning.environment","student.learning","collaborative.learning","theoretical.framework","","","communication.technology","learning.environment","collaborative.learning","collaborative.learning","","","learning.environment","learning.environment","learning.activity","",""
"Peppler__Kylie",111,"","","","","","","collaborative.learning","","collaborative.learning","","learning.environment","learning.environment","middle.school","","","","","theoretical.framework","learning.environment","collaborative.learning","","video.game","design.process","design.based.research","learning.science","collaborative.learning"
"Polman__Joseph",111,"","","","","","","","","","","","visual.representation","research.practice","learning.environment","","learning.environment","learning.environment","real.world","","learning.environment","","science.classroom","learning.environment","","learning.environment","learning.environment"
"Hoppe__Ulrich",109,"","","solve.problem","learning.opportunity","","design.principle","preliminary.result","collaboration.script","learning.environment","collaborative.learning","small.group","small.group","collaborative.learning","","","","learning.environment","learning.environment","learning.environment","learning.environment","conceptual.understanding","","student.work","","","collaborative.learning"
"Stegmann__Karsten",109,"","","","","","collaborative.learning","collaborative.learning","collaboration.script","collaborative.learning","collaborative.learning","collaborative.learning","prior.research","","","","","","collaborative.learning","collaborative.learning","","learning.environment","network.analysis","","","",""
"Lee__Victor",108,"","","","","","","","","","","","collaborative.learning","collaborative.learning","","","","learning.science","middle.school","learning.process","learning.environment","learning.environment","learning.environment","high.school","learning.environment","student.learning","professional.development"
"Zimmerman__Heather",106,"","","","","","","","","","high.school","","theoretical.framework","","","","","learning.environment","conceptual.understanding","learning.environment","learning.experience","","learning.environment","case.study","","learning.science","collaborative.learning"
"Hakkarainen__Kai",104,"","elementary.school","learning.environment","learning.environment","social.interaction","","pilot.study","collaborative.learning","learning.environment","","context.learning","knowledge.building","","","","learning.environment","","case.study","learning.activity","","preliminary.result","","","learning.process","",""
"Anderson__Emma",104,"","","","","","","","","","","complex.system","complex.system","professional.development","","","","","","","","","learning.environment","high.school","high.school","high.school","high.school"
"Vogelstein__Lauren",100,"","","","","","","","","","","","","learning.context","","","","","","","","","","","case.study","learning.environment","learning.environment"
"Weintrop__David",99,"","","","","","","","","","","","","","","","","","","","","","video.game","high.school","science.education","computer.science","computational.thinking"
"Hoadley__Christopher",98,"","","","","","","","","learning.environment","","learning.environment","","knowledge.construction","","","","","learning.environment","learning.environment","learning.environment","","learning.environment","learning.science","","student.learning","learning.science"
"Marin__Ananda",98,"","","","","","","","","","","","","","","","","","","","","","learning.science","","","learning.science","interaction.analysis"
"Pinkard__Nichole",95,"","","","","","","","","","learning.environment","","middle.school","","","learning.science","learning.environment","learning.science","","learning.environment","learning.environment","high.school","","","learning.environment","high.school","learning.science"
"Tzou__Carrie",95,"","","","","","","","","","","","collaborative.learning","","","","","","","learning.environment","science.learning","","learning.environment","","learning.environment","learning.environment","science.practice"
"Gutierrez__Kris",94,"","","","","","","","","","","","","","","","","","","","","","learning.science","","","learning.science","learning.experience"
"Pea__Roy",93,"","","","learning.science","","collaborative.learning","learning.science","collaborative.learning","collaborative.learning","learning.environment","","","","","","","learning.environment","learning.science","","mathematics.learning","video.game","","learning.science","","learning.environment","learning.science"
"Horn__Michael",93,"","","","","","","","","","learning.environment","","middle.school","","","","","","","","learning.environment","learning.science","design.activity","high.school","","computational.thinking","learning.experience"
"Kirschner__Paul",91,"","","","group.work","learning.environment","learning.environment","collaborative.learning","student.work","learning.environment","","learning.community","knowledge.building","","","","","","positive.effect","supported.collaborative","learning.environment","research.practice","learning.science","","collaborative.learning","",""
"Fields__Deborah",90,"","","","","","","","design.project","learning.environment","social.network","","","collaborative.learning","","","","","learning.environment","virtual.world","learning.environment","high.school","student.learning","design.process","learning.process","learning.environment","learning.environment"
"Gresalfi__Melissa",90,"","","","","","","","","","","","","student.teacher","","","","","","conceptual.understanding","learning.experience","design.based.research","learning.environment","","designed.support","computational.thinking","middle.school"
"Krajcik__Joseph",89,"","","","small.group","","","","","","","","","","","middle.school","student.learning","middle.school","learning.science","learning.science","learning.environment","learning.science","learning.experience","","","high.school",""
"Clegg__Tamara",89,"","","","","","","","","learning.environment","support.collaborative","learning.experience","","learning.experience","","","","","learning.environment","","scientific.practice","case.study","learning.process","education.program","case.study","learning.science",""
"Chinn__Clark",89,"","","","","","","","","","middle.school","","","","","","","learning.environment","learning.environment","science.curriculum","learning.science","","middle.school","","scientific.practice","complex.system","scientific.practice"
"Chen__Bodong",88,"","","","","","","","","learning.environment","case.study","knowledge.building","knowledge.building","","","","","","","","","knowledge.building","","knowledge.advancement","learning.environment","case.study","learning.community"
"Reimann__Peter",87,"","","","","collaborative.learning","student.interaction","learning.science","collaborative.learning","supported.collaborative","collaborative.learning","collaborative.learning","","","","","","","","learning.science","case.study","learning.environment","learning.science","learning.science","complex.system","","teacher.learning"
"Grover__Shuchi",87,"","","","","","","","","","learning.environment","","","case.study","","","","","","","","","middle.school","learning.science","computational.thinking","learning.environment","case.study"
"Taylor__Katie_Headrick",87,"","","","","","","","","","","","learning.experience","learning.environment","","","","","","","","","learning.science","","learning.environment","learning.environment",""
"Tu__Xintian",86,"","","","","","","","","","","","","science.learning","","","","","","","","","","","science.classroom","learning.science","learning.environment"
"Humburg__Megan",85,"","","","","","","","","","","","","science.learning","","","","","","","","","","learning.experience","learning.process","young.child","learning.science"
"Spada__Hans",83,"","","","learning.environment","collaborative.learning","collaborative.process","collaborative.learning","collaborative.learning","learning.environment","collaborative.learning","","","","","","","collaborative.learning","case.study","collaborative.learning","learning.opportunity","","","","","",""
"Chiu__Jennifer",83,"","","","","","","","learning.science","learning.environment","","","","","","","","","","student.learning","student.learning","prior.knowledge","","","professional.development","",""
"Bielaczyc__Katerine",83,"","","","","","","","","learning.environment","knowledge.building","","knowledge.building","","","","","","learning.process","","learning.science","collaborative.learning","learning.science","learning.environment","","","case.study"
"Vossoughi__Shirin",82,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","learning.environment","learning.science","learning.experience"
"Wecker__Christof",81,"","","","","","","online.discussion","collaborative.learning","collaboration.script","high.school","","","","","","","","","collaborative.learning","collaborative.inquiry","inquiry.learning","learning.environment","","","pre.service.teacher",""
"Gerard__Libby",80,"","","","","","","","learning.science","","","","","learning.environment","","","","","","learning.environment","student.learning","science.learning","learning.activity","learning.environment","professional.development","student.learning","instructional.practice"
"Mercier__Emma",80,"","","","","","","","community.practice","small.group","group.work","collaborative.learning","collaborative.learning","small.group","","","","learning.environment","case.study","","","collaborative.learning","","","collaborative.learning","problem.solving","problem.solving"
"Nathan__Mitchell",80,"","","","","","","","","","","","","","","","","","research.practice","","learning.environment","","","","learning.environment","high.school","high.school"
"Abrahamson__Dor",79,"","","","","","","professional.development","","case.study","","collaborative.learning","","","","","","learning.environment","learning.scientist","professional.development","design.based.research","design.based.research","learning.activity","problem.solving","middle.school","social.interaction","learning.environment"
"Wise__Alyssa",79,"","","","","","","","experimental.study","online.discussion","case.study","collaborative.process","knowledge.building","","","","","student.learning","","","","online.discussion","learning.science","","learning.science","learning.science",""
"Ahn__June",79,"","","","","","","","","","collaborative.learning","learning.experience","","learning.experience","","","","","","","","learning.environment","case.study","learning.environment","learning.environment","learning.environment","design.process"
"Kolodner__Janet",78,"collaborative.learning","collaborative.learning","","learning.environment","","","","","learning.environment","","","","","classroom.practice","learning.design","middle.school","learning.design","learning.environment","learning.science","scientific.practice","","","learning.science","","",""
"Kapur__Manu",78,"","","","","","problem.solving","understanding.learning","collaborative.learning","learning.environment","","","","","","","","","learning.science","collaborative.learning","case.study","learning.activity","learning.science","learning.environment","complex.system","",""
"Chen__Mei.Hwa",78,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quintana__Chris",77,"","","","small.group","","","","","","learning.environment","learning.environment","","","","","design.approach","learning.environment","learning.environment","teacher.education","","student.learning","learning.environment","","","learning.environment",""
"Laferriere__Therese",75,"","high.school","design.process","","","","","","learning.environment","","","conceptual.framework","","","","","","","interaction.analysis","learning.environment","","","","learning.environment","",""
"Stevens__Reed",75,"","school.classroom","","collaborative.learning","","","","","","","learning.environment","","learning.environment","","","","learning.environment","learning.environment","video.data","case.study","learning.science","learning.science","learning.environment","learning.science","learning.environment","student.experience"
"Harrer__Andreas",75,"","","","","learning.environment","collaborative.learning","collaborative.learning","collaboration.script","learning.environment","learning.activity","","","","","","","","","learning.environment","","","","","","",""
"Lindberg__Lindsay",75,"","","","","","","","","","","","","learning.environment","","","","","","","","","","","environment.support","learning.environment","computational.thinking"
"Suthers__Dan",74,"school.science","learning.activity","collaborative.learning","collaborative.learning","learning.environment","collaborative.learning","experimental.study","problem.solving","collaborative.learning","learning.activity","","","","","","","collaborative.learning","learning.community","learning.environment","","","","","learning.environment","",""
"Shin__Namsoo",74,"","","","","","","","","","","","","","","","","learning.environment","learning.environment","teacher.education","science.curriculum","learning.progression","learning.experience","","","computational.thinking",""
"Jacobson__Michael",73,"","","","","","","understanding.learning","case.study","learning.environment","","","","","","","problem.solving","","learning.science","learning.environment","case.study","high.school","learning.science","learning.science","learning.experience","",""
"Duncan__Ravit",73,"","","","","","","","","","middle.school","","","student.learning","","","","","science.education","science.curriculum","high.school","","student.learning","","scientific.practice","complex.system","high.school"
"Roschelle__Jeremy",72,"","","","","","collaborative.learning","collaborative.learning","primary.school","learning.scientist","design.based.research","","","","","","","high.school","learning.science","student.teacher","learning.science","learning.environment","middle.school","","learning.environment","learning.science","learning.science"
"Hod__Yotam",72,"","","","","","","","","","collaborative.learning","","learning.environment","knowledge.construction","","","","","","","","","learning.science","case.study","knowledge.building","knowledge.building","learning.community"
"Kidron__Adi",72,"","","","","","","","","","","learning.community","","knowledge.construction","","","","","","","","","","","learning.environment","",""
"DesPortes__Kayla",72,"","","","","","","","","","","","","","","","","","","","","","","case.study","","learning.environment","middle.school"
"Goldman__Shelley",71,"middle.school","","","","","","","","","collaborative.learning","","","","","collaborative.learning","","learning.environment","case.study","","mathematics.learning","","learning.environment","","learning.environment","","learning.environment"
"Saleh__Asmalina",71,"","","","","","","","","","support.teacher","student.learning","","problem.based.learning","","","","","","","student.teacher","","","learning.experience","learning.environment","learning.environment","learning.environment"
"Aleven__Vincent",71,"","","","","","","","","","","","student.learning","","","","","","","learning.environment","learning.environment","learning.science","student.learning","collaborative.learning","learning.environment","visual.representation","problem.solving"
"Barton__Angela_Calabrese",70,"","","","","","","","","","","","","","","","","","","science.education","science.education","","middle.school","case.study","learning.science","science.education","learning.science"
"Guzdial__Mark",69,"learning.environment","collaborative.learning","collaborative.learning","learning.environment","","","","","","","","","","student.learning","","online.discussion","learning.environment","","","","","","problem.solving","","case.study",""
"McLaren__Bruce",69,"","","","","","student.collaborative","collaborative.learning","supported.collaborative","learning.environment","learning.process","","learning.gain","","","","","","","","","","","","collaborative.learning","",""
"Squire__Kurt",69,"","","","","","collaborative.learning","","","learning.environment","computational.thinking","","","","","","","student.engagement","design.learning","high.school","science.learning","","small.group","learning.environment","","",""
"Lui__Michelle",69,"","","","","","","","","collaborative.learning","student.work","learning.environment","middle.school","","","","","","","","","learning.science","high.school","","middle.school","","learning.activity"
"Litts__Breanne",69,"","","","","","","","","","","","collaborative.learning","learning.environment","","","","","","","","","","high.school","","learning.science","science.learning"
"Bereiter__Carl",68,"collaborative.learning","","","","","","","","knowledge.building","","","knowledge.building","learning.environment","","","","learning.environment","","","","knowledge.building","","knowledge.building","","",""
"Booker__Angela",68,"","","","","","","","","","","","","","","","","","case.study","","problem.solving","","","","","learning.environment",""
"Pellegrino__James",68,"","","","","","","","","","","","","","","","","","online.discussion","teacher.education","learning.environment","","","","next.generation","science.education",""
"Muukkonen__Hanni",67,"","","learning.environment","","","","pilot.study","learning.environment","learning.environment","","","","","","","","","design.principle","learning.activity","","","learning.activity","","","collaborative.knowledge","learning.analytics"
"Martin__Caitlin",67,"","","","science.curriculum","","","","","","learning.environment","","","ethnographic.study","","","","learning.environment","theoretical.framework","","learning.environment","","","","","learning.experience","learning.science"
"Hong__Huang.Yao",67,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Martin__Caitlinnnedy",67,"","","","","","","","community.practice","","","","","","","","","","","learning.environment","","","learning.science","","learning.environment","",""
"Ben.Zvi__Dani",67,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ainsworth__Shaaron",67,"","","","","","","","","","","","","","","","","","","learning.environment","learning.environment","","","learning.science","learning.outcome","learning.science",""
"Bodemer__Daniel",66,"","","","","","","collaborative.activity","group.member","experimental.study","collaborative.learning","","collaborative.learning","collaborative.learning","","","","","","collaborative.learning","","","","learning.process","collaborative.learning","collaborative.learning",""
"Looi__Chee.Kit",66,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Svihla__Vanessa",66,"","","","","","","","network.analysis","learning.activity","learning.science","","","","","","","","formative.assessment","social.network","student.learning","student.learning","preliminary.finding","high.school","student.work","design.based.research",""
"Walkoe__Janet",66,"","","","","","","","","","","","professional.development","","","","","","","","learning.science","","professional.development","","","computer.science","learning.environment"
"Sandoval__William",65,"learning.environment","","","","","","","","","","","","","","","","","","","learning.science","high.school","learning.science","learning.environment","professional.development","case.study",""
"Damsa__Crina",65,"","","","","","","","","teacher.student","","","","learning.context","","","","","","learning.environment","","","","","learning.environment","student.teacher","university.student"
"Silva__Brenda_Lopez",65,"","","","","","","","","learning.environment","learning.environment","","","","","","","","","teacher.education","learning.activity","learning.science","","","middle.school","",""
"Acosta__Alisa",65,"","","","","","","","","","case.study","learning.environment","high.school","","","","","","","","","","high.school","learning.community","learning.science","",""
"Keifert__Danielle",65,"","","","","","","","","","","","","learning.environment","","","","","","","","young.child","","","environment.support","learning.science","learning.environment"
"Koedinger__Ken",64,"","","","","","","learning.environment","collaborative.learning","","","","","student.engagement","","","","","","collaborative.learning","science.learning","learning.science","","","","prior.knowledge",""
"Berland__Matthew",64,"","","","","","","","","learning.environment","student.learning","","","","","","","","","","learning.environment","learning.science","","learning.environment","case.study","learning.environment",""
"Lui__Debora",64,"","","","","","","","","","","","","learning.environment","","","","","","","","","","","computational.thinking","",""
"Dede__Chris",63,"","","","","","","learning.environment","","learning.environment","middle.school","","","","learning.experience","problem.solving","","middle.school","","","","group.work","virtual.world","","","learning.environment",""
"Chen__Wenli",63,"","","","","","","","collaborative.learning","collaborative.learning","collaborative.learning","science.learning","","learning.activity","","","","","","learning.environment","collaborative.learning","","","","collaborative.learning","",""
"McElhaney__Kevin",63,"","","","","","","","","","case.study","","","","","","","","","student.interaction","student.learning","student.learning","learning.activity","","high.school","middle.school",""
"Edelson__Daniel",62,"case.study","design.principle","middle.school","middle.school","","","","","","","","","","learning.environment","high.school","student.engaged","learning.environment","learning.environment","learning.science","","","learning.environment","","","case.study",""
"Wichmann__Astrid",62,"","","","","","","","learning.environment","","learning.environment","university.student","small.group","","","","","","learning.environment","learning.environment","learning.environment","collaboration.script","learning.environment","student.work","","",""
"Evans__Michael",62,"","","","","","","","","learning.environment","","collaborative.learning","","","","","","","","learning.environment","learning.science","learning.science","","","","",""
"Jeong__Heisawn",61,"","collaborative.learning","","","","","","","collaborative.learning","","learning.environment","collaborative.learning","collaborative.learning","","","","","","learning.environment","collaborative.learning","learning.environment","","","","",""
"Thompson__Kate",61,"","","","","","","","collaborative.learning","learning.environment","collaborative.learning","collaborative.learning","learning.environment","student.teacher","","","","","","complex.system","","learning.environment","","learning.outcome","learning.science","learning.experience","teacher.learning"
"Gnoli__Alessandro",61,"","","","","","","","","learning.environment","","learning.environment","","designed.support","","","","","","","","learning.science","design.principle","","","",""
"Flood__Virginia_J.",61,"","","","","","","","","","","collaborative.learning","","","","","","","","","","","learning.environment","learning.environment","","learning.environment","learning.science"
"Gomez__Kimberley",61,"","","","","","","","","","","","","learning.environment","","","","","","learning.environment","ethnographic.study","","design.process","design.process","","",""
"X.__Meixi",61,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"McNamara__Danielle",60,"","","","","","","","","","","collaborative.learning","network.analysis","learning.environment","","","","prior.knowledge","high.school","","","","high.school","","","","learning.environment"
"Weiss__Patrice_L.",60,"","","","","","","","","","","learning.community","","knowledge.construction","","","","","","","","","","learning.community","","",""
"Davis__Bria",60,"","","","","","","","","","","","","science.learning","","","","","","","","","","","science.classroom","identity.development",""
"Gomez__Louis",59,"case.study","case.study","science.curriculum","professional.development","learning.environment","","","","","","","","learning.environment","learning.environment","learning.environment","case.study","learning.environment","learning.science","learning.environment","high.school","learning.environment","","design.process","","",""
"Stahl__Gerry",59,"learning.environment","collaborative.learning","middle.school","collaborative.learning","collaborative.learning","collaborative.learning","small.group","collaborative.learning","case.study","case.study","community.practice","","","","collaborative.learning","collaborative.knowledge","learning.science","collaborative.learning","online.collaborative","learning.environment","","collaborative.learning","","","",""
"Dahn__Maggie",59,"","","","","","","","","","","","","","","","","","","","","","","learning.experience","case.study","learning.science","case.study"
"Ching__Cynthia_Carter",58,"","","learning.design","","","","","","","","","","learning.environment","","science.learning","","collaborative.learning","learning.environment","","learning.environment","","design.principle","learning.environment","","",""
"Cober__Rebecca",58,"","","","","","","","","","case.study","learning.environment","","","","","","","","","","elementary.school","design.principle","","","",""
"Tsovaltzi__Dimitra",58,"","","","","","","","","","collaborative.learning","knowledge.construction","network.analysis","collaborative.learning","","","","","","","","","learning.environment","professional.development","","collaborative.learning",""
"Irgens__Golnaz_Arastoopour",58,"","","","","","","","","","","","learning.environment","","","","","","","","","","","","high.school","learning.environment","teacher.learning"
"Cress__Ulrike",57,"","","","","","learning.environment","","collaborative.learning","knowledge.construction","collaborative.learning","","knowledge.building","","","","","group.member","collaborative.process","knowledge.building","knowledge.building","case.study","knowledge.construction","","learning.environment","",""
"Mochizuki__Toshio",57,"","","","","","learning.activity","learning.activity","collaborative.learning","learning.environment","case.study","learning.environment","learning.environment","","","","","","","","","","","","design.based.research","learning.environment",""
"Shirouzu__Hajime",57,"","","","","","","","","learning.environment","student.group","","knowledge.building","formative.assessment","","","","college.student","","","","","","learning.science","learning.science","","case.study"
"Jayathirtha__Gayithri",57,"","","","","","","","","","","","","collaborative.learning","","","","","","","","","","","computational.thinking","learning.science","high.school"
"Holbert__Nathan",57,"","","","","","","","","","","","","","","","","","","","pilot.study","learning.environment","small.group","","","learning.science","learning.environment"
"Erkens__Gijsbert",56,"problem.solving","","","collaborative.learning","learning.environment","","group.member","designed.support","group.member","collaborative.learning","","","","","","","","collaborative.learning","teacher.student","learning.activity","","","","","",""
"Wilkerson__Michelle",56,"","","","","","","","","","","","professional.development","","","","","","","complex.system","","","","learning.environment","learning.environment","design.learning",""
"Shanahan__Marie.Claire",56,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pierson__Ashlyn",56,"","","","","","","","","","","","","","","","","","","","","","","","","learning.process","learning.environment"
