"","x"
"X__RichLehrer",5
"Abrahamson__Dor",12
"Adams__Karlyn",3
"Aditomo__Anindito",5
"Ahn__June",6
"Ai__Hua",3
"Ainley__Mary_D.",3
"Aleven__Vincent",13
"Allaire__Stephane",0
"Anderson__Kate",3
"Anmarkrud__Øistein",3
"Avramides__Katerina",3
"Bachrach__Jessica",8
"Bagley__Elizabeth",1
"Baker__Ryan",11
"Barnes__Jacqueline",1
"Barron__Brigid_J.",3
"Barth.Cohen__Lauren",0
"Bass__Michelle",1
"Batane__Tshepo",5
"Beauvineau__Yves",3
"Becker__Bernd",6
"Becker__Marina",2
"Bell__Philip",4
"Bennett__Sue",2
"Bereiter__Carl",4
"Berland__Matthew",9
"Bertram__Johanna",7
"Bielaczyc__Katerine",2
"Bientzle__Martina",8
"Bijker__Monique",3
"Birchfield__David",11
"Biswas__Gautam",4
"Black__John_B.",11
"Blikstein__Paulo",16
"Bokhorst__Franziska",4
"Bolling__Amy",2
"Bonsignore__Elizabeth",11
"Boshuizen__Henny_P._A.",3
"Boticki__Ivica",3
"Brand.Gruwel__Saskia",3
"Bransford__John",9
"Bråten__Ivar",3
"Bricker__Leah",4
"Bryk__Anthony",4
"Buehrer__Manuel",6
"Bull__Susan",9
"Burd__Elizabeth",3
"Cafaro__Francesco",3
"Calvo__Rafael",3
"Cerniak__Gabriele",9
"Chai__Ching.Sing",3
"Chai__Ching_Sing",6
"Chan__Carol",9
"Chan__Yuan_Y.",5
"Chang__Chih.Hsuan",1
"Chang__Hsin.Yi",2
"Chang__Mido",3
"Charles__Elizabeth",2
"Chen__Bodong",4
"Chen__Jennifer_King",5
"Chen__Ying.Chih",2
"Cheng__Britte",8
"Chiu__Chieh.Hsin",1
"Chiu__Jennifer",9
"Chiu__Ming_Ming",1
"Choi__Sung.Youn",3
"Chuy__Maria",4
"Cisterna__Dante",2
"Clark__Dav",3
"Clark__Douglas_B.",6
"Clarke.Midura__Jody",7
"Clegg__Tamara",12
"Cober__Rebecca",9
"Cohen__Sarah",3
"Constantinou__Constantinos",2
"Cosejo__David_D.",6
"Craft__Brock",3
"Cress__Ulrike",4
"Cruse__Julie",11
"Curwood__Jen_Scott",0
"Dalgarno__Barney",3
"Dasgupta__Chandan",5
"Davenport__Jodi",10
"Davis__Pryce",6
"de_Jong__Ton",9
"De_Wever__Bram",9
"Deater.Deckard__Kirby",3
"DeBarger__Angela_Haydel",3
"Dede__Chris",7
"Delgado__Cesar",1
"DeLiema__David",11
"DeLiema__David_J.",2
"DeVane__Ben",6
"Dierking__Lynn_D.",5
"Dolle__Jonathan",4
"Dookie__Lesley",2
"Drake__Joel",1
"Druin__Allison",11
"Dyke__Gregory",3
"Eberbach__Catherine",4
"Eberle__Julia",2
"Eisenberg__Michael",11
"Elinich__Karen",3
"Ely__Robert_B._W.",3
"Engeström__Ritva",5
"Engle__Randi_A.",9
"Engler__Jan",2
"Esmonde__Indigo",2
"Evans__Michael",15
"Fadjo__Cameron",11
"Falk__John_H.",5
"Feiten__Linus",6
"Ferguson__Leila",3
"Fielding.Wells__Jill",1
"Fields__Deborah",2
"Fischer__Frank",15
"Fong__Cresencia",9
"Forest__Dominique",1
"Fraistat__Ann",6
"Friedrich__Luisa_Amelie",3
"Frömmel__Cornelius",5
"Fueyo__Vivian",4
"Fuhrmann__Tamar",3
"Galstaun__Vilma",3
"Gegenfurtner__Andreas",4
"Gelderblom__Helene",6
"Georgiou__Yiannis",2
"Gerard__Libby",2
"Gillespie__Amy",1
"Gnoli__Alessandro",14
"Gobert__Janice",10
"Goel__Ashok",4
"Goh__Sao.Ee",4
"Goldman__Susan_R",6
"Goldwasser__Lloyd",9
"Gomez__Louis",4
"González__Carlos",0
"Gordon__Leon",2
"Greene__Daniel",3
"Gresalfi__Melissa",11
"Grotzer__Tina",1
"Guha__Mona_Leigh",6
"Gweon__Gahgene",4
"Ha__Seungyon",1
"Hakkarainen__Kai",7
"Haklev__Stian",1
"Halatchliyski__Iassen",4
"Halb__Wolfgang",9
"Halverson__Erica",2
"Hand__Brian",5
"Hansen__Derek",6
"Hasselbring__Ted",2
"Haun.Frank__Julie",5
"Heddy__Benjamin",1
"Herman__Phillip",2
"Hershkovitz__Arnon",11
"Hershkowitz__Rina",2
"Hesse__Friedrich",9
"Hewitt__Jim",2
"Hickey__Daniel",2
