"","x"
"X__H.",6
"X__K.",6
"X__Masukawa",6
"X__Miyake",6
"X__N.",6
"X__Shirouzu",6
"X__Yuasa",6
"Aakhus__Mark",1
"Agostini__Alessandra",1
"Alexander__Christine",0
"Amelung__Chris",7
"Amelung__Christopher_J.",6
"Ananny__Mike",0
"Andersen__Hans_H._K.",2
"Andersen__Verner",2
"Andrade__Adja",4
"Andrews__Gail",2
"Arias__Ernesto",6
"Armitt__Gillian",3
"Arnseth__Hans_Christian",1
"Avouris__N.M.",3
"Baggetun__Rune",1
"Bannon__Liam_J.",2
"Barab__Sasha",5
"Bargeron__David",4
"Barron__Brigid",5
"Barthès__Jean.Paul",2
"Bayon__Victor",2
"Beardon__Colin",2
"Beck__Robert_J.",3
"Beer__Martin",3
"Bekerman__Zvi",1
"Blake__Canan",4
"Bleek__Wolf.Gideon",1
"Bordini__Rafael",4
"Borning__Alan",4
"Bortolozzi__Flávio",2
"Bos__Nathan",6
"Bourguin__Grégory",1
"Brecht__John",2
"Brown__Richard_S.",3
"Bruckman__Amy",3
"Bruckman__Amy_S.",1
"Brunier__Philippe",2
"Brush__A.J._Bernheim",4
"Burd__Leo",1
"Burns__Mary",2
"Canny__John",3
"Carlson__Adam",6
"Carroll__Karen",4
"Caspar__Franz",4
"Cassell__Justine",2
"Chapman__Robbin",1
"Cheesman__Robin",2
"Cheng__Britte",2
"Cherry__Gina",2
"Chung__Mark",2
"Clark__Douglas_B.",2
"Cockburn__Andy",1
"Corbit__Margaret",1
"Curtis__Michael",6
"Daily__Ryan",4
"Dawabi__Peter",2
"de_Laat__Maarten",1
"de_los_Angeles_Constantino.González__María",1
"de_Oliveira__Flavio_Moreira",2
"DeBonte__Austina",2
"Derry__Sharon",6
"DeVarco__Bonnie",1
"DiGiano__Chris",1
"Dillenbourg__Pierre",1
"Dimitracopoulou__A.",3
"Dimitriadis__Y.",5
"Dimock__Vicki",2
"Divitini__Monica",1
"Dobson__Mike",2
"Doubler__Sue",1
"Dunlap__Joanna_C.",0
"Eales__R._T._Jim",2
"Edelson__Daniel",3
"Eden__Hal",6
"Ehn__Pelle",2
"Eleuterio__Marco_A.",2
"Elliott__Dean_M.",2
"Ellis__Jason_B.",1
"Empinotti__Vanessa",6
"Engeström__Ritva",2
"Engeström__Yrjö",2
"Erkens__Gijsbert",3
"Ertl__Bernhard",2
"Espinosa__Linda",7
"Farrell__Rob",2
"Feger__Stephanie",2
"Ferraris__Christine",2
"Fidas__C.",3
"Fischer__Frank",4
"Fischer__Gerhard",6
"Fishman__Barry",5
"Fjuk__Annita",5
"Fournier__Janice",2
"Funaoi__Hideo",1
"Furugori__Nobuko",4
"Fusco__Judith",2
"Garrachón__I.",5
"Gaßner__Katrin",1
"Gill__Zann",0
"Glaser__Daniel",3
"Golan__Ravit",3
"Gómez__E.",5
"Gomez__Louis",5
"Gonzalez__Carlos_Enrique",1
"Gorman__Andrew",6
"Gottdenker__Joshua_S.",8
"Gray__James",2
"Green__Sharon",3
"Greer__Jim",1
"Grudin__Jonathan",4
"Gupta__Anoop",4
"Guribye__Frode",1
"Guzdial__Mark",4
"Haake__Jörg_M.",2
"Haas__David",2
"Hakkarainen__Kai",9
"Häkkinen__Päivi",3
"Hall__Tony",2
"Halloran__John",2
"Hashizume__Hiromichi",2
"Hay__Kenneth_E.",2
"Hedestig__Ulf",1
"Heilesen__Simon_B.",2
"Hermann__Fabian",4
"Hewitt__Jim",4
"Hinrichs__Elke",1
"Hmelo.Silver__Cindy",3
"Hoadley__Christopher_Plekss",0
"Holloway.Attaway__Lissa",4
"Holmer__Torsten",1
"Holst__Shirley",1
"Hong__Ran.Young",8
"Hooi__Chit_Meng",1
"Hoppe__H.U.",4
"Hoppe__Ulrich",2
"Horenczyk__Gabriel",1
"Hübscher.Younger__Teresa",5
"Hudson__James_M.",1
"Hundhausen__Chris",4
"Hundhausen__Christopher_D.",1
"Hunt__Earl",6
"Hunter__Sheila",0
"Huntley__Martin",2
"Husted__Justin",6
"Iivonen__Marjut",3
"Iles__Alastair",3
"Illmann__Torsten",2
"Ilomäki__Liisa",3
"Inagaki__Shigenori",6
"Inkpen__Kori_M.",2
"Janetzko__Dietmar",1
"Janneck__Michael",1
"Jansen__M.",4
"Jaques__Patrícia",4
"Jaques__Patricia_Augustin",2
"Järvelä__Sanna",3
"Jaspers__Jos",3
"Jensen__Carlos",2
"Jermann__Patrick",0
"Johnson__Brian_R.",0
"Johnson__Gabe",0
"Joiner__Richard",4
"Jonassen__David",1
"Jondahl__Silje",1
"Jung__João",4
"Kafai__Yasmin",0
"Kali__Yael",4
"Kam__Matthew",3
"Kanselaar__Gellof",3
"Kaptelinin__Victor",1
"Karlgren__Klas",1
"Kehoe__Colleen_M.",0
"Keselman__Alla",1
"Kim__Beaumie",2
"Kim__Janet",2
"Kirschner__Paul",3
"Kligyte__Giedre",3
"Klopfer__Eric",1
"Kolodner__Janet",1
"Komis__V.",3
"Konomi__Shin.ichi",6
"Koyle__Susan_Bagley",1
"Krajcik__Joseph",6
"Krange__Ingeborg",3
