"","x"
"Abad__Jesus_Vazquez",2
"Allison__Don",6
"Atkinson__Robert_K.",1
"Azevedo__Flavio_S.",1
"Barab__Sasha_A.",3
"Barak__Miri",1
"Barnett__Michael",8
"Bashaw__Meredith",6
"Bell__Philip",1
"Bos__Nathan",6
"Bouillion__Lisa_M.",1
"Broadstock__Maan_Jiang",2
"Brophy__Sean",1
"Brown__Matthew",2
"Bruckman__Amy",3
"Bruckman__Amy_S.",3
"Camp__Paul_J.",3
"Canty__Nicole",9
"Carney__Karen",4
"Carragher__Bridget",14
"Carrillo__Rosario",0
"Carroll__Liana",14
"Centola__Damon",2
"Chen__Mei",1
"Cho__Yongjoo",3
"Christie__Mary_Ann",3
"Claes__Daniel_R.",14
"Conanan__Denise",1
"Conway__Charles",14
"Craig__David",6
"Creedman__Maya",2
"Crozier__Jane",6
"Dam__Betty_Van",1
"Davies__Brian",3
"Davis__Elizabeth_A.",1
"Decary__Michel",1
"DePalma__Andy",4
"Derry__Sharon",10
"Dillenbourg__Pierre",2
"Dori__Yehudit_Judy",1
"Drabenstott__Karen",6
"Edelson__Daniel",5
"Edelson__Danny",2
"Edwards__Elizabeth",3
"Elby__Andrew",1
"Elliott__Jason",3
"Ellis__Jason_B.",3
"Fairweather__Peter",2
"Farra__Laura",2
"Fasse__Barbara_Burks",1
"Fassnacht__Chris",9
"Feldman.Riordan__Claire",2
"Finholt__Thomas_A.",14
"Flores__Jana",2
"Ford__Danielle",3
"Freeman__Ben",2
"Fretz__Eric",3
"Gaynor__Vickie_Banks",1
"George__Elizabeth_A.",2
"Gomez__Louis",1
"Graesser__Arthur_C.",2
"Gray__Jackie",3
"Grosser__Benjamin",14
"Group__The_Tutoring_Research",2
"Groves__Harriett",3
"Guan__Yi",4
"Guzdial__Mark",10
"Haake__Joerg_M.",3
"Hakkarainen__Kai",1
"Hakkinen__Paivi",2
"Hammer__David",1
"Hanlon__Janet",14
"Hansen__Steven_R.",1
"Hapgood__Susanna",3
"Hay__Kenneth_E.",10
"Hewson__Kate",9
"Hickey__Daniel_T.",3
"Hmelo__Cindy",9
"Holbrook__Jennifer",1
"Holschuh__Douglas_R.",2
"Holst__Shirley_J.",3
"Hoos__Beth",6
"Horwitz__Paul",3
"Howard__Bruce_C.",3
"Hudson__James_M.",0
"Hunter__Beverly",1
"Jacobson__Michael",0
"Jarvela__Sanna",4
"Jensen__Carlos",3
"Johnson__Andrew",3
"Kalathil__Radha_R.",1
"Kass__Alex",3
"Keating__Thomas",3
"Kehoe__Colleen",6
"Khan__Sabir",6
"Kim__Jong_Baeg",9
"Kindfield__Ann_C._H.",3
"Kisseberth__Nick",14
"Kolodner__Janet",5
"Koschmann__Timothy",0
"Krajcik__Joseph",12
"Krajcik__Joseph_S.",2
"Kupperman__Jeff",1
"Kyza__Eleni",4
"Laffey__James",3
"Lin__Ya.Ju",3
"Lonka__Kirsti",0
"Ludovice__Pete",4
"Magnusson__Shirley",3
"Marlino__Mary",2
"Marra__Tiffany",1
"Marshall__Sue",2
"Marx__Ron",2
"Marx__Ronald",2
"Masukawa__Hiroyuki",1
"Matese__Gabrielle",2
"McDonald__Scott",1
"McGee__Steven",3
"McKenzie__Eamon",2
"McMillan.Culp__Katherine",1
"Miao__Yongwu",3
"Miller__John",6
"Miyake__Naomi",1
"Moher__Tom",3
"Morley__Tom",4
"Myers__James_D.",14
"Narayanan__N._Hari",1
"Nix__Don",2
"O.Neill__D._Kevin",4
"Oshima__Jun",2
"Oshima__Ritsuko",2
"Palincsar__Annemarie",3
"Palonen__Tuire",1
"Panizzon__Debra",3
"Pegg__John",3
"Perkins__Lori",6
"Person__Natalie_K.",2
"Pinkard__Nichole",2
"Polman__Joseph",0
"Potter__Clint_S.",14
"Quintana__Chris",3
"Rahikainen__Marjaana",2
"Realff__Matthew",4
"Reiser__Brian",4
"Renninger__K._Ann",5
"Rick__Jochen",6
"Robinson__Scott",14
"Salovaara__Hanna",2
"Samson__Perry",1
"Scardamalia__Marlene",1
"Schlager__Linda_Polin_Mark",3
"Schneider__Rebecca_M.",2
"Shea__Elizabeth_S.",2
