"","x"
"X__Constantakis.Valdes",2
"A__Patricia_Sachs",4
"Abeles__Jon",4
"Abotel__Kasem",2
"Albrech__Florian",7
"Albrecht__Fiorian",7
"Alloway__Gene",13
"Archodidou__Anthi",2
"Bareiss__Ray",7
"Beckwith__Richard",5
"Bell__Benjamin",0
"Berman__Tammy",2
"Berque__Dave",6
"Berube__Sandy",4
"Bievenue__Lisa",2
"Blessing__Stephen_B.",1
"Blumenfeid__Phyllis",3
"Bos__Nathan",13
"Brophy__Sean_P.",1
"Brusidovsry__Peter",1
"Bucci__Shelly_M.",0
"Burke__Robin_D.",2
"Burne__Mike",7
"Byrne__Michael",7
"Calvert__Tom",2
"Casey__William",4
"Catrambone__Richard",11
"Cavallo__David",0
"Ching__Cynthia_Carier",1
"Cicero__Ana_Maria_Lo",2
"Cohen__Andrew",0
"Corderoy__Robert",3
"Cot__Nathalie_C.",1
"Dede__Chris",2
"Denning__Reeecca",1
"Derry__Sharon",1
"Dibiase__Julie",1
"Diehl__Christine_L.",1
"Edelson__Daniel",2
"Eisenberg__Michael",1
"Evard__Michele",0
"Evens__Martha",3
"Fenstermacher__Kurt_D.",2
"Finkel__Elizabeih",2
"Fischer__Gerhard",4
"Fisher__Kathleen",1
"Folckers__Jorg",3
"Foster__David_A.",0
"Freedman__Reva",0
"Fuson__Karen_C.",2
"Gaerte__Leann",6
"Gertzman__Alice",1
"Gibney__Terresa",1
"Glfford__Bernard",2
"Gobet__Fernand",0
"Goidman.Segall__Ricki",0
"Gomes__Stacy",1
"Gomez__Louis",2
"Gonzalez__Josu_M.",0
"Gordin__Douglas_N.",2
"Graf__Edith_A.",5
"Groenboer__Chris",2
"Guerlain__Stephanie",8
"Gurainick__David",5
"Guzdial__Mark",13
"Hamel__Tracy",13
"Hammerman__Kathleen",13
"Hammond__Kristian",2
"Harasim__Linda",2
"Harper__Barry",3
"Harrison__Tim",6
"Hedberg__John",3
"Heitz__Matt",6
"Heller__Rachelle",1
"Henning__Philip",1
"Hmelo.Silver__Cindy",5
"Holum__Ann",5
"Hume__Gregory",3
"Hunt__Earl",5
"Hurts__Karel",1
"Ishihara__Nancy_G.",3
"Jaoobson__Michael_J.",2
"Jinkerson__Lorana_A.",0
"Jona__Menachem_Y.",2
"Jonassen__David",3
"Joseph__Diana",2
"Kafai__Yasmin",1
"Kalwe__Maria",1
"Kass__Alex",7
"Kaufman__Cathy_C.",0
"Kedar__Smadar",5
"Kennedy__Melanie",8
"Klann__Elisabeth",13
"Koedinger__Kenneih_R",1
"Kolodner__Janet",3
"Korcuska__Michael",2
"Kraicik__Joseph",13
"Krajcik__Joseph_S.",2
"Krarcik__Joseph_S.",3
"Laffey__James_M.",1
"Laheri__Santos_Gerardo",1
"Leblanc__Mark_D.",1
"Lesgold__Alan",1
"Li__Tiancheng",1
"Lindstaedt__Stefanie",4
"Loftin__R._Bowen",2
"Lyons__David",13
"Macpherson__Kimberli_A.",2
"Madden__Terry",13
"Madigan__David",5
"Margerum.Leys__Jon",13
"Marra__Rose_M.",1
"Marx__Ron",3
"Mcginn__Michelle_K.",1
"Michael__Joel",3
"Minstrell__Jim",5
"Moebus__Claus",3
"Moran__Juan",2
"Murray__Tom",0
"Muscella__Deborah",3
"Narayanan__N._Hari",2
"Nason__Martha",5
"Nelson__Wayne_A.",1
"Newstetter__Wendy_C.",1
"Obradovich__Jodi_Heintz",8
"Oshima__Jun",1
"Osin__Luis",1
"Ostwald__Jonathan",4
"Pagei__Katherine_Frome",3
"Pearson__P._David",2
"Petrosino__Anthony_J.",0
"Polman__Joseph",0
"Pom__Michael_K.",1
"Quitana__Chris",2
"Ram__Ashwin",10
"Ram__Preeth",7
"Ranney__Michael",2
"Rappin__Noel",1
"Reed__James",13
"Reiser__Brian",2
"Resnick__Mitchel",1
"Resnicr__Mitchel",0
"Ritter__Steven",1
"Ritz__Ryan",6
"Roberts__Janis",7
"Roth__Wolfe.Michael",1
"Rovick__Allen",3
"Rudmann__Sally",8
"Rusk__Natalie",1
"Sachs__Larry",8
"Salzman__Marilyn_C.",2
"Scala__Nancy",13
"Scardamalia__Marlene",1
"Schneider__Kurt",4
"Schroder__Olaf",3
"Sci.Iaffner__Andrew",5
"Sci.Iarf__Kathleen",4
"Sedighian__Kamran",1
"Shabo__Amnon",2
"Sharp__Diana",1
"Shippey__Gordon",10
"Shute__Valerie_J.",1
"Sirohm__Patricia_L.",8
"Smith__Jack_W.",8
"Smith__Jay",4
"Smith__Philip_J.",1
"Smith__Philip_K.",8
"Smith__Randall_E.",1
"Smith__Steven_T.",2
"Sodoway__Elliot",13
"Soloway__Elliot",7
"Spitulnik__Jeff",2
"Stasko__John",11
"Strateord__Steven_J.",2
"Suecker__Erika_L._F.",1
"Sugimoto__Akiko",2
"Svirbley__John",8
"Terao__Atsushi",0
"Thole__Heinz.Jorgen",3
"Turns__Jennifer",0
"Umaschi__Marina",0
"Underwood__Jody_S.",0
"Van_Putten__Kees",1
"Vekiri__Ioanna",13
"Wallace__Raven",13
"Walters__Joseph",3
"Weber.Russell__Sylvia",1
"Weber__Gerhard",1
"Williams__Susan_M.",2
"Williamson__Mary",2
"Wisnudel__Michele",2
"Witter__Todd",6
"Wolfe__Edward_W.",1
"Wright__Robert",3
"Yoder__John",6
