"","x"
"Abi.El.Mona__Issam",1
"Abrahamson__Dor",7
"Ackerman__Mark",2
"Aemilian__Hron",3
"Alavez__Mabel",3
"Amaya__Meredith_M.",7
"Anderson__Janice",15
"Anthony__Holly_Garrett",3
"Apedoe__Xornam",0
"Ash__Doris",1
"Atkins__Leslie",0
"Atukpawu__Grace",12
"Azevedo__Roger",14
"Azeveo__Roger",1
"Bannon__Liam",6
"Barnett__Michael",15
"Barron__Brigid",11
"Baylor__Amy",3
"Baylor__Amy_L.",1
"Beals__Laura",9
"Beers__Pieter_Jelle",3
"Bell__Philip",4
"Bers__Marina",11
"Best__Rachel",3
"Bétrancourt__Mireille",4
"Beyer__Carrie",1
"Bielaczyc__Katerine",1
"Black__John",3
"Black__John_B.",1
"Blair__Kristen_Pilner",12
"Blake__Peter",1
"Blikstein__Paulo",7
"Block__Martin",1
"Booker__Angela",13
"Boshuizen__Henny_P.A.",3
"Braasch__Jason",1
"Brandt__Carol_B.",1
"Bransford__John",9
"Brem__Sarah",1
"Bricker__Leah_A.",4
"Brockmann__Damien",1
"Bromme__Rainer",2
"Bruckman__Amy",1
"Brush__Thomas",3
"Buckley__Barbara",3
"Burgos__Daniel",3
"Cakir__Murat",6
"Cammack__Dana_W.",3
"Canty__Reality_S.",1
"Carberry__Adam",9
"Castelli__Darla_M.",2
"Catrambone__Richard",1
"Cejka__Erin",9
"Chan__Margaret_S.",1
"Chang__Hsin.Yi",1
"Charles__Elizabeth_S.",3
"Chau__Clement",2
"Chen__Fei.Ching",2
"Cherniavsky__John_C.",5
"Chernobilsky__Ellina",5
"Ching__Cynthia_Carter",1
"Chinn__Clark",5
"Chiu__Grace",11
"Chmiel__Marjee",1
"Chung__Mark",1
"Ciolfi__Luigina",6
"Clark__Douglas_B.",8
"Clegg__Tamara",3
"Clegg__Tamara_L.",3
"Collins__Allan",4
"Collins__Allan_M.",7
"Confrey__Jere",4
"Cook__Eric",2
"Cook__Ruth_Gannon",0
"Copman__Sandra",6
"Corbett__Albert",4
"Cress__Ulrike",3
"Cromley__Jennifer",5
"Cullen__Theresa_A.",0
"Culp__Katherine_McMillan",2
"Danish__Joshua",0
"Davis__Elizabeth",1
"Davis__Joan",4
"DeGennaro__Donna",0
"Derry__Sharon",4
"Desai__Shiu",11
"Di_Blas__Nicoletta",2
"Dillenbourg__Pierre",4
"diSessa__Andrea",5
"diSessa__Andrea_A.",7
"Dogan__Enis",2
"Dong__Yifei",2
"Drake__Corey",0
"Dreon__Oliver",1
"Duncan__Ravit",0
"Earle__Janice",5
"Edelson__Daniel",1
"Ellenbogen__Kirsten",4
"Erkens__Gijsbert",13
"Ertelt__Anna",2
"Ertl__Bernhard",1
"Evans__Ellen_M.",2
"Fairweather__Peter",3
"Felix__Friedrich",3
"Fernaues__Ylva",1
"Ferris__Kieran",6
"Fields__Deborah",0
"Fischer__Frank",8
"Fishman__Barry",5
"Floyd__Randy",3
"Foo__Seau_Yoon",1
"Forte__Andrea",1
"Frank__Kenneth_A.",2
"Friling__Dina",1
"Gallagher__Paul",6
"Galmbacher__Matthias",3
"Gane__Brian_D.",1
"Gardner__Christina",3
"Gardner__Christina_M.",3
"Ge__Xun",2
"Gibson__Faison",2
"Gijselaers__Wim",3
"Gobert__Janice",3
"Godbole.Chaudhuri__Pragati",7
"Goldenberg__Lauren_B.",2
"Goldman__Shelley",13
"Goldman__Susan_R.",4
"Goldstone__Robert",7
"Gomez__Louis",1
"Gotwals__Amelia",1
"Gravel__Brian",9
"Graves__Ingrid",2
"Greene__Jeffrey",6
"Greeno__James_G.",1
"Grotzer__Tina",2
"Gurlitt__Johannes",3
"Hackbarth__Alan_J.",2
"Hagler__Debra",1
"Hakkarainen__Kai",3
"Hall__Tony",6
"Halverson__Richard",3
"Hamilton__Eric",3
"Hansen__Miriam",1
"Harada__Violet",2
"Hatfield__David",1
"Hauser__Sabine",6
"Hegedus__Stephen",2
"Heimlich__Michael",12
"Henson__Shelley",1
"Herman__Phillip",1
"Hester__Waverely",2
"Heuer__Dieter",3
"Hickey__Daniel_T.",1
"Hickey__Nora",6
"Higgenbothem__Thomas",2
"Higginbotham__Thomas",6
"Hmelo.Silver__Cindy",15
"Hoadley__Christopher",1
"Hofman__Neil",3
"Honda__Sandra",1
"Hong__Saahoon",1
"Hoppe__Ulrich",2
"Horwitz__Paul",3
"Hsi__Sherry",4
"Huang__Kun",2
