"","x"
"Acosta__Alisa",1
"Adleberg__Barrie",17
"Agrawal__Harshit",3
"Aleven__Vincent",4
"Almatrafi__Omaima",1
"AlQahtani__Mona",3
"Anderson__Emma",2
"Anderson__Richard_C.",3
"Andrade__Alejandro",2
"Andrews__Jessica_J.",9
"Antle__Alissa_Nicole",2
"Applebaum__Lauren",3
"Applebaum__Lauren_R.",3
"Asterhan__Christa",1
"Ayer__Tugba",4
"Baker__Ryan",4
"Baltes__Jennifer",9
"Bang__Megan",17
"Bannan__Brenda",2
"Barrat__Alain",4
"Barron__Brigid",17
"Beck__Stephan",18
"Bell__Philip",17
"Belland__Brian_R.",3
"Bennett__Cynthia_L.",3
"Bereiter__Carl",26
"Bielaczyc__Katerine",23
"Biemans__Harm",3
"Bishara__Sarah",9
"Biswas__Gautam",3
"Blikstein__Paulo",2
"Bodemer__Daniel",4
"Bogouslavsky__Maria",2
"Borge__Marcela",6
"Bouton__Edith",1
"Boyer__Kristy_Elizabeth",5
"Brady__Corey",5
"Brami__Uzi_Zevik",1
"Brand__Charleen",4
"Breuleux__Alain",1
"Buessing__Shawn",18
"Burns__Mary",3
"Calandra__Brendan",4
"Carnes__Molly",5
"Cassell__Justine",2
"Cattaneo__Alberto_A._P.",3
"Celepkolu__Mehmet",3
"Chai__Shaoming",23
"Chan__Carol",33
"Chan__Melvin",1
"Chen__Bodong",33
"Chen__Feng",17
"Chen__Mei.Hwa",33
"Cheng__Kenneth",2
"Cheng__Teng.Yao",2
"Chounta__Irene.Angelica",2
"Christmann__Nina",9
"Cobb__Sue",18
"Cohen__Jonathan",4
"Cook__Claire",18
"Corning__Wiley",18
"Cress__Ulrike",5
"Crossley__Scott",4
"Csanadi__Andras",4
"Cukurova__Mutlu",4
"D.Angelo__Sarah",9
"Dado__Marielle",3
"Dascalu__Mihai",6
"Davis__Richard",17
"Davis__Richard_Lee",2
"Dawes__Les",5
"de_Jong__Frank",33
"De_Wever__Bram",3
"del_Castillo__Fernando_Diaz",23
"DeSchryver__Michael",2
"Di_Eugenio__Barbara",3
"Dillenbourg__Pierre",9
"Dong__Yi",3
"Dornfeld__Catherine",2
"Doyle__Tanya",5
"Dutta__Nikita",3
"Eagan__Brendan",4
"Eagan__Brendan_R.",5
"Eberle__Julia",4
"Elby__Andrew",2
"Elming__Anna_Lindenhoff",1
"Elson__Malte",9
"Emara__Mona",3
"Emmanuel__Navo",5
"Erdmann__Julia",9
"Erkens__Melanie",1
"Fake__Helen",2
"Faulkner__Roosevelt",5
"Fields__Gabriel",18
"Finkelstein__Samantha",1
"Fischer__Frank",13
"Ford__Cecilia_E.",5
"Fossati__Davide",3
"Frensley__Troy",5
"Fricke__Kyle_W.",3
"Friend__Michelle",0
"Fröhlich__Bernd",18
"Funaoi__Hideo",7
"Fuqua__Aeslya",4
"G__Nagarjuna",3
"Gao__Dandan",2
"Gebre__Engida",0
"Gemmell__Jonathan",9
"Georgen__Chris",2
"Georgiou__Yiannis",1
"Gergle__Darren",9
"Giannakos__Michail",3
"Giri__Sagun",1
"Gleasman__Cory",4
"Gnesdilow__Dana",2
"Godinez__Erick_Velazquez",17
"Gomez__Kimberly",1
"Gouveia__Christine",18
"Graesser__Art",9
"Gravel__Brian",4
"Gray__Steven",5
"Green__Nick",3
"Greenwald__Scott_W.",18
"Guo__Yu",5
"Gutu__Gabriel",3
"Hakkarainen__Kai",26
"Hall__Rogers",18
"Hämäläinen__Raija",3
"Hamid__Taha",9
"Hansen__Jennifer",17
"Hao__Jiangang",9
"Harrell__Maralee",2
"Harsley__Rachel",3
"Hartley__Kylie",5
"Hartmann__Christian",4
"Hatami__Javad",3
"Healion__Donal",3
"Hecking__Tobias",11
"Herrmann__Thomas",9
"Hickey__Timothy_J.",1
"Hill__Roger_B.",4
"Hinojosa__Leighanna",4
"Hirayama__Ryoya",7
"Hmelo.Silver__Cindy",27
"Hod__Yotam",1
"Holland__Jennifer",18
"Hollett__Ty",0
"Hong__Helen",1
"Hoppe__Ulrich",11
"Horn__Michael",5
"Huang__Joey",5
"Irgens__Golnaz_Arastoopour",5
"Jackson__Julia",3
"Jeong__Heisawn",5
"Jermann__Patrick",9
"Johri__Aditya",3
"Jordan__Rebecca",5
"Jung__Yong_Ju",3
"K.Martin__Caitlin",9
"Kaatz__Anna",5
"Kafai__Yasmin",21
"Kahn__Jennifer",17
"Kamsan__Muhamad_Ansar_B.",3
"Kanasa__Harry",5
"Kato__Hiroshi",7
"Kazemitabar__Maedeh_A.",1
"Kelly__Susan_B.",2
