"","x"
"Joyce__Jeanette",2
"Judson__Darlene",0
"Jung__Yong_Ju",2
"Kabayadondo__Zaza",0
"Kafai__Yasmin",13
"Kali__Yael",19
"Kang__Seokbin",5
"Kang__Seokmin",5
"Kapon__Shulamit",2
"Kapur__Manu",26
"Katz__Vikki",2
"Kaul__Chittaranjan",2
"Kawasaki__Jarod",3
"Ke__Li",1
"Keifert__Danielle_T.",7
"Keune__Anna",11
"Khamis__Nur_Azarina",4
"Kimball__Nathan",4
"Kittinger__Liza",1
"Knight__Simon",4
"Koehler.Yom__Jessica",3
"Koh__Elizabeth",2
"Kolikant__Yifat_Ben.David",4
"Kollar__Ingo",11
"Kolodner__Janet",5
"Kothiyal__Aditi",2
"Krämer__Nicole_C.",9
"Krist__Christina",8
"Kuhn__Deanna",1
"Kumar__Vishesh",9
"Kustusch__Mary_Bridget",4
"Kwok__Amy",4
"Kyewski__Elias",9
"Lahav__Orly",4
"Laherto__Antti",2
"Lai__Polly_K.",3
"Laina__Vasiliki",1
"Lakhani__Heena",12
"Lam__Rachel",9
"Land__Susan_M.",5
"Lanouette__Kathryn_A.",2
"Law__Nancy",5
"Law__Victor",4
"Leak__Anne",4
"Lee__Alison",4
"Lee__Christine",8
"Lee__Victor",7
"Lee__Vwen_Yen_Alwyn",2
"Lee__Yeung",5
"Lee__Yew_Jin",9
"Leenaars__Frank",10
"Lefstein__Adam",2
"Lenton__Kevin",19
"Lerner__Patrick",7
"Lesama__Manoel_Flores",9
"Levrini__Olivia",2
"Levy__Sharona_T",4
"Li__Yi",4
"Liang__Leming",2
"Lin__Chiu_Pin",4
"Lin__Feng",5
"Lin__Karina",2
"Lindgren__Robb",6
"Linn__Marcia",18
"Littleton__Karen",4
"Litts__Breanne",13
"Liu__Shiyu",0
"Liu__Xinyang",5
"Liuzzi__Richard",2
"Loibl__Katharina",7
"Lotz.Sisitka__Heila",9
"Low__Michelle",1
"Lu__Lin",5
"Lund__Kristine",5
"Lyons__Leila",14
"Lyu__Xiaoxin",4
"M.Vitale__Jonathan",2
"Ma__Leanne",3
"Madhok__Jacqueline",2
"Madhok__Jacquie",2
"Maggiore__Chrystal",4
"Mahoney__Charlie",8
"Mäkitalo__Åsa",11
"Malkiewich__Laura_J.",4
"Manches__Andrew",1
"Mann__Michele_J.",8
"Margulieux__Lauren_E.",3
"Markauskaite__Lina",3
"Martin__Nicole_D.",1
"Mathayas__Nitasha",6
"Matsuzawa__Yoshiaki",3
"Matuk__Camillia",15
"Mavrikis__Manolis",6
"Mazziotti__Claudia",8
"McBride__Elizabeth_A.",3
"McDonald__Scott_P.",19
"McElhaney__Kevin.",2
"McGowan__Veronica_C.",1
"McKenney__Susan",7
"Meier__Elisabeth",3
"Meyerhoff__Peter",7
"Mierwald__Marcel",3
"Millet__Chris",4
"Minor__Rachelle",2
"Minshew__Lana",3
"Minshew__Lana_M.",3
"Moher__Tom",19
"Mommandi__Wagma",12
"Morphew__Jason",3
"Morrison__Briana_B.",3
"Moses__George",3
"Moussavi__Raha",2
"Murthy__Sahana",2
"Najafi__Hedieh",7
"Nistor__Nicolae",2
"Norooz__Leyla",5
"Odemwingie__O._Carlette",2
"Ogan__Amy",3
"Ogawa__Sonoko",6
"Oguamanam__Vanessa",5
"Oliver__Mary",2
"Olsen__Al",14
"Olsen__Jennifer_K.",2
"Ong__Yann_Shiou",1
"Orton__Kai",5
"Oshima__Jun",2
"Oshima__Ritsuko",2
"Öztok__Murat",1
"Panagiotopoulos__Dimitrios",10
"Pande__Prajakt",1
"Parikh__Tapan_S.",2
"Pauw__Daniel",4
"Pea__Roy",6
"Pedro__Michael_Sao",2
"Pei__Xinning",5
"Pekrun__Reinhard",3
"Peleg__Ran",4
"Penney__Lauren",7
"Penuel__William",22
"Peppler__Kylie",11
"Pesanayi__Tichaona",9
"Picinatto__Antonio_Carlos",9
"Plane__Angelisa_C.",5
"Plass__Jan_L.",14
"Polman__Joseph",12
"Popov__Vitaliy",2
"Portolese__Alisha",3
"Pöysä.Tarhonen__Johanna",4
"Prain__Vaughan",10
"Preece__Jennifer",4
"Prinsen__Fleur_R.",0
"Puhl__Thomas",9
"Puntambekar__Sadhana",17
"Querol__Marco_Pereira",9
"Quick__Joshua",7
"Quick__Joshua_D.",2
"Quigley__David",13
"Quintana__Rebecca_M.",19
"Rajala__Antti",11
"Ramey__Kay_E.",13
"Raval__Harini",2
"Reeve__Richard",1
"Regalla__Lisa",11
"Rehak__Andi_M.",3
"Reimann__Peter",5
"Reiss__Kristina",4
"Renshaw__Peter",11
"Rienties__Bart",4
"Rivet__Ann_E.",4
"Rodela__Katherine",4
"Rodriguez__Lilia",3
"Rojas.Perilla__Diego",4
"Rook__Michael_M.",19
"Roque__Ricarose",2
"Rose__Carolyn",6
"Rose__Carolyn_P.",21
"Ruis__Andrew",2
"Ruis__Andrew_R.",5
"Rummel__Nikol",19
"Sagy__Ornit",2
"Saito__Moegi",6
"Saleh__Asmalina",8
"Sánchez.García__Raúl",2
"Sandoval__William",12
"Sankaranarayanan__Sreecharan",3
"Sannino__Annalisa",9
"Santo__Rafi",1
"Saucerman__Jenny",9
"Sayre__Eleanor_C.",4
"Scardamalia__Marlene",9
"Schlottbom__Patrick",2
"Schnaubert__Lenka",1
"Schneider__Bertrand",5
"Schunn__Christian",3
"Schwarz__Baruch",11
"Schwarz__Christina_V.",1
"Schwendimann__Beat",14
"Seah__Lay_Hoon",8
"Searle__Kristin_A.",3
"Segal__Aliza",2
"Sengupta__Pratim",2
"Severance__Sam",4
"Severance__Samuel",12
"Sevian__Hannah",1
"Shaffer__David_Williamson",6
"Shapiro__R._Benjamin",6
"Sharma__Kshitij",7
"Shayan__Shakila",3
"Shen__Ji",2
"Shibani__Antonette",2
"Shin__Myunghwan",2
"Shirouzu__Hajime",6
"Siebert.Evenstone__Amanda_L.",5
"Slater__Stefan",4
"Slotta__James",39
"Smith__Blaine_Elizabeth",2
"Smyth__Cliff",2
"So__Hyo.Jeong",1
"Solli__Anne",11
"Sommer__Stephen",3
"Sommerhoff__Daniel",2
"Spells__Monet",2
"Splichal__Jin_MIchael",2
"Squire__Kurt",9
"Steinkuehler__Constance",9
"Stevens__Reed",7
"Stieff__Mike",10
"Strachota__Susanne_M.",0
"Strijbos__Jan.Willem",2
"Stromholt__Shelley",12
"Stroud__Brandon",3
"Sumner__Tamara",13
"Sun__Zhiru",2
"Svihla__Vanessa",2
"Swanson__Hillary",0
"Swiecki__Zachari",5
"Talis__Vadim",4
"Tammi__Tuure",11
"Tan__Edna",2
"Tan__Esther",1
"Tan__Michael",19
"Tan__Samuel",4
"Tan__Seng_Chee",4
"Tate__Erika_D.",2
"Tay__Wan_Ying",4
"Telhan__Orkan",11
"Tempelaar__Dirk",4
"Teo__Chew_Lee",6
"Thomas__Jakita_O.",2
"Thompson__Kate",2
"Tietjen__Phil",19
"Tissenbaum__Mike",25
"Tomar__Gaurav_Singh",3
"Trăușan.Matu__Ștefan",2
"Tsai__Chin.Chung",4
"Tsovaltzi__Dimitra",9
"Turker__Aybuke",9
"Tytler__Russell",10
"Ufer__Stefan",10
"Uk__Irina",2
"Uttamchandani__Suraj",9
"van_Aalst__Jan",4
"Van_Alstyne__Ryan",3
"van_der_Schaaf__Marieke_F.",3
"Van_Horne__Katie",15
"van_Joolingen__Wouter",10
"van_Leeuwen__Anouschka",2
"van_Riesen__Siswa_A._N.",3
"Van_Steenis__Erica",3
"Van_Wart__Sarah",2
"Vanderbeke__Marie",3
"Vatrapu__Ravi",5
"Vedder.Weiss__Dana",2
