"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tBetw"
"Kwon__Kyungbin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11592.6095983246,0,11592.6095983246
"Reimann__Peter",0,0,0,0,0,0,0,0.5,20,289,0,0,0,0,0,0,0,0,0,0,10942,0,0,0,0,0,11251.5
"Peppler__Kylie",0,0,0,0,0,0,0,0,4,0,0,0,245.5,0,0,0,0,0,297,1,0,0,0,6203.33328260981,2595.5,1876.5,11222.8332826098
"Blikstein__Paulo",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,40.7904761904762,3,1692,8,0,2916.66666666665,6045,412,11117.9571428571
"Lee__Hee.Sun",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11115,0,11116
"Miyake__Naomi",0,0,0,0,0,0,0,0,8,75,0,0,0,0,0,0,0,0,0,0,10921,0,0,0,0,0,11004
"Horn__Mike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10851.788149983,0,0,10851.788149983
"Tobias__Joshua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10725,0,10725
"Penuel__Bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10708.0286062177,0,0,10708.0286062177
"Elby__Andrew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,10294.305146111,0,10693.305146111
"Sandoval__William",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5797,936,3807,0,0,10551
"Ahn__June",0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,0,0,0,0,0,5,0,10294.7219261494,0,0,10340.2219261494
"Brady__Corey",0,0,0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,1110.02003756048,0,0,7460.45308589884,821.333333333333,10208.8064567927
"Mott__Bradford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8589,1123.8,9712.8
"Hoadley__Christopher",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,9557.02380952381,0,0,20,0,0,0,0,9594.02380952381
"Tissenbaum__Catherine_Louise_Dornfeld",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9407,0,0,9407
"McElhaney__Kevin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5064.84725544257,4296.83333333333,0,9383.6805887759
"Flood__Virginia_J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9347.7153389556,2,9349.7153389556
"Lindgren__Robb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8179.22855243978,3,431,0,610,9261.22855243978
"Tabak__Iris",0,0,0,0,0,0,0,0,3960,0,0,0,5157,0,0,0,0,0,0,45,0,0,0,0,0,8,9170
"Litts__Breanne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,8995.64281846356,15,9118.64281846356
"Rose__Carolyn",0,0,0,0,0,0,15,0,7423.20794424289,0,0,146,5.33333333333333,0,0,0,0,0,69.3333333333334,0,1328,0,0,35,0,81,9102.87461090956
"Zimmerman__Heather",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1309,0,1184,1.5,0,6545.07939642003,0,9044.57939642003
"Herrenkohl__Leslie_Rupert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024,0,0,0,0,9024
"Irgens__Golnaz_Arastoopour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999.46804421714,0,8999.46804421714
"Chan__Carol",0,0,0,0,0,0.5,0,0,950.720953486493,8,0,112.5,179,0,0,0,0,0,0,0,470,0,0,7161.5,95,0,8977.22095348649
"Olivares__Maria_C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8918.69513962425,0,8918.69513962425
"Santo__Rafi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8775.83930295568,0,0,8775.83930295568
"Lui__Debora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8671.16031200567,0,0,8671.16031200567
"Macias__Meghan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8580,0,8580
"Lange__Kimiko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8450,8450
"Grover__Shuchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6442.74011258542,1885.23891239889,48,8375.97902498431
"Bell__Philip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,0,1544.94756420051,272,5536.67313354973,0,0,8346.62069775024
"McBride__Elizabeth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8159.83333333333,0,8159.83333333333
"Aleven__Vincent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4814,3025.47089447064,0,177,0,0,8034.47089447064
"Keifert__Danielle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517.12222774365,2755.76908609482,1695.25,7968.14131383847
"Sfard__Anna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7912.60309776993,0,0,0,0,7912.60309776993
"Lin__Feng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7847,0,0,7847
"Booker__Angela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7807.95212835189,0,7819.95212835189
"Mochizuki__Toshio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731,0,7731
"Valerie__Jesslyn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731,0,7731
"Garner__Brette",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7723.92847740664,0,7723.92847740664
"Krist__Christina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3351.43175155317,3456,848,7696.43175155317
"Martin__Caitlin",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4267.32834108921,3384.21428571429,7657.5426268035
"Klopfer__Eric",0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,167,3,6300,0,0,974.404335125659,0,0,0,0,7519.40433512566
"Lee__Seung",0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,7199.29848554664,1.8,7204.43181887997
"Chen__Wenli",0,0,0,0,0,0,0,9.5,7166.28530077766,0,0,0,0.5,0,0,0,0,0,21.5,2,0,0,0,0,0,0,7199.78530077766
"Ainsworth__Shaaron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990,3039.25,0,0,34,8,4,0,7075.25
"Uttamchandani__Suraj",0,0,0,0,0,0,0,0,0,0,0,0,522.666666666667,0,0,0,0,0,0,0,0,0,218,0,6293.29274248731,0,7033.95940915398
"Gane__Brian_Douglas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7017.3708428899,0,0,7017.3708428899
"Rosenberg__Joshua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6896,0,6896
"Bosch__Nigel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6880,0,6880
"Vogelstein__Lauren",0,0,0,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,1712,3447.52308618157,821.333333333333,6792.8564195149
"Oshima__Jun",0,0,0,0,0,0,0,0,2433.88377993798,0,0,328.5,1,0,0,0,0,0,0,0,3982.5,0,0,25,1,3.5,6775.38377993798
"Stevens__Reed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49.5,0,4983.76295071888,0,3,1733,0,6770.26295071888
"Pinkard__Nichole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3334,0,0,0,0,0,1925.60836591381,1414.5,6675.10836591381
"X.__Meixi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.25817185486,0,6554.25817185486
"Holbert__Nathan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.508926449367,0,0,6033,0,6509.50892644937
"Tayne__Kelsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002.79944309027,3456,0,6458.79944309027
"de_Royston__Maxine_McKinney",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6447.54800920509,0,6447.54800920509
"Basu__Satabdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6442.74011258542,0,0,6442.74011258542
"Silvis__Deborah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5717.80497928269,522.833333333333,6240.63831261602
"Varma__Keisha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027,0,6027
"Tzou__Carrie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,860,3886.5,0,5937.5
"Lee__Victor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2673.83619571121,0,2141,865,217.166666666667,5915.00286237788
"Saleh__Asmalina",0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,5852,0,1.8,5867
"Correnti__Richard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5862.76514580255,0,5862.76514580255
"Looi__Chee.Kit",0,0,0,0,0,0,0,0.5,4584.02582264141,1115,0,0,0.5,0,0,0,0,0,159.5,2,0,0,0,0,0,0,5861.52582264141
"Wilkerson__Michelle",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,5761.70692345703,0,5785.70692345703
"Dutilly__Erik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5771.42761069785,0,0,0,0,5771.42761069785
"Wichmann__Astrid",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,5725
"Thompson__Naomi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3456,2255,5711.25
"Hooper__Paula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5601.06898169279,0,5601.06898169279
"Sutch__Dan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580,0,0,0,0,0,0,0,5580
"Kali__Yael",0,0,0,0,0,0,5,0,51,0,0,0,50.75,0,0,0,0,0,0,0,0,0,0,5286.39975351614,112,0,5505.14975351614
"Roscoe__Rod_D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5477.18899375924,0,0,0,0,5477.18899375924
"Ehrenfeld__Nadav",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5470.16666666667,0,5470.16666666667
"Pozos__Rose_K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5423.71428571428,5423.71428571428
"Wright__Christopher_G.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5387.08223300749,0,5399.08223300749
"Georgen__Chris",0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,4106.18078498364,0,848,5364.18078498364
"Matsumura__Lindsay_Clare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5312.43320366923,0,5312.43320366923
"Walsh__Maggie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5312.43320366923,0,5312.43320366923
"Humburg__Megan",0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,4106.18078498364,756.685789685213,393.75,5287.41657466885
"Takeuchi__Miwa_A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5271.11268698372,0,5271.11268698372
"Kelton__Molly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,0,5172
"Gould__Deena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,0,5172
"Coenraad__Merijke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,0,5172
"Hoadley__Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,0,5172
"Yang__Kexin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5172,0,5172
"Harris__Christopher_J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064.84725544257,0,0,5064.84725544257
"Philip__Thomas_M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007.45460829493,0,0,5007.45460829493
"O.Malley__Claire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980.5,0,0,0,0,0,0,0,4980.5
"Dimitriadis__Yannis",0,0,0,0,0,0,0,0,4884.78865699659,16,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924.58865699659
"Jung__Yong_Ju",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813.07939642,0,4813.07939642
"Shin__Namsoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4716,0,4719
"Wylie__Ruth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106.37321815834,0,0,2585.5,2.5,4694.37321815834
"Lui__Michelle",0,0,0,0,0,0,0,0,3725,0,0,0,0,0,0,0,0,0,0,0,944.200000000002,0,0,0,0,0,4669.2
"Abbott__Robert_D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656,0,0,0,0,4656
"Zohar__Asnat_R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631,0,0,4631
"Matuk__Camillia",0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,3454,1025,4540.5
"Songer__Nancy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4536,0,0,0,0,0,4538
"Halverson__Erica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1476.30188729399,0,0,3035.963517446,0,4513.26540473999
"Y.__Jasmine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.884108946608,0,2320,1388.37122035678,0,4483.25532930339
"Krajcik__Joseph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,864,0,0,80,0,0,3456,0,4463
"Russ__Rosemary_S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4427.64329004329,0,0,0,0,4427.64329004329
"Harrer__Andreas",0,0,0,0,0,77,299.333333333333,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336.33333333333
"Chang__Stephanie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,0,4315
"Bateman__Kathryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,0,4315
"Fick__Sarah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,0,4315
"Roll__Ido",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4303,0,0,0,0,4303
"Clark__Heather",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4248.90621733516,0,4248.90621733516
"Levy__Sharona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,0,0,4220
"Tu__Xintian",0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,4106.18078498364,1.66666666666667,0,4138.64745165031
"Davis__Bria",0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,4106.18078498364,0,0,4136.98078498364
"Gomez__Kimberley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016.85714285714,63,0,9,0,0,0,0,4088.85714285714
"Chi__Michelene_T._H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081.37321815834,0,0,0,0,4081.37321815834
"Oshima__Ritsuko",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3982.5,0,0,1,0,0.5,3985
"Duncan__Ravit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1386,0,502,849,1168.71428571429,3917.71428571429
"Pellegrino__James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,1165.3708428899,2583,0,3910.3708428899
