"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tDegr"
"Pea__Roy",0,0,0,2,0,5,12,17,4,8,0,0,0,0,0,0,2,19,0,9,1,0,6,0,4,4,93
"Horn__Michael",0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,3,9,5,5,0,44,15,93
"Kirschner__Paul",0,0,0,3,4,3,5,4,3,0,17,17,0,0,0,0,0,3,8,11,2,9,0,2,0,0,91
"Fields__Deborah",0,0,0,0,0,0,0,1,1,3,0,0,24,0,0,0,0,0,2,4,2,11,11,4,25,2,90
"Gresalfi__Melissa",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,5,11,12,0,10,25,3,90
"Krajcik__Joseph",0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,12,8,4,37,2,3,7,0,0,6,0,89
"Clegg__Tamara",0,0,0,0,0,0,0,0,2,9,5,0,6,0,0,0,0,3,0,2,12,7,4,29,10,0,89
"Chinn__Clark",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,5,4,2,0,14,0,23,17,13,89
"Chen__Bodong",0,0,0,0,0,0,0,0,19,4,3,33,0,0,0,0,0,0,0,0,4,0,9,1,4,11,88
"Reimann__Peter",0,0,0,0,1,2,0,3,8,11,11,0,0,0,0,0,0,0,1,5,27,2,5,7,0,4,87
"Grover__Shuchi",0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,2,1,31,37,8,87
"Taylor__Katie_Headrick",0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,16,0,1,45,0,87
"Tu__Xintian",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,33,8,20,86
"Humburg__Megan",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,8,33,11,8,85
"Spada__Hans",0,0,0,4,7,3,12,7,5,4,0,0,0,0,0,0,10,5,23,3,0,0,0,0,0,0,83
"Chiu__Jennifer",0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,11,8,9,0,0,33,0,0,83
"Bielaczyc__Katerine",0,0,0,0,0,0,0,0,19,2,0,23,0,0,0,0,0,1,0,1,2,9,26,0,0,0,83
"Vossoughi__Shirin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,42,9,82
"Wecker__Christof",0,0,0,0,0,0,7,7,11,8,0,0,0,0,0,0,0,0,15,3,17,9,0,0,4,0,81
"Gerard__Libby",0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,2,9,2,3,15,27,5,2,80
"Mercier__Emma",0,0,0,0,0,0,0,8,21,2,13,2,2,0,0,0,9,2,0,0,11,0,0,6,2,2,80
"Nathan__Mitchell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,29,34,7,80
"Abrahamson__Dor",0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,4,7,10,0,12,5,7,22,3,3,79
"Wise__Alyssa",0,0,0,0,0,0,0,2,4,3,19,20,0,0,0,0,3,0,0,0,5,6,0,2,15,0,79
"Ahn__June",0,0,0,0,0,0,0,0,0,12,5,0,6,0,0,0,0,0,0,0,6,10,7,9,20,4,79
"Kolodner__Janet",5,13,0,1,0,0,0,0,10,0,0,0,0,3,5,5,2,14,13,2,0,0,5,0,0,0,78
"Kapur__Manu",0,0,0,0,0,2,6,1,13,0,0,0,0,0,0,0,0,6,8,5,2,2,26,7,0,0,78
"Chen__Mei.Hwa",0,0,0,0,0,0,0,0,0,4,5,33,2,0,0,0,0,0,0,0,0,0,19,0,4,11,78
"Quintana__Chris",0,0,0,6,0,0,0,0,0,5,6,0,0,0,0,3,1,1,22,0,1,30,0,0,2,0,77
"Laferriere__Therese",0,2,6,0,0,0,0,0,29,0,0,24,0,0,0,0,0,0,2,6,0,0,0,6,0,0,75
"Stevens__Reed",0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,2,12,2,9,5,19,7,8,5,1,75
"Harrer__Andreas",0,0,0,0,4,12,23,5,16,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,75
"Lindberg__Lindsay",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,32,13,75
"Suthers__Dan",1,2,0,18,2,1,7,2,17,1,0,0,0,0,0,0,15,2,1,0,0,0,0,5,0,0,74
"Shin__Namsoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,22,2,4,5,0,0,31,0,74
"Jacobson__Michael",0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,7,16,5,9,2,8,9,0,0,73
"Duncan__Ravit",0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,6,0,14,0,18,10,15,73
"Roschelle__Jeremy",0,0,0,0,0,2,8,4,11,7,0,0,0,0,0,0,5,4,9,5,6,3,0,4,4,0,72
"Hod__Yotam",0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,0,0,0,0,0,0,4,21,5,2,14,72
"Kidron__Adi",0,0,0,0,0,0,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,31,0,0,72
"DesPortes__Kayla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,18,72
"Goldman__Shelley",1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,13,0,6,0,13,0,13,0,18,71
"Saleh__Asmalina",0,0,0,0,0,0,0,0,0,2,4,0,12,0,0,0,0,0,0,1,0,0,8,24,10,10,71
"Aleven__Vincent",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,13,14,2,16,6,7,71
"Barton__Angela_Calabrese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,2,17,8,29,70
"Guzdial__Mark",13,8,11,4,0,0,0,0,0,0,0,0,0,13,0,10,1,0,0,0,0,0,3,0,6,0,69
"McLaren__Bruce",0,0,0,0,0,4,23,7,10,12,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,69
"Squire__Kurt",0,0,0,0,0,4,0,0,8,11,0,0,0,0,0,0,5,3,5,9,0,15,9,0,0,0,69
"Lui__Michelle",0,0,0,0,0,0,0,0,32,1,6,1,0,0,0,0,0,0,0,0,22,2,0,2,0,3,69
"Litts__Breanne",0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,13,0,16,12,69
"Bereiter__Carl",2,0,0,0,0,0,0,0,22,0,0,26,13,0,0,0,1,0,0,0,4,0,0,0,0,0,68
"Booker__Angela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,49,0,68
"Pellegrino__James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3,0,0,0,22,15,0,68
"Muukkonen__Hanni",0,0,2,0,0,0,8,10,10,0,0,0,0,0,0,0,0,3,4,0,0,10,0,0,16,4,67
"Martin__Caitlin",0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,0,9,11,0,9,0,0,0,0,16,11,67
"Hong__Huang.Yao",0,0,0,0,0,0,3,7,19,3,2,0,15,0,0,0,0,0,4,4,2,0,4,4,0,0,67
"Martin__Caitlinnnedy",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,34,0,0,12,0,13,0,0,67
"Ben.Zvi__Dani",0,0,0,0,0,0,0,0,0,1,17,0,24,0,0,0,0,0,0,0,0,4,19,2,0,0,67
"Ainsworth__Shaaron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,0,0,12,6,4,0,67
"Bodemer__Daniel",0,0,0,0,0,0,2,3,7,4,0,4,21,0,0,0,0,0,2,0,0,0,4,5,14,0,66
"Looi__Chee.Kit",0,0,0,0,0,0,0,3,23,17,3,0,6,0,0,0,0,1,8,5,0,0,0,0,0,0,66
"Svihla__Vanessa",0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,7,14,2,10,2,3,18,0,66
"Walkoe__Janet",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,10,0,0,27,20,66
"Sandoval__William",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,19,12,15,2,0,65
"Damsa__Crina",0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,0,0,13,0,0,0,0,2,19,2,65
"Silva__Brenda_Lopez",0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,22,5,14,0,0,2,0,0,65
"Acosta__Alisa",0,0,0,0,0,0,0,0,0,4,13,1,0,0,0,0,0,0,0,0,0,2,19,26,0,0,65
"Keifert__Danielle",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,8,35,14,65
"Koedinger__Ken",0,0,0,0,0,0,8,2,0,0,0,0,4,0,0,0,0,0,18,10,16,0,0,0,6,0,64
"Berland__Matthew",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,9,0,23,4,22,0,64
"Lui__Debora",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,40,0,0,64
"Dede__Chris",0,0,0,0,0,0,8,0,4,3,0,0,0,2,3,0,4,0,0,0,7,3,0,0,29,0,63
"Chen__Wenli",0,0,0,0,0,0,0,6,34,3,3,0,6,0,0,0,0,0,5,5,0,0,0,1,0,0,63
"McElhaney__Kevin",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,8,5,3,0,20,9,0,63
"Edelson__Daniel",3,5,2,3,0,0,0,0,0,0,0,0,0,2,2,5,8,1,20,0,0,6,0,0,5,0,62
"Wichmann__Astrid",0,0,0,0,0,0,0,3,0,4,2,9,0,0,0,0,0,2,7,2,9,15,9,0,0,0,62
"Evans__Michael",0,0,0,0,0,0,0,0,23,0,11,0,0,0,0,0,0,0,5,8,15,0,0,0,0,0,62
"Jeong__Heisawn",0,1,0,0,0,0,0,0,18,0,1,5,15,0,0,0,0,0,19,1,1,0,0,0,0,0,61
"Thompson__Kate",0,0,0,0,0,0,0,3,4,7,13,5,2,0,0,0,0,0,0,0,4,0,2,1,16,4,61
"Gnoli__Alessandro",0,0,0,0,0,0,0,0,19,0,10,0,1,0,0,0,0,0,0,0,14,17,0,0,0,0,61
"Flood__Virginia_J.",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,52,3,61
"Gomez__Kimberley",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,27,13,0,5,4,0,0,0,61
"X.__Meixi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,0,61
"McNamara__Danielle",0,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,4,7,0,0,0,16,0,0,0,12,60
"Weiss__Patrice_L.",0,0,0,0,0,0,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,19,0,0,0,60
"Davis__Bria",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,33,2,0,60
"Gomez__Louis",3,6,1,5,3,0,0,0,0,0,0,0,12,2,1,1,3,1,6,7,4,0,4,0,0,0,59
"Stahl__Gerry",2,0,0,0,0,0,0,6,9,5,2,0,0,0,0,0,8,7,9,11,0,0,0,0,0,0,59
"Dahn__Maggie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,24,6,59
"Ching__Cynthia_Carter",0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,10,1,0,4,0,17,1,0,0,0,58
"Cober__Rebecca",0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,58
"Tsovaltzi__Dimitra",0,0,0,0,0,0,0,0,0,4,2,3,20,0,0,0,0,0,0,0,0,10,9,0,10,0,58
"Irgens__Golnaz_Arastoopour",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,45,1,58
"Cress__Ulrike",0,0,0,0,0,0,0,5,14,10,0,5,0,0,0,0,1,3,2,7,4,2,0,4,0,0,57
"Mochizuki__Toshio",0,0,0,0,0,8,5,10,3,5,5,7,0,0,0,0,0,0,0,0,0,0,0,4,10,0,57
"Shirouzu__Hajime",0,0,0,0,0,0,0,0,17,1,0,23,2,0,0,0,1,0,0,0,0,0,6,5,0,2,57
"Jayathirtha__Gayithri",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,23,9,1,57
"Holbert__Nathan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,0,31,2,57
"Erkens__Gijsbert",1,0,0,3,3,0,6,2,4,3,0,0,0,0,0,0,0,13,14,7,0,0,0,0,0,0,56
"Wilkerson__Michelle",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,10,37,0,56
"Shanahan__Marie.Claire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,2,56
"Pierson__Ashlyn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,56
"Reiser__Brian",5,6,0,3,0,0,0,0,0,0,0,0,0,2,0,4,1,2,13,0,0,3,0,5,11,0,55
"Lund__Kristine",0,2,0,0,3,0,2,2,17,1,0,5,3,0,0,0,0,0,12,1,2,0,5,0,0,0,55
"Seitamaa.Hakkarainen__Pirita",0,0,0,3,0,0,0,0,19,0,0,23,0,0,0,0,0,1,0,0,3,0,0,4,2,0,55
"Dimitriadis__Yannis",0,0,0,0,0,0,8,4,20,8,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"Dyke__Gregory",0,0,0,0,0,0,0,2,17,10,11,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,55
"Shen__Ji",0,0,0,0,0,0,0,0,18,1,0,0,2,0,0,0,0,0,10,9,2,1,2,6,4,0,55
"Georgen__Chris",0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,33,3,8,55
"Sherin__Bruce",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,7,8,8,9,0,0,2,6,2,55
"Van_Horne__Katie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,25,2,0,55
"Levy__Sharona_T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,7,21,55
"Derry__Sharon",0,0,0,6,0,7,0,0,0,1,0,0,0,1,0,10,1,4,1,7,0,8,5,3,0,0,54
"Schneider__Bertrand",0,0,0,0,0,0,0,5,0,5,7,11,3,0,0,0,0,0,0,0,0,0,5,4,6,8,54
"Sharma__Kshitij",0,0,0,0,0,0,0,0,0,3,10,12,4,0,0,0,0,0,0,0,0,2,7,6,6,4,54
"Graville__Cynthia",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,29,0,54
"Farris__Amy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,30,21,54
"Cheng__Britte",0,0,0,2,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,4,8,3,0,4,9,0,53
"Walker__Erin",0,0,0,0,0,4,3,2,2,0,3,0,5,0,0,0,0,0,15,8,0,0,0,4,6,0,52
"Rose__Carolyn_Penstein",0,0,0,0,0,0,0,4,0,9,20,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,52
"Fong__Cresencia",0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,52
"Bell__Adam",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,12,0,16,0,52
"Greenberg__Day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,29,52
"Bulalacao__Nicole_Marie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52
"Shaffer__David_Williamson",0,0,0,0,0,1,0,0,3,3,1,5,0,0,0,0,2,6,0,3,2,7,6,4,8,0,51
"Fishman__Barry",0,0,0,5,0,0,0,1,0,0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,30,1,51
"Asterhan__Christa",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,16,0,0,9,1,2,0,51
"Gnesdilow__Dana",0,0,0,0,0,0,0,2,2,4,2,2,6,0,0,0,0,0,0,8,0,0,5,4,0,16,51
"Dugdale__Michael",0,0,0,0,0,0,0,0,5,5,6,0,5,0,0,0,0,0,0,0,0,6,19,5,0,0,51
"Whittaker__Chris",0,0,0,0,0,0,0,0,8,5,6,0,0,0,0,0,0,0,0,0,2,6,19,5,0,0,51
"Cafaro__Francesco",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,43,0,51
"Azevedo__Roger",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,14,0,4,0,5,0,0,9,3,51
"Kumar__Vishesh",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,36,2,51
"Lee__Irene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,51
"Soloway__Elliot",5,0,0,6,0,0,0,0,0,0,0,0,0,7,6,10,5,5,0,0,0,0,0,3,0,3,50
"Charles__Elizabeth_S.",0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,1,3,0,0,0,6,19,5,0,0,50
"Teo__Chew_Lee",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,2,14,2,50
"Ben.Horin__Hava",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,26,0,0,50
"Shaw__Mia",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,24,1,0,50
"Severance__Samuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,17,1,0,50
"Y.__Jasmine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,20,4,50
"Dickes__Amanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,50
"Olivares__Maria_C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
"Philip__Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
"de_Jong__Ton",0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,9,9,0,3,0,0,16,49
"Kyza__Eleni",0,0,0,0,0,0,0,0,14,3,0,0,12,0,0,4,0,0,0,14,1,0,0,0,1,0,49
